Country,Company,Year,Code,Text,Scenario,IPCC,IEA,Paris,Offset,Scope3
Australia,AGL,2022,[Paris],"['Alignment of AGL’s Climate Transition Action Plan to the Paris Agreement ', 'Our inaugural Climate Transition Action Plan continues our track record of market-leading climate disclosures, and demonstrates our commitment to communicating transparently with our stakeholders about our approach to decarbonisation. Shareholders will have the opportunity to vote on this Climate Transition Action Plan through the ‘Say on Climate’ resolution at our 2022 Annual General Meeting. ', 'On 30 May 2022, AGL committed to undertaking a review of AGL’s strategic direction which would determine the best way for an integrated AGL to deliver long-term shareholder value in the context of Australia’s energy transition. This CTAP is aligned with the outcomes of this review which were announced to the market on 29 September 2022, and should be read in conjunction with the limitations outlined on page (<>)25. ']",0,0,0,1,0,0
Australia,AGL,2022,[Scenario],"['In preparing this CTAP, we have used the Climate Action 100+ Net Zero Company Benchmark and the Investor Group on Climate Change (IGCC) Corporate Transition Plans: A guide to investor expectations to gain an insight into the issues that matter most to our stakeholders and to structure the disclosures in our CTAP accordingly. In preparing the scenario analysis outlined in Appendix A of this report, we have also used the Taskforce on Climate-related Financial Disclosures (TCFD) framework, and referred to the 2022 Integrated System Plan published by the Australian Energy Market Operator (AEMO). Comprehensive greenhouse gas emissions data and information in relation to climate-related risks, as recommended by the TCFD framework, are available in our (<https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/media-centre/2022/220819-appendix-4e-and-2022-annual-report.pdf>)FY22 Annual Report and (<https://www.2022datacentre.agl.com.au/>)ESG Data Centre. ']",1,0,0,0,0,0
Australia,AGL,2022,[Scope3],"['We will reduce our annual greenhouse gas emissions3 by at least 52% by FY354 following the closure of Bayswater Power Station by 2033. ', ""We will be Net Zero for operated Scope 1 and 2 greenhouse gas emissions following the closure of all AGL's coal-fired power stations. "", 'We will develop a decarbonisation pathway to achieve our ambition of being Net Zero for Scope 3 greenhouse gas emissions by 2050. ', 'We will seek to supply our customer demand with ~12 GW of additional renewable and firming capacity, requiring a total investment of up to $20 billion5, before 2036. Our initial target is to have up to 5 GW of new renewables and firming capacity in place by 2030, funded from a combination of assets on our balance sheet, offtakes and via partnerships. ']",0,0,0,0,0,1
Australia,AGL,2022,[Paris],"['Together with our ambition to invest in new renewable and firming capacity, we have brought forward the targeted closure dates for AGL’s coal-fired power stations to support the transition to a lower carbon world aligned with the Paris Agreement6 goals. ', ""Our plan recognises that a balance needs to be struck between responsible transition and rapid decarbonisation to keep Australia's electricity supply secure, reliable, and affordable. We are committed to working constructively with our stakeholders, including government, our people and the communities in which we operate, to lead a responsible and orderly transition. ""]",0,0,0,1,0,0
Australia,AGL,2022,"[Scenario, Paris]","['3. Operated Scope 1 and 2 greenhouse gas emissions, as reported under the National Greenhouse and Energy Reporting Act 2007, against a FY19 baseline. ', '4. FY24 and FY35 represent the first full financial years where no emissions from Liddell and Bayswater power stations occur following the closure of these power stations in April 2023 (FY23) and CY33 (FY34) respectively. ', '5. Based on capital cost estimates from AEMO Inputs, Assumptions and Scenarios Workbook, June 2022, adjusted for AGL views where considered appropriate.  ', '6. Based on scenario modelling of the National Electricity Market (NEM) undertaken by ACIL Allen (as outlined in (<>)Appendix A) utilising a carbon budget for the NEM which is consistent with limiting global temperature increases to well below two degrees Celsius above pre-industrial levels. ']",1,0,0,1,0,0
Australia,AGL,2022,Scope3,"['1. SunWiz Executive Insights January 2022 report - Sub 100 KW Top 5 Commercial 2021 ', 'As Australia’s largest electricity generator, we are also Australia’s largest greenhouse gas emitter. ', 'Our operated Scope 1 and 2 emissions1 account for approximately 8% of Australia’s total emissions,2. Over 95% of AGL’s Scope 1 emissions arise from the combustion of coal at our Liddell, Bayswater and Loy Yang A power stations for the generation of electricity for our customers as well as other customers in the NEM. ']",0,0,0,0,0,1
Australia,AGL,2022,[Scope3],"['In FY22, our operated Scope 1 and 2 emissions comprised approximately 60% of our total Scope 1, 2 and 3 emissions. Our Scope 3 emissions predominantly comprise emissions arising from the combustion of brown coal sold by AGL to the Loy Yang B Power Station and emissions associated with the supply of electricity and gas to our customers. ', ""AGL's FY22 operated Scope 1 and 2 greenhouse gas emissions and Scope 3 greenhouse gas emissions "", 'MtCO 2 e 67.767.7 67.767.7 Source of emissions Scope 0 10 20 30 40 50 60 70 80 ']",0,0,0,0,0,1
Australia,AGL,2022,[Scope3],"['1. Scope 1 emissions comprise direct greenhouse gas emissions arising from activities over which AGL has operational control as defined by the National Greenhouse and Energy Reporting Act 2007. Scope 2 emissions comprise indirect greenhouse gas emissions arising from the consumption of purchased electricity, heat or steam, arising from activities over which AGL has operational control as defined by the National Greenhouse and Energy Reporting Act 2007. Emissions data is calculated based on measured parameters for material sources, which make up approximately 99% of total scope 1 and 2 emissions, with estimates for minor sources. Scope 3 emissions comprise other indirect emissions and are estimated. ', '2. Based on the National Greenhouse Inventory Quarterly Update: March 2022, Department of Industry, Science, Energy & Resources. ']",0,0,0,0,0,1
Australia,AGL,2022,[Scenario],"['These physical requirements present challenges for the market operator as some electricity generators consider reducing output and exiting the market earlier in order to meet climate objectives. While strong price signals encourage generation to be available during certain periods, the imperative to reduce emissions is driving the earlier exit of some generation. ', 'Modelling from AEMO for its 2022 Integrated System Plan (ISP) highlights a range of development pathways that the NEM could follow to meet climate policy objectives. At the same time, AEMO’s modelling of the future reliability of the NEM (e.g. the Electricity Statement of Opportunities (ESOO) and NEM Engineering Framework) shows a high degree of operational uncertainty as plant exits the market, demand increases, physical risks increase, and more reliance is placed on variable generation. ']",1,0,0,0,0,0
Australia,AGL,2022,"[Offset, Scope3]","['Despite these broad incentives for new renewable generation, there is still no overarching policy that has supported a coordinated approach to the earlier closure of thermal assets. Existing government policies, while seeking to incentivise new renewable generation, are not tied to emissions intensity targets or sectoral carbon budgets. ', '1. Energy Security Board Post-2025 Market Design Final advice to Energy Ministers Part A, 27 July 2021, p13 ', 'AGL supports the Australian Government’s target of achieving Net Zero by 2050. ', 'AGL will be Net Zero for operated Scope 1 and 2 emissions following the closure of our coal-fired power stations. This may involve the use of offsets for residual1 Scope 1 and 2 emissions. ', 'AGL also has the ambition of being Net Zero for Scope 3 emissions by 2050, and is currently working on a decarbonisation pathway for these emissions. ']",0,0,0,0,1,1
