File,Codes,Page,ID,Text
"Australia_AGL, 2022, Climate Transition Action Plan 2022",[e],1,8d598637fc76909c5af173c4d7908375,"Alignment of AGLs Climate Transition Action Plan to the Paris Agreement  Our inaugural Climate Transition Action Plan continues our track record of market-leading climate disclosures, and demonstrates our commitment to communicating transparently with our stakeholders about our approach to decarbonisation. Shareholders will have the opportunity to vote on this Climate Transition Action Plan through the Say on Climate resolution at our 2022 Annual General Meeting. "
"Australia_AGL, 2022, Climate Transition Action Plan 2022",[d],1,4769356f5a6d2231e776a6f7124a471e,"In preparing this CTAP, we have used the Climate Action 100 Net Zero Company Benchmark and the Investor Group on Climate Change (IGCC) Corporate Transition Plans A guide to investor expectations to gain an insight into the issues that matter most to our stakeholders and to structure the disclosures in our CTAP accordingly. In preparing the scenario analysis outlined in Appendix A of this report, we have also used the Taskforce on Climate-related Financial Disclosures (TCFD) framework, and referred to the 2022 Integrated System Plan published by the Australian Energy Market Operator (AEMO). Comprehensive greenhouse gas emissions data and information in relation to climate-related risks, as recommended by the TCFD framework, are available in our (<httpswww.agl.com.aucontentdamdigitalagldocumentsabout-aglmedia-centre2022220819-appendix-4e-and-2022-annual-report.pdf>)FY22 Annual Report and (<httpswww.2022datacentre.agl.com.au>)ESG Data Centre. "
"Australia_AGL, 2022, Climate Transition Action Plan 2022",[e],2,5999b81ec04bd6482883e26fa6793dbf,"Together with our ambition to invest in new renewable and firming capacity, we have brought forward the targeted closure dates for AGLs coal-fired power stations to support the transition to a lower carbon world aligned with the Paris Agreement6 goals. "
"Australia_AGL, 2022, Climate Transition Action Plan 2022",[e],2,22c268893e556a0a53a31bc9219b2228,6. Based on scenario modelling of the National Electricity Market (NEM) undertaken by ACIL Allen (as outlined in (<>)Appendix A) utilising a carbon budget for the NEM which is consistent with limiting global temperature increases to well below two degrees Celsius above pre-industrial levels. 
"Australia_AGL, 2022, Climate Transition Action Plan 2022",[j],5,fa24b9a65e8a6c567d1073e7c39b3d14,"Modelling from AEMO for its 2022 Integrated System Plan (ISP) highlights a range of development pathways that the NEM could follow to meet climate policy objectives. At the same time, AEMOs modelling of the future reliability of the NEM (e.g. the Electricity Statement of Opportunities (ESOO) and NEM Engineering Framework) shows a high degree of operational uncertainty as plant exits the market, demand increases, physical risks increase, and more reliance is placed on variable generation. "
"Australia_AGL, 2022, Climate Transition Action Plan 2022",[l],6,6736c7fa6fe7eeef8f758b82f7c0bb3d,"Following the closure of our coal-fired power stations, Scope 1 and 2 greenhouse gas emissions arising from AGLs residual operations will be offset. AGL will develop appropriate strategies for the use andor origination of high-quality offsets, guided by the development of carbon markets over the coming years. "
"Australia_AGL, 2022, Climate Transition Action Plan 2022",[e],11,2d832976fa6ba102154be758779b78e1,"Alignment of AGLs Climate Transition Action Plan to the Paris Agreement  AGL undertakes detailed scenario analysis on a periodic basis in order to understand the impact of different decarbonisation scenarios on the NEM to inform strategic decisions. AGL recently engaged ACIL Allen (ACIL), an independent economic, policy and strategic advisory firm, to undertake economic modelling of four different decarbonisation scenarios for the NEM. In order to provide a level of comparability to other recognised scenarios, ACIL utilised relevant assumptions from AEMOs ISP. The outputs of the scenario analysis (refer to (<>)Appendix A) were considered as part of the review of AGLs strategic direction and in formulating this Climate Transition Action Plan. "
"Australia_AGL, 2022, Climate Transition Action Plan 2022","[e, f]",11,62b0fd1a905741b61132e0e3310e7159,"In this analysis, we refer to different decarbonisation scenarios in terms of how they relate to aspects of the Paris Agreement. Among other commitments, Parties to the Agreement commit to the following objective  Holding the increase in the global average temperature to well below 2C above pre-industrial levels and pursuing efforts to limit the temperature increase to 1.5C above pre-industrial levels, recognizing that this would significantly reduce the risks and impacts of climate change - Article 2, Part 1 (a)  The high proportion of emissions-intensive generation in the NEM provides a challenging starting point from which to rapidly decarbonise, while also continuing to meet operational requirements as well as governments reliability and affordability objectives. Nevertheless, emissions in the electricity sector are reducing at a rapid rate, much faster than other sectors of the Australian economy, and our scenario analysis suggests that the NEM may be able to transform sufficiently rapidly in order to reach net zero by 20451 and meet a carbon budget that is consistent with the Paris Agreements objective of limiting warming to well below 2 degrees. Under Scenario III (Well below 2 degrees), Bayswater and Loy Yang A power stations close in FY34 and FY35 respectively, with the capacity factors of these power stations ranging between 56-69 and 69-83 respectively, ramping down from these ranges one to two years prior to closure. "
"Australia_AGL, 2022, Climate Transition Action Plan 2022","[e, f]",11,28eb936df1b8a535a1be58f00ba001b3,"The targeted closure dates for AGLs thermal coal assets outlined in this Climate Transition Action Plan are consistent with a decarbonisation scenario where the NEM achieves a well below two degrees outcome, and with the climate ambition of the Step Change scenario within AEMOs 2022 Integrated System Plan. Our plan recognises that to achieve a net zero energy system in an orderly and efficient way, individual generators and asset owners will decarbonise at different rates as the NEM efficiently decarbonises as a whole. Market settings in the NEM will result in less reliable and higher-cost assets exiting the market first, while more reliable, lower-emissions, and lower-cost assets will remain in the system to support reliability and affordability objectives as the system rapidly decarbonises in the most efficient way. Other possible approaches to decarbonise AGLs portfolio more rapidly may represent less economically efficient outcomes, which may also result in higher costs for customers, in the absence of policy action to support earlier asset closures. Scenario modelling shows that under Scenario III (Well below 2 degrees), some coal-fired generation remains in and is required by the NEM until 2040, five years following the targeted closure of AGLs coal assets. "
"Australia_AGL, 2022, Climate Transition Action Plan 2022",[e],11,a4b4738ac6c81d99f7c69818b7752b6b,"Our scenario modelling shows that AGLs operated generation intensity is estimated to be as high as 0.95 tCO2eMWh until Loy Yang A closes for our existing operated generation portfolio. However, the scenario analysis shows that under Scenario III (Well below 2 degrees), with both Bayswater and Loy Yang A operating in 2030, the NEM could achieve an intensity of 0.29 tCO2eMWh by 2030, and an intensity of 0.07 tCO2eMWh following the closure of all of AGLs thermal coal-fired power stations. "
