File,Codes,Page,ID,Text
"Australia_AGL, 2023, FY23 TCFD report August 2023",[e],2,7e9bd4c77b7dc21d1eb225ca5c63cd33,Our CTAP supports the transition to a lower carbon world aligned with the Paris Agreement goals. 
"Australia_AGL, 2023, FY23 TCFD report August 2023",[d],3,82d3b69cbb5734a0955d91a9d5704d43,"AGL has been incorporating climate-related risk and strategy disclosures in our annual corporate reports since 2016, and since 2018, these disclosures have been aligned with the TCFD framework. Over time, AGL has developed scenarios and models to meet the needs of our business and stakeholders. "
"Australia_AGL, 2023, FY23 TCFD report August 2023","[e, f]",3,31c3852e9f25ffc2823790c0255edd83,"In 2016, AGL released the Carbon Constrained Future report, which presented the results of modelled scenarios aligned with Australias Nationally Determined Contribution (NDC) under the Paris Agreement. It also included a scenario based on limiting global warming to below 2 degrees Celsius above pre-industrial levels. This report was significant as it was the first analysis of its kind conducted by an Australian energy company. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[d],3,91dc3369b983ddd9113b38c1d00e6a5c,"In 2019, AGL released the Carbon Scenario Analysis report, which presented the results of modelling three different scenarios related to electricity policy frameworks. These scenarios were the Slow Change Scenario, the State Targets Scenario, and the Deep Renewable Scenario, each illustrating a different pathway for the energy markets response to carbon constraints. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[e],3,36058c9a8f4ebb917eb24b127317d26d,"The Pathways to 2050 report, published in 2020, focused on scenario analysis for potential carbon reduction pathways. It explored four scenarios National Targets, Response 2020, Response 2030, and 1.5 Degree Limit. These scenarios assessed the long-term implications for AGLs generation fleet, customers, and the National Electricity Market (NEM) as a whole. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[d],3,df4778f2b22f1158246ec35984d02bda,"AGLs Climate Transition Action Plan, released in 2022, outlined AGLs updated and accelerated pathway to decarbonisation and set out targets aligned to this pathway. In addition, it provided an overview of four new scenarios aligned with assumptions outlined in the Australian Energy Market Operators (AEMO) 2022 Integrated System Plan (ISP). Further details on these scenarios are available in Section (<>)3.3. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[d],3,78424866a8f4073f82d9437ceb99b28c,"Through these reports and scenario analyses, which are available on our website, AGL has demonstrated our commitment to understanding and addressing the challenges and opportunities presented by climate change. By incorporating the TCFD framework and continually evolving our modelling and scenarios, AGL aims to inform our stakeholders about the potential impacts and strategies related to climate change mitigation and adaptation. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[d],3,666c949cfdd0fc3e89ada9e0cd1dbf2d,"Many international jurisdictions, including Australia, are committed to ensuring large businesses and financial institutions provide investors and other stakeholders with greater transparency and accountability when it comes to their climate-related plans, financial risks, and opportunities. Australia is seeking to introduce standardised, internationally-aligned reporting requirements for businesses to make disclosures regarding governance, strategy, risk management, targets and metrics  including greenhouse gases. These requirements are intended to be aligned with new standards recently released from the International Sustainability Standards Board (ISSB) based upon multiple existing frameworks, including the TCFD. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[j],5,9f4b82924946868ccae08e5009ba38e8,Scenario analysis and stress testing AGL employs scenario analysis and stress testing techniques to assess the resilience of our business and operations in the face of different climate-related scenarios. This helps AGL understand potential future risks and adapt our strategies accordingly. 
"Australia_AGL, 2023, FY23 TCFD report August 2023",[d],5,b023f12131d92e9643e16814fb284b70,"Reporting and disclosure AGL provides transparent and comprehensive reporting on our climate-related risks, including the disclosure of relevant metrics, targets, and performance indicators. This includes aligning our reporting with recognised frameworks such as the TCFD to enhance the consistency and comparability of information. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[e],7,3e472a77a464e19be9171046bf2ac5d4,"In September 2022, AGL released our inaugural Climate Transition Action Plan (CTAP), outlining targets which support the transition to a lower carbon world aligned with the Paris Agreement goals.1  AGLs CTAP commitments include bringing forward our exit from coal, targeting the closure of Loy Yang A Power Station by the end of FY35  up to a decade earlier than previously announced. Following the closure of our coal-fired power stations, AGL will be net zero for operated Scope 1 and 2 emissions.2 In addition to our commitments to accelerate our exit from coal-fired generation, we are seeking to supply our customer demand with 12 GW of additional renewable and firming capacity before 2036, with an interim target of 5 GW by 2030. This new plan builds upon AGLs proud history as one of Australias largest investors and operators of renewable energy. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[e],7,5c613ac64778a263faf475814863cc4e,1. Based on scenario modelling of the National Electricity Market (NEM) undertaken by ACIL Allen (as outlined in Section (<>)3.3) utilising a carbon budget for the NEM which is consistent with limiting global temperature increases to well below two degrees Celsius above pre-industrial levels. 
"Australia_AGL, 2023, FY23 TCFD report August 2023",[d],11,4432c68bab041ddab22a001d9557d725,"In 2022 AGL engaged ACIL Allen (ACIL) to conduct economic modelling of four different decarbonisation scenarios for the National Electricity Market (NEM), utilising relevant assumptions from AEMOs ISP in order to provide a level of comparability to other recognised scenarios. AGL believes that the scenarios modelled remain relevant. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[e],11,6a39947c2c475bc58404132713d4150f,"Rapid consumer-led transformation of the energy sector and co-ordinated economy-wide action, fuelled by a step change in policy commitments and deployment and coordination of enabling technologies, delivering a Paris-aligned decarbonisation pathway  Accelerated policy action and significant technological breakthroughs driving a rapid transformation of the economy, delivering a 1.5C-aligned pathway. "
"Australia_AGL, 2023, FY23 TCFD report August 2023","[a, g]",11,2a026ab9b859c0d8f3dd900fdd89068c,"1. Relative Concentration Pathways (RCP) are concentration pathways for greenhouse gases and aerosols, demonstrating possible future emissions and radiative forcing (i.e. temperature intensity) scenarios for the world until 2100, as defined by the IPCC. The temperature outcomes represent the temperature increase delivered by 2100, relative to pre-industrial levels. Targeted carbon constraints for each scenario are taken from the AEMO ISP scenarios as identified in the scenario assumptions table below. "
"Australia_AGL, 2023, FY23 TCFD report August 2023","[e, f]",11,231b7f5c3948ebdf4beb24ca110020c6,"Under Scenario III, meeting a Paris well below 2C aligned carbon constraint results in coal-fired generation exiting the system in advance of economic closure dates and operating at relatively lower load profiles compared to Scenario II, while the increasing electrification macro trend drives increasing system demand. This results in approximately 250 GW of renewable and storage capacity being added to the grid over the FY24-FY50 period. Annual emissions levels and emissions intensity of NEM generation declines more rapidly than under Scenarios I and II, owing to earlier coal exits and strong growth in renewable generation, and the NEM reaches net zero emissions in the early 2040s. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[e],11,b7c081ecbffa68a85b9b285c5584ff37,"Under Scenario IV, meeting a Paris-1.5C aligned carbon constraint results in an accelerated exit of coal-fired generation from the system, with all coal closed by the early 2030s, while the increasing electrification macro trend and longer term shift to hydrogen generation technology drives a strongly increased long-term system demand outlook. This results in approximately 295 GW of additional renewable and storage capacity being required by the grid over the FY24-FY50 period. Annual emissions levels and emissions intensity of NEM generation decline more rapidly than under Scenarios I - III, owing to accelerated coal exits and strong growth in renewable generation, with the NEM reaching net zero emissions by 2040. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[e],12,75253fb36fbff479fb72a77c5bb2971d,"To achieve a well below 2-degree outcome in the NEM, there is a need for a significant infrastructure and asset replacement program. This will require substantial investment in new variable generation, transmission, low-emissions dispatchable plants, storage, and technologies that provide system services. Our modelling indicates that while this transition is achievable, the scale of investment required to meet modelled timeframes will present some challenges. AGL is seeking to meet these challenges through our extensive focus on building our development pipeline of renewable and firming generation as well as our battery storage projects. "
"Australia_AGL, 2023, FY23 TCFD report August 2023",[e],12,1cc2474b98fe63fcdaf518870a39ae04,"These market challenges also have implications for the Australian electricity sectors ability to meet the renewable and firming capacity required to replace thermal assets in line with the Paris Agreements higher ambition to limit global warming to 1.5 degrees above pre-industrial levels. Our scenario analysis suggests that coal-fired plants within the NEM would need to retire by no later than FY31 (Scenario IV). Meeting this decarbonisation pathway would require approximately 100 GW of additional capacity by 2030, with capacity needs and associated costs rising to approximately 270 GW and over 180 billion, respectively, by 20501. "
