File,Codes,Page,ID,Text
"Australia_Origin, 2022, Climate Transition Action Plan 2022",[k],1,f5855d88dae0c73011a6bc4b6dfbdb1d,We include estimates of Scope 3 emissions in the calculation of our targets as a means to more accurately represent the value chain emissions associated with the action we are taking as we transition our business. Including these emissions in the calculations should in no way be construed as an acceptance by Origin of responsibility for these emissions. 
"Australia_Origin, 2022, Climate Transition Action Plan 2022","[a, e]",3,34e3ab4b0b46634112988f315e6fc05e,"Origin has a track record in advocacy and action on climate change, and we have taken many steps to position our business for a low carbon future. As the latest science from the Intergovernmental Panel on Climate Change (IPCC) confirms, greater ambition and action will be required by society, including Origin, to limit the global average temperature rise this century to 1.5C above preindustrial levels, consistent with the goals of the Paris Agreement. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022",[e],3,d70b4ac38a023b57c6a29b56b686c888,"We are targeting a 40 per cent reduction in Scope 1, 2 and 3 equity emissions intensity by 2030 from a FY2019 baseline, which includes emissions from our operated and non-operated activities, and from our customers consumption of our products. Our emissions intensity target is consistent with the goals of the Paris Agreement7 and more ambitious than our previous 2032 targets. We are also targeting a 20 million tonnes reduction in absolute Scope 1, 2 and 3 equity emissions by 2030, from a FY2019 baseline, to complement our emissions intensity target. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022",[b],3,c57057fd776b9d347c08929ec2c58ed4,"IEA (2021), Net Zero by 2050, IEA, Paris, page 13  7 Pursuant to the methodology set out in this CTAP. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022",[p],4,ade81f16644ede4c3f1b92f6a9553fe5,"We believe demand for gas will decline over time, as more sectors electrify and customer preferences change, and continue to explore the potential of green hydrogen, as we believe it will play a role in the future energy mix, including as a replacement for gas for certain uses. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022",[e],4,3d5b2035f13cca0f980c77c34a1306ac,"We believe Origins future prospects will benefit from the opportunities arising from the energy transition and the decarbonisation of society. We consider that our updated medium-term emissions intensity target and long-term net zero emissions ambition are consistent with the goals of the Paris Agreement,8 and your Board recommends that you vote in support of this plan. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022","[e, j]",5,330641b9d2d8c537703f77e00fa9b98b,"Long-term ambition to achieve net zero Scope 1, 2 and 3 emissions by 2050 A refreshed strategy supported by three strategic pillars, to decarbonise Origin and create value for shareholders Medium-term target and long-term ambition consistent  with goals of the Paris Agreement New short and medium-term targets to accelerate decarbonisation  Remuneration linked to  short-term target Scenario  analysis to test resilience of our business and strategy to a 1.5C pathway Principles to  support a just  transition Transparent reporting of our progress and continued engagement Capital  allocation consistent with strategy  and decarbonisation targets across portfolio Robust governance and accountability   Excluded from this target is the potential future emissions from any development of new gas fields. However, any development would only occur where it was consistent with our net zero emissions by 2050    Pursuant to the methodology set out in this CTAP. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022",[b],7,feadc158173865ce0af842b9f91e03c3,"14 IEA (2021), A Roadmap for the Global Energy Sector notes that its Net Zero Emissions (NZE) Scenario results in a significant reduction in fossil fuel demand. Under this scenario global annual natural gas demand falls from 3,900 billion cubic metres (bcm) to around 1,700 bcm by 2050. While demand for gas falls significantly by 2050 under this scenario there is a long-term role for gas. A significant amount of the gas produced after 2050 under this scenario is associated with hydrogen production in facilities with carbon capture and storage (CCS), with the balance used in industry  minister.industry.gov.auministerstaylormedia-releases  australia-japan-clean-hydrogen-trade-partnership  15 growth in electricity  demand in NEM by 2030 8x growth in storage  in NEM by 2030 6x growth in hydrogen globally by 2050 40 growth in electricity demand globally by 2030 21 of NEM sourced from coal by 2030 73 of NEM to be  renewables by 2030  Domestic  step change scenario Global IEA (2021),  We have been progressively decarbonising our business and are focused on the energy transition. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022","[d, e, f, k]",8,db67082b85a7bcb76006f9ba62b169db," Became the first energy company in the world to commit to the We Mean Business Coalitions first seven commitments, including setting ourselves the goal of achieving an independently endorsed science-based emissions reduction target  Published our first climate scenario modelling analysis, examining the resilience of our wholesale generation portfolio under three scenarios, including a 2C warming scenario  Became the first Australian company to have emissions reduction targets approved by the SBTi16  Reduce Scope 1 and Scope 2 emissions by 50 by 2032 21 reduction achieved by FY202217  Reduce Scope 3 emissions18 by 25 by 2032 15 reduction achieved by FY202217  Signed up to the G20 Financial Stability Boards Task Force on Climate-related Financial Disclosures (TCFD) and began reporting against the TCFD framework  Updated our scenario analysis on the resilience of our generation portfolio, to evaluate the impact of the more ambitious Paris Agreement goal of a 1.5C warming pathway  Published our first review into our industry association memberships and their respective positions on climate  change and climate- related policies  Announced a new short-term emissions reduction target, linked to executive remuneration  Reduce Scope 1 equity emissions by 10 on average, over FY2021- FY202316 16 reduction achieved FY2021-FY202217  Announced our ambition to achieve net zero Scope 1 and 2 emissions by 2050  Announced our support for the Say on Climate initiative and our intention to put our climate reporting to a non-binding, advisory vote of shareholders at our 2022 AGM 2015 2017 2018 2019 2020 2021 2022  Announced the accelerated retirement of Eraring, our only coal-fired power station  Refreshed our strategy and articulated our ambition to lead the energy transition through cleaner energy and customer solutions  17 Based on estimates as at the date of this Plan. Where data is not available due to timing, we apply a reasonable estimation methodology. Where applicable, we revise prior year data to update prior estimates and align with external reporting requirements such as NGER  18 Incurred within the domestic market excluding liquefied petroleum gas (LPG) and Corporate as their emissions are not material. Does not include Australia Pacific LNGs LNG exports  Our long-term ambition is to achieve  net zero Scope 1, 2 and 3 emissions by 205019  cumulative reduction in Scope 1 equity emissions between FY2021-FY2023, against FY2017 baseline  reduction in Scope 1, 2 and 3 equity emissions intensity against FY2019 baseline19,20,21  reduction in absolute Scope 1, 2 and 3 equity emissions against FY2019 baseline19,20  19 Covers all material Scope 1, 2 and 3 emissions. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022","[a, e]",9,089f1bd1c27661e21bfca2c8e8097cfa,"20 Excluded from these targets are the potential future emissions from any development of new gas fields. This is because there has been no decision, nor are we close to a decision, to produce those gas resources. However, any development would only occur where it was consistent with  our net zero emissions by 2050 ambition. 21 Subject to limited assurance by EY  The IPCC is the most authoritative source of information on the science of climate change.22 To develop the 1.5C Paris-aligned pathway envelope for our net zero emissions ambition, we first looked to the IPCC special report to the United Nations Framework Convention on Climate Change (UNFCCC) on the impacts of Global Warming of 1.5C, published in October 2018 (1.5SR). "
"Australia_Origin, 2022, Climate Transition Action Plan 2022","[a, e]",10,2794b7b3c7732da648afcd1e84b7e336,The IPCC 1.5SR contains 90 scenarios consistent with limiting the average global temperature increase to 1.5C above pre-industrial levels. A number of these scenarios contain pathways which temporarily overshoot 1.5C and rely on negative emissions in the second half of the century to reduce temperatures back to 1.5C. 
"Australia_Origin, 2022, Climate Transition Action Plan 2022","[a, d, e]",10,651b81a47216d40bd7cb7887068973e3,Our approach has been informed by the SBTi Foundations of Science-Based Target Setting guidance and the SBTi selection of 20 recommended IPCC 1.5C low and no overshoot scenarios23 to translate the IPCC 1.5C low and no overshoot scenarios to a pathway envelope. 
"Australia_Origin, 2022, Climate Transition Action Plan 2022","[b, e]",10,7225c1e7c25298e413c263c1a0fa79d9,"As a further reference, we included the International Energy Agency (IEA) Net Zero report24 pathway (IEA NZE) as it provides a greater degree of sectoral  We believe our medium-term emissions intensity target is consistent with the goals of the Paris Agreement. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022",[e],10,2fc5d533d4fab93da860bcde090f5273,"granularity. Together, these 21 scenarios form our 1.5C Paris aligned pathway envelope. "
"Australia_Origin, 2022, Climate Transition Action Plan 2022","[d, e, k]",10,54d44f45c4744f94a78509e19152d678,"To translate our final 1.5C Paris-aligned pathway envelope to an emissions intensity target, we referred to the SBTi oil and gas sector draft guidance, published in August 2020.25 As an integrated energy company that operates across both the power and oil and gas sectors we adopted an emission intensity target, on an equity basis26 that covers our value chain of equity Scope 1, 2 and 3 emissions27, similar to many of our peers. This method captures Scope 1, 2 and 3 emissions, including direct and indirect emissions derived from the end use of our products, including our share of Scope 3 emissions from Australia Pacific LNG.28  We have applied the Sectoral Decarbonisation Approach (SDA)29 in setting our emissions intensity target. The SDA adopts a subsector-level approach and global least cost mitigation perspective in allocating the remaining carbon budget to different sectors. The SDA uses the convergence allocation formula for emissions intensity to set targets. The convergence approach takes into account the initial starting intensity of the sector and reduces the emissions intensity to a common value in the future. In Origins case, as we operate across multiple sectors, the sector is the integrated energy sector which encompasses the overall provision of energy to the economy. "
