File,Codes,Page,ID,Text
"Australia_Rio Tinto, 2021, Climate Report 2021","[e, q]",1,1ca4992c2e852fe3689b33a78395c6db,"Producing materials essential for the low-carbon transition 6  Reducing the carbon footprint of our operations 10  Partnering to reduce the carbon footprint of our value chains 12  Enhancing our resilience to physical climate risk 14  Capital allocation alignment with our decarbonisation strategy 26  Visit (<httpswww.riotinto.com>)riotinto.com to find out more  Cover  Iron Ore Company of Canada (IOC) operations  Commitment to engage with iron ore and bauxite customers  to share decarbonisation plans and seek collaboration  Up to 3bn growth capital in materials enabling the energy transition  Investment in multiple low-carbon steel technology pathways  coordinated by dedicated steel decarbonisation team  our best estimate of capital spend on mitigation to 2030, of which 1.5bn in 2022-2024  External third-party assurance of our emissions and alignment of target with 1.5C  Customer partnerships with Baowu, Nippon Steel, POSCO and BlueScope  expected to reduce as energy efficiency work matures  and review all our industry associations positions and advocacy annually  targeting 1GW in the Pilbara and green repowering solutions for our Boyne Island and Tomago smelters  Scale up the ELYSISTM technology for installation from 2024  to incentivise efficiency and new mitigation projects  for emissions from process heat, mobile diesel, anodes and reductants  Net zero emissions from shipping by 2050 and 40 reduction in intensity by 2025  While there is broad consensus on the need to tackle climate change, there has not yet been sufficient action globally. Governments, civil society organisations, companies and investors converged at COP26 to reset their ambition to reduce emissions and work in partnerships to transform our economy to net zero. I was fortunate to attend the summit and came away from it more convinced than ever that Rio Tinto is an integral part of the solution to climate change. It was clear in Glasgow that this is the decade for action. The determination for action from the worlds largest economies was particularly significant. "
"Australia_Rio Tinto, 2021, Climate Report 2021",[d],6,35c87b51d135e457534227c27e7e2acb,"Part 1 of this report, our fourth in line with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD), details our 2021 performance on climate change across four areas  Producing materials essential for the low-carbon transition  Partnering to reduce the carbon footprint of our value chains  Enhancing our resilience to physical climate risk  In Part 2, we outline our updated Climate Action Plan, targets, goals and priorities for the short, medium and long term towards our commitment to reach net zero by 2050. "
"Australia_Rio Tinto, 2021, Climate Report 2021","[e, f, j]",6,bf1b5ed54d1ed7121f9f5d03c4b9d80b,"We use global scenarios in our strategy and capital allocation processes to stress test our portfolio and investment decisions under alternative macroeconomic settings and commodity outlooks. We do this with a comprehensive and robust scenario framework structured around three global forces geopolitics, society and technology. One of our three scenarios has a temperature outcome of well below 2C, and although this is aligned with the goals of the Paris Agreement it is not as ambitious as a 1.5C trajectory. These scenarios are reviewed every year as part of our Group strategy engagement with the Board and inform our efforts to build a strong and resilient business as well as leverage new trends and opportunities. "
"Australia_Rio Tinto, 2021, Climate Report 2021",[b],6,29b037c676e068012af881c76a361aa9,"As part of our scenario process we also consider external scenarios, such as the IEA new NZE2050 scenario which has a temperature outcome of 1.5C. This scenario shows that the primary energy intensity of global GDP would need to fall by 4.5 each year to 2030, electricity share of final energy demand would need to rise to 28 by 2030, and emissions from the power sector would need to fall by 60 over the same period. This would represent a much faster energy transition over the next decade than is assumed in our scenarios, requiring a very high level of co-ordination in climate policies across sectors and countries. "
"Australia_Rio Tinto, 2021, Climate Report 2021",[e],11,75fdc99df0c4b2a88220429957c6e39c,"We are accelerating the decarbonisation of our assets to strengthen our alignment with the goals of the Paris Agreement and aim to reduce our emissions by 50 by 2030. In 2021, our Scope 1 and 2 emissions fell to 31.1Mt CO2e, equivalent to a 4 reduction against our 2018 equity emissions baseline. "
"Australia_Rio Tinto, 2021, Climate Report 2021","[a, e]",11,0b3268de50a2462bf9aac2ab6034d856,"Article 2 of the Paris Agreement sets out its main aims, which include holding the increase in global average temperature to well below 2C above pre-industrial levels and pursuing efforts to limit the temperature increase to 1.5C. In the Glasgow Climate Pact adopted at COP26, governments resolved to pursue efforts to limit the global temperature increase to 1.5C. The Pact states that this requires rapid, deep and sustained reductions in global greenhouse gas emissions, including reducing global carbon dioxide emissions by 45 per cent by 2030 relative to the 2010 level and to net zero around mid-century, as well as deep reductions in other greenhouse gases. This is consistent with the IPCCs Special Report on 1.5C that sets out multiple pathways to limiting warming to 1.5C which average around net zero emissions by 2050. "
"Australia_Rio Tinto, 2021, Climate Report 2021",[e],11,b842a400f3ee34c18774ea0e167567b0,"While there is no universal standard for determining the alignment of targets with the Paris Agreement goals, we assessed the alignment of our targets with 1.5C with the following  Estimated equity emissions in 2010 were 44.5Mt CO2e. Subtracting divestments between 2010 and 2018 brings this total to 35.0Mt CO2e. Our 2030 target is therefore equivalent to a 53 reduction from our 2010 equity emissions (excluding divestments). "
"Australia_Rio Tinto, 2021, Climate Report 2021","[a, e]",11,736e678d11b17f028418e664bf0b38e8,Our commitment to reach net zero emissions by 2050 and our interim targets align with the science-based pathways set out in the IPCCs Special Report on 1.5C. 
"Australia_Rio Tinto, 2021, Climate Report 2021","[d, e]",11,d9fc501ef294c7d7f729cf4cc4a2cae5,"The Science Based Targets initiative (SBTi) states that the minimum reduction required for targets in line with 1.5C scenarios is 4.2 in annual linear terms. Although we do not expect a linear trajectory to our target, this equates to 50 reductions over the period 2018-2030 (to the nearest percentage)1. "
"Australia_Rio Tinto, 2021, Climate Report 2021",[e],11,f8ae480f2ce60dcb0eaaf1731e4def26,"Based on this assessment, we conclude that our Scope 1 and 2 targets for 2030 are aligned with efforts to limit warming to 1.5C which is aligned with the stretch goal of the Paris Agreement. "
