File,Code,Text
"Australia_Rio Tinto, 2023, Climate Report 2023",[Scope3],"['Climate Action Plan – 2023 progress and 2024 update 6 ', 'Scope 1 and 2 emissions: Decarbonising our operations ', 'Scope 3 emissions: Partnering across our value chains ', 'Our operations are located on land and waters that have belonged to Indigenous Peoples for thousands of years. We respect their ongoing deep connection to, and their vast knowledge of, the land, water and environment. We pay respects to Elders, both past and present, and acknowledge the important role Indigenous Peoples play within our business and the communities where we live and work. ']"
"Australia_Rio Tinto, 2023, Climate Report 2023",[Scope3],"['Our Climate Change Report is part of our broader 2023 reporting suite. You can find this report and others, including our 2023 Annual Report, Sustainability Fact Book, 2023 Addendum - Scope 1, 2 and 3 Emissions Calculation Methodology and Industry Association Disclosure on our website. Some of our reports are published on our website later in the year, including our 2023 Taxes Paid Report, Country by-Country Report, Modern Slavery Statement, and our Voluntary Principles on Security and Human Rights report. ', 'Cover | Employee at the boiler area, Yarwun Refinery, Australia. ', '2023 Addendum – Scope 1, 2 and 3 Emissions Calculation Methodology ', 'Scope 1 and 2 emissions: Decarbonising our operations ']"
"Australia_Rio Tinto, 2023, Climate Report 2023",[Scope3],"['Targets: 15% by 2025; 50% by 2030 (relative to 2018 equity baseline); net zero by 2050 ', '(20221: 32.7Mt CO2e) Delivery of our abatement projects slightly exceeded emissions growth from higher production ', 'Boron became the world’s first open cut mine to fully transition its heavy machinery from diesel to biofuels ', 'Wind and solar projects commenced construction at QIT Madagascar Minerals (QMM) and Richard’s Bay Minerals (RBM) ', 'BlueSmelting™ demonstration plant commissioned and first tonne of pre-reduced ore produced ', 'Continued to develop pilot projects in Madagascar and progressed pre-feasibility and feasibility work in South Africa, Guinea, US and Argentina ', 'Scope 3 emissions: Partnering across our value chains ']"
"Australia_Rio Tinto, 2023, Climate Report 2023","[Offset, Scope3]","['Excluding capitalised costs of RECs and voluntary and compliance offsets ', '1. We have restated prior year emissions numbers and our 2018 baseline following an update to our GHG reporting methodology. See our 2023 Addendum - Scope 1,2 & 3 Emissions Calculation Methodology for further detail. ', '2. Versus International Maritime Organization’s 2008 baseline. ', '3. Restated from 2022 to include other investments by the Office of the Chief Scientist and in battery materials. ', 'We are continuing to execute the strategy we set in 2021, which will deliver long-term value by focusing on growth in materials for the low-carbon transition, decarbonising our operations and tackling emissions across our value chains. We are creating more definition around how we will achieve our targets, and seeing the early results gives me confidence that we have the right objectives, the right team and the right strategy. ']"
"Australia_Rio Tinto, 2023, Climate Report 2023","[Paris, Scenario, Offset]","['2023 was another year of extreme weather and broken temperature records. In December, I attended the UN climate summit (COP28) and came away concerned the world is not on track with the Paris Agreement goal to limit warming to 1.5°C by 2100. National targets are not in line with the overall goal, and current climate policies in many countries are not yet aligned with their stated ambitions. ', 'Many 1.5°C scenarios now overshoot the long-term temperature goal and rely on significant deployment of carbon dioxide removals to get to net zero that may not be plausible. No single company or country can halt the course of climate change alone, so partnering to reduce emissions is vital. This is why we put the low-carbon transition at the heart of our business strategy and are working with governments, customers, communities and others to decarbonise our operations and value chains. ']"
"Australia_Rio Tinto, 2023, Climate Report 2023",[Paris],"['Our Scope 1 and 2 emissions targets are a 15% reduction by 2025 and 50% by 2030 relative to 2018 levels. These targets are ambitious and aligned with 1.5°C, the stretch goal of the Paris Agreement. They are particularly ambitious as, unlike our competitors, around 80% of our emissions come from processing activities, which are typically hard to abate. ', 'It is exciting to see some real momentum this year and we expect to have made financial commitments to abatement projects totalling more than 15% of our emissions by 2025. However, it takes time to deliver such complex and large-scale structural changes to our energy system, so the actual emissions reductions will lag this. In 2023, we made project commitments which will deliver abatement of around 2Mt CO2e per year, mostly in renewable energy contracts and ']"
"Australia_Rio Tinto, 2023, Climate Report 2023",[Scope3],"['Our Scope 3 emissions were 578Mt CO2e in 2023, of which 94% come from our customers processing our products. When we engage with our customers and their governments on climate change, we see they have real commitments to reduce their emissions. However, as they stand today, we estimate that those emissions will reach net zero by around 2060. It is clear that our customers and suppliers see Rio Tinto as being able to help them make a real difference to decarbonise. But it is clear we must do more, so we are committing to help them find better ways to achieve their targets a decade earlier – reaching net zero by 2050. ']"
"Australia_Rio Tinto, 2023, Climate Report 2023","[Paris, Scope3]","['In 2023, we improved our carbon emissions reporting and now use the market-based method as our primary measure for assessing performance against our targets. Further detail on this change in reporting and the implications for our emissions baseline is available in our 2023 Addendum - Scope 1, 2 and 3 Emissions Calculation Methodology ', 'We support the goals of the Paris Agreement, and climate change considerations are integrated into our strategic and operational decision making. Our approach is supported by strong governance, processes and capabilities. A carbon price has been integrated into our investment decisions since 1998, with separate price assumptions applied for the regions and main markets in which we operate and sell our products. We first set emissions intensity targets in 2008, updated them from 2015 and achieved them in 2020. ']"
"Australia_Rio Tinto, 2023, Climate Report 2023",[Scope3],"['Having divested the last of our coal businesses in 2018, we are orienting our growth capital expenditure towards materials that enable the energy transition, including copper, lithium and high-grade iron ore. Our ambition is to increase our growth capital to up to $3 billion per year in 2024 and 2025, developing new options and finding innovative ways of bringing projects onstream faster. ', 'Cat 1 Higher emission purchases (e.g. caustic, lime, explosives, coke, pitch, anodes) ', 'Cat 4 Transport (includes Rio Tinto chartered vessels) ', 'Cat 9 Transport (includes customer chartered vessels) ']"
"Australia_Rio Tinto, 2023, Climate Report 2023",Offset,"['Implemented pilot projects in Fort Dauphin, in southeastern Madagascar, and completed restoration and REDD+1 feasibility studies. ', 'Finalise feasibility studies in Guinea and South Africa. ', 'Apply dual pilot-feasibility approach to our priority regions to finalise feasibility studies and ramp-up implementation pilots. ', 'Finalise and disclose information on voluntary commercial agreements. ', 'Provide detail on our carbon credit sourcing strategy, including our integrity criteria, due diligence process and volumes. ', 'We are committing to partner with our customers and suppliers to find better ways to help them achieve their targets a decade earlier – reaching net zero by 2050. We are acting now by investing in the development of breakthrough technologies that will help decarbonise our value chains, and upgrading our ores to be suitable for these. ']"
