File,Codes,Page,ID,Text
"Australia_Sims Metal, 2022, Climate report 2022","[a, e]",4,2faac3521fbf26c92c4fa8cee1900ad9,"Over the past year, we have acknowledged the release of the Intergovernmental Panel on Climate Changes Sixth Assessment Report. It confirmed that the actions made during this decade will determine whether warming is limited to 1.5C above pre-industrial levels and if the most severe impacts of climate change are prevented. Since the release, we have elevated our ambitions on combating climate change, reflecting both the urgency of action needed to address this shared global challenge, as well as the opportunity presented by the transition to a low-carbon circular economy. "
"Australia_Sims Metal, 2022, Climate report 2022","[a, e]",7,8bc647550be635a44d2f4ae8c08b98e8,"During the reporting period, the Intergovernmental Panel on Climate Change (IPCC) published the Sixth Assessment Report, which provides the latest knowledge on climate change, the risks it poses to our planet and guidance on how to limit further climate change. The IPCC states that climate change is already causing more frequent and severe  extreme weather events including floods, droughts and wildfires. It also emphasises that limiting warming to 1.5C above pre-industrial levels is necessary to avoid the most catastrophic physical impacts of climate change, and to safeguard natural ecosystems, human health and societies. As a company, we acknowledge this science and have considered these reports in our strategy and governance. In FY22, we announced new targets for our climate action, which are more ambitious than those we previously released. "
"Australia_Sims Metal, 2022, Climate report 2022","[d, e]",8,6e326bca722e8e068594ef24134e00ed,"6 World Steel Association, (<httpsworldsteel.orgsteel-topicsraw-materials>)Raw materials Maximising scrap use helps reduce CO emissions  7 (<httpswww.bir.org>)Bureau of International Recycling (BIR)  Our targets, which cover our Scope 1 and 2 emissions, were developed following the Science-Based Targets Initiative (SBTi) methodology to align with the goals of the Paris Agreement. Targets are considered science-based if they are in line with what the best available climate science says is necessary to meet the goals of the Paris Agreements ambitious aim to limit average global warming to well below 2C by the end of the century compared to pre-industrial levels and pursue efforts to limit warming even further to 1.5C. "
"Australia_Sims Metal, 2022, Climate report 2022","[a, e]",9,a9062945fb50b8836068ecc9a9ffb567,"The IPCC provides a range of scenarios specifying the annual global GHG emissions that can be emitted to the end of the century to meet the Paris Agreement goals. Sims Limited analysed the 1.5C scenario to determine the level of operational emissions reductions required to match the same rate at which the worlds emissions must contract to meet this goal (known as the absolute contraction method). Based on our analysis, the emissions reductions associated with our short-, medium- and long-term targets fall within the range of emissions reductions required to be considered aligned with Paris Agreement goals. "
"Australia_Sims Metal, 2022, Climate report 2022","[d, k]",9,6fc3d9c1e1e69f5b729c58539690f2de,"As our Scope 3 emissions are more than 90 percent of our total inventory, any target that is formally endorsed by the SBTi must include a Scope 3 emissions reduction target. At the time of writing, SBTi and the steel sector are working to develop science-based, target-setting methodologies, tools and guidance for steel companies and stakeholders. The first public consultation is expected in late 2022 and final publication in the first half of 2023.9 As more than 80 percent of our Scope 3 emissions comes from the secondary metalmaking process, our Scope 3 emissions pathway will be heavily influenced by this guidance. We continue to engage with our customers to understand their decarbonisation pathways. For more about emissions in our value chain, refer to pages 26-33. "
"Australia_Sims Metal, 2022, Climate report 2022",[k],12,26e74eede89612c4fdb59420959dec19,"In FY22, Sims Limited measured our value chain emissions (Scope 3 emissions) for the first time. We will take a considered approach to setting Scope 3 targets, and we will further define our action plan for Scope 3 emissions during FY23. Refer to pages 26-33 for a discussion on Scope 3 emissions and our immediate action plans. "
"Australia_Sims Metal, 2022, Climate report 2022",[e],13,60708dabba752cb40dac84be71011fdd,Approved the revision of the Sims Energy and Climate Policy to include specific reference to the Paris Agreement goals. 
"Australia_Sims Metal, 2022, Climate report 2022","[i, j]",15,077cb101e26a2e5ddbee1897f1872808,"As part of the due diligence process, we assessed the medium-term and long-term climate risk, particularly risks due to flooding and sea-level rise, using different climate scenarios. We identified this site offered higher resilience under all scenarios. "
"Australia_Sims Metal, 2022, Climate report 2022",[e],16,880a222f6349e22000aae6c145c30d7c,"Sims Limited frequently works with stakeholders and engages with government on the design of circular economy and waste management policy and regulations, which are increasingly aligned to climate-action objectives. We do this in line with our long-standing support of policy and regulation that is applied equally and consistently, to lift the market to the high standards to which we operate. We support the development of Paris Agreement-aligned regulation and in FY21, we signed the , led by the We Mean Business Coalition, urging the Biden-Harris administration to set ambitious climate targets to cut GHG emissions in the United States by at least 50 percent below 2005 levels by 2030. "
"Australia_Sims Metal, 2022, Climate report 2022",[d],17,17cebc2e0cfafaaa38840824400d87bc,"Consistent with the TCFD recommendations, we have used scenarios to assist us with understanding these risks and opportunities. Scenarios describe a range of possibilities for the future, to provide a structured way of thinking through uncertainty and making strategic choices. "
"Australia_Sims Metal, 2022, Climate report 2022","[a, c, g]",17,6b266fa2354678817893ae142e246cd1,"We have used both lower- and higher-emissions scenarios to understand the potential projected range of climate-related financial impacts. We used publicly available  information from the Representative Concentration Pathways (RCPs) adopted by the IPCC Fifth Assessment Report (IPCC AR5) and Network for Greening the Financial System (NGFS), to describe different possible futures and indicative economic and social impacts. "
"Australia_Sims Metal, 2022, Climate report 2022",[e],18,d526224794671676af3a624f28bc9849,"with a 1.5C-aligned scenario (Net Zero by 2050), we will need to invest in  projects that reduce fossil fuel use and increase the percentage of renewable energy used. This is consistent with our committed targets and strategy. "
"Australia_Sims Metal, 2022, Climate report 2022",[d],18,448e8343795fa674fff0c8542fb6b0b8,Sims Limited has committed to becoming net zero by 2050 with staged goals at 2025 and 2030. Our Scope 1 and 2 targets are consistent with the SBTi methodology. 
"Australia_Sims Metal, 2022, Climate report 2022",[k],27,30f8ccbd2f5990e412dab205ae8690f9,"The best way for Sims Limited to contribute to the net-zero transition is to work in partnerships to help shape demand for circular, low-carbon metals and electronics. Our approach to addressing Scope 3 emissions is to engage with our customers on climate change and work with them to develop and scale up the technologies to decarbonise secondary metal production. We will consider how to best engage our value chain and appropriate targets for Scope 3 emissions reduction over the next 12 months. We will also continue to refine our procedures to collect complete and detailed data for sources of Scope 3 emissions. "
