File,Code,Text
"Australia_South23, 2022, Climate Change Action Plan 2022",[Scope3],"['This section of the Sustainable Development Report outlines South32’s Climate Change Action Plan (CCAP) and is intended to assist its investors with understanding South32’s policies and practices in responding to climate change. It has been prepared by South32 for submission to a shareholder advisory vote at South32’s 2022 Annual General Meeting. It has not been prepared as financial or investment advice or to provide any guidance in relation to the future performance of South32. In this CCAP (on pages 69 to 101 of the Sustainable Development Report), metrics describing GHG emissions are dealt with in the following manner: unless otherwise stated, (a) metrics describing our operational GHG emissions (i.e. Scope 1 and 2 GHG emissions) apply to ‘operated operations’ that are wholly owned and operated by South32, or that are operated by South32 in a joint arrangement(1)(2), and (b) metrics describing GHG emissions in the value chain (i.e. Scope 3 GHG emissions) apply to all of our operations including those that are wholly owned and operated by South32, and those that are operated and not operated by South32 in a joint arrangement. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",[Scenario],"['Like certain other sections of the Sustainable Development Report, the CCAP contains forward-looking statements, including statements in relation to climate change and other environmental and energy transition scenarios. These forward-looking statements reflect South32’s expectations at the date of this CCAP (including with respect to its strategies and plans regarding climate change), and they are not guarantees or predictions of future performance or outcomes, or statements of fact. They involve known and unknown risks and uncertainties, which may cause actual outcomes and developments to differ materially from those expressed in such statements. For further information regarding South32’s approach to risk, see pages 26 to 35 of our Annual Report. ', 'South32 makes no representation, assurance or guarantee as to the accuracy, completeness or likelihood of fulfilment of any forward-looking statement, any outcomes expressed or implied in any forward-looking statement or any assumptions on which a forward-looking statement is based. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",[Scenario],"['There are also limitations with respect to the scenario analysis which is discussed in this CCAP, and it is difficult to predict which, if any, of the scenarios might eventuate. Scenario analysis is not an indication of probable outcomes and relies on assumptions that may or may not prove to be correct or eventuate. Except as required by applicable laws or regulations, South32 does not undertake to publicly update or review any forward-looking statements. South32 cautions against reliance on any forward-looking statements or guidance, particularly in light of the long time horizon which this CCAP discusses and the inherent uncertainty in possible policy, market and technological developments in the future. ', 'Please see the inside front cover of this Sustainable Development Report for other important information regarding South32’s approach to reporting on climate change and sustainable development generally. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022","[Paris, Scope3]","['OUR PROGRESS ON CLIMATE CHANGE Since starting out, we’ve been taking action to address climate change. FY16 FY17 FY18 FY19 We committed to supporting the goals of the Paris Agreement within 12 months  of South32 being established. We developed Our Approach to Climate Change, focusing on climate change opportunity, resilience and emissions reduction. We set our long-term goal of achieving net  zero operational GHG emissions (Scope 1 and 2) by 2050. We published our first GHG emissions reduction target to keep our Scope 1 GHG emissions below the FY15 baseline  by FY21. We published our inaugural ‘Our Approach to Climate Change’ disclosure, in line with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD). We committed not to develop any new greenfield energy coal basins. We announced that we would manage South Africa Energy Coal (SAEC) as a standalone business, to sustainably improve its financial performance, broaden its ownership and simplify our portfolio. We published our second ‘Our Approach to Climate Change’ disclosure, including analysis of physical resilience for our Australian operations. We rolled out new emissions reduction initiatives at our operations, including the Cannington solar farm and Worsley Alumina biomass fuel trial to reduce energy coal consumption. We completed analysis  of physical resilience for all operations outside Australia. We completed decarbonisation concept studies for Worsley Alumina and Illawarra Metallurgical Coal. We set contextual water targets for Hillside Aluminium, Mozal Aluminium and Worsley Alumina in response  to projected physical impacts of climate change. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022","[Paris, Scope3, Scenario]","['FY20 FY21 FY22 FY23 We published  our policy positions in support of the goals of the Paris Agreement. We undertook a review of the climate change positions of our industry associations. We added copper to our portfolio and increased our exposure to low-carbon aluminium. We completed a trial of the AP3XLE energy efficiency technology at Hillside Aluminium and commenced its deployment. We linked long-term executive remuneration to progress on our climate change commitments. We updated physical climate risk assessments for our operations. We updated our Sustainability Policy, reaffirming our commitment to sustainable development. We set a goal of net zero Scope 3 GHG emissions by 2050. We made a commitment  not to develop or invest in greenfield metallurgical coal projects. Our Climate Change Action Plan will be the subject of a non-binding advisory resolution at our 2022 Annual General Meeting. We achieved our first GHG emissions reduction target, keeping our Scope 1 GHG emissions below the FY15 baseline. We announced our medium-term target to halve our operational GHG emissions by 2035 compared to our FY21 baseline. We exited carbon intensive and lower returning businesses, completing the divestments of SAEC and Tasmanian Electro Metallurgical Company (TEMCO). We assessed the resilience of our portfolio in a 1.5°C scenario. Employees inspecting a bauxite stockpile at our Worsley Alumina operation. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",[IPCC],"['The science is clear – human activity is causing climate change and the impacts are affecting ecosystems, biodiversity, and communities around the world. The recent Intergovernmental Panel on Climate Change (IPCC) report shows that the case for change has never been so compelling, and the time for action never so critical. The challenge we face will require a coordinated effort across governments, businesses, and communities to transition to a low-carbon(1) world in a just manner. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022","[Paris, Scope3]","['Within 12 months of South32 being established, we committed to supporting the objectives of the Paris Agreement and set a long-term goal(2) to achieve net zero operational greenhouse gas (GHG) emissions by 2050. Our first emissions reduction target(3) was to keep our FY21 Scope 1 GHG emissions below our FY15 baseline. In FY21, we achieved our first emissions reduction target and stepped up our ambition by setting our medium-term target – to halve our operational GHG emissions by 2035 from our FY21 baseline(4). Recognising that we have a critical role to play in contributing to the decarbonisation of the value chain, in partnership with our customers and suppliers, this year we have set a new goal of net zero Scope 3 GHG emissions by 2050. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022","[Scenario, Paris]","['We assess the resilience of our portfolio(6) in accordance with the recommendations of the TCFD. In our last assessment, we included a 1.5°C scenario to inform our assessment of the potential impact of a rapid global transition to a low-carbon world. This assessment was conducted in FY21 and showed that demand for most of our commodities would grow significantly under our 1.5°C scenario despite a rise in recycling rates, reflecting the critical role of many of our commodities as the world decarbonises. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",Offset,"['Decarbonising our operations is fundamental to the delivery of our strategy as we optimise and unlock the full value of our business. Our priority is to invest in reducing our operational GHG emissions over the use of carbon offsets, in line with our mitigation hierarchy. Our operational decarbonisation pathway to support delivery of our medium-term target and long-term goal consists of three steps: efficiency initiatives in the near term, transition to lower-carbon energy in the medium-term, and technology solutions in the longer-term. ', 'Four of our operations account for 93 per cent of our Scope 1 and Scope 2 emissions: Hillside Aluminium (59 per cent), Worsley Alumina (17 per cent), Illawarra Metallurgical Coal (10 per cent), and Mozal Aluminium (six per cent).(7) We are focusing our efforts on achieving material reductions in our operational GHG emissions at these operations. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",[Paris],"['communities, and other stakeholders we aim to support a fair and just transition for the regions surrounding Worsley Alumina and Hillside Aluminium. Our just transition planning for both operations is underway and is based on a set of guiding principles that are aligned with the objectives of the Paris Agreement. ', 'Given the complexities in decarbonising energy sources for Hillside Aluminium and Worsley Alumina, we have not set a short-term emissions reduction target. We will continue to evaluate our options but will only set a short-term target when we are confident that the pathway to meet a short-term target is credible, viable and just. ', 'Beyond our two largest emitting operations, we are focused on increasing the efficiency of coal seam gas drainage and reducing ventilation air methane (VAM) at Illawarra Metallurgical Coal, through innovative new technologies. ', '(5) Refer to market release dated 23 August 2022 at ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",[Scenario],"['(6) Scenarios are hypothetical and are not forecasts, but rather a tool used to enhance critical thinking, refine our strategy and support key business decisions. ', '(7) The sum of the categories may vary to the total figure due to rounding. See page 79 for further information on FY22 operational GHG emissions. ', 'At Mozal Aluminium, the smelter is already using renewable energy, and we are working to extend the hydroelectric power contract beyond its current expiration date of 2026. We are also investigating and assessing additional emissions reduction projects and technologies, such as inert anodes and anode coating technology. ', 'Our decarbonisation planning also encompasses our development options, such as the Hermosa project, where our focus is on the application of low-carbon design principles. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",[Scope3],"['While there is much we are doing ourselves to manage the risks and capture the opportunities of climate change, many of the challenges can be solved more quickly in partnership with others. By working with customers, suppliers, industry peers, technology partners and stakeholders, we can bring together our expertise, resources and learnings to address our shared challenges at speed. ', 'Having set a new goal of net zero Scope 3 GHG emissions by 2050, we are progressing near-term actions including to work with customers and suppliers to support and co-design emissions reduction programs, contributing to industry decarbonisation and product stewardship initiatives, and supporting the development of innovative technology solutions. Our approach is based on the materiality of Scope 3 GHG emissions in each reported category and the level of control or influence we have on the associated activities. ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",[Paris],"['We are a member of various industry associations where we contribute to knowledge sharing, proactive advocacy, and tangible action on climate change. We promote greater transparency on climate change positions to improve alignment, and directly advocate and seek to influence on issues in a way that is consistent with our approach to climate change. To remain consistent with our support for the objectives of the Paris Agreement, we do not support direct advocacy from our industry association memberships on energy coal expansion or energy coal subsidies, particularly in the absence of an associated position on technology development. ', 'At South32, we understand the need for bold action on climate change and we are responding by addressing our biggest challenges. Our Climate Change Action Plan describes how we are working in collaboration with our stakeholders to prepare our business for the global energy transition, meet our climate change commitments and achieve a just transition for our people, our business and our communities.” ']"
"Australia_South23, 2022, Climate Change Action Plan 2022",[Scenario],"['Our decarbonisation expenditure is likely to involve a greater proportion of operational expenditure when compared to others in the sector. Converting the electrical grid infrastructure that delivers power to Hillside Aluminium and Worsley Alumina is outside of our strategy and core capability. Therefore, we are seeking to partner with entities that focus on utility-scale energy projects and support their investments through long-term power purchase agreements, subject to them being financially viable. ', '(8) Refer to market release dated 23 August 2022 at ', 'Since 2017, we have been using scenario analysis to stress-test the potential impacts of climate change on our business and to inform stakeholders about potential risks and opportunities. We use a set of plausible, evidence-based and divergent scenarios that describe a spectrum of global temperature change outcomes, against which we test the resilience of our portfolio(9) . ']"
