File,Codes,Page,ID,Text
"Australia_South23, 2023, Climate Change Action Plan 2023","[e, j]",12,fea9813e46508d293eac51d00f5a98ac,"We are reshaping our portfolio toward the commodities that are critical in the transition to a low-carbon world and our commodity mix today is very different from when South32 was first established. We have added copper and grown our share of low-carbon aluminium production. Our next phase of growth is expected to come from our development options in North America and we continue to invest to discover deposits to underpin our next generation of mines. This year, we also updated our 1.5C scenario which we use to stress-test the resilience of our portfolio under a rapid global transition. "
"Australia_South23, 2023, Climate Change Action Plan 2023","[e, j]",91,66e30465098be826cfa5de91aad54da5," Delivered 14 per cent growth in aluminium production and 17 per cent growth in other base metals production, benefitting from our investments in copper and low-carbon aluminium   Advanced study work for the Hermosa projects Taylor silver-lead-zinc and Clark battery-grade manganese Deposits   Updated our 1.5C scenario and reassessed the resilience of our portfolio under a rapid global transition   Commencing development of the Taylor Deposit, subject to Board approval   Commencing development of exploration decline to access Clark ore for a planned demonstration plant   Advancing our pipeline of greenfield exploration opportunities targeting base metals  Reshaping our portfolio toward the commodities that are critical in the transition to a low-carbon world is part of our strategy and our approach to climate change. "
"Australia_South23, 2023, Climate Change Action Plan 2023",[j],94,19fd8fef28581efbf243d376621a5438,"We use scenario analysis to stress-test the potential impacts of climate change on our business and to inform stakeholders about potential risks and opportunities. We test the resilience of our portfolio against a set of plausible, evidence-based and divergent scenarios that describe a spectrum of global temperature change outcomes. "
"Australia_South23, 2023, Climate Change Action Plan 2023","[e, f]",94,376d4c08dcdc28880419b7315d2d0469,"While we are committed to the goals of the Paris Agreement, current global signposts continue to point towards a probable trajectory of at least 2C warming. Global GHG emissions remain on an upward trend and there is a persistent gap between the long-term pledges by governments and the private sector, and the level of action taken to date. "
"Australia_South23, 2023, Climate Change Action Plan 2023",[f],94,4b6b07b8392fb20d59874f44fd65c0a9,"Our base case assumes at least 2C warming and is used for our commodity and carbon price forecasts, planning, budgeting, investment decisions and valuation assessments. It assumes there will be increased commitment to climate action and to priorities which accelerate the transition towards a green economy, raising investments in green infrastructure and mitigating climate risks. "
"Australia_South23, 2023, Climate Change Action Plan 2023","[e, j]",94,e589b4caae0558d1474f5df67c2bef9e,"In FY21, we developed a 1.5C scenario (our FY21 1.5C scenario) and analysed the potential impacts on commodity demand to test the resilience of our portfolio under a rapid global transition. "
"Australia_South23, 2023, Climate Change Action Plan 2023",[e],94,d91f9023ce5d57c31b4d1b2de066c6d1,"In FY23, we updated our 1.5C scenario (our FY23 1.5C scenario) with support from an external consultant(6), to reflect rapidly evolving climate science, markets and changing stakeholder expectations. "
"Australia_South23, 2023, Climate Change Action Plan 2023","[b, e]",94,b1c4d669ab1bd0bf181c701e6d5fd29d,"Our FY23 1.5C scenario construct is primarily based on the International Energy Agencys Net Zero Emissions 2050 scenario (IEA NZE). The IEA NZE sets out one credible pathway to achieving a 1.5C outcome by 2050, providing a set of general assumptions on commodity demand drivers, scrap availability, material efficiency and carbon prices that we have used to guide analysis of the potential impact on South32s portfolio over the medium- and long-term if a rapid transition is achieved. It does not provide a full and detailed analysis that can be applied directly without further refinement. The World Business Council for Sustainable Development includes the IEA NZE in its climate scenario analysis tool. "
"Australia_South23, 2023, Climate Change Action Plan 2023",[e],94,4e563c92abe39d2f2cbca9aef6009229,"We combine the main scenario outputs on transition-related sectors, including electricity, buildings and transport, and a forward-looking view on demand intensities to model commodity demand in our FY23 1.5C scenario. The scenario accounts for recycling and reuse of metals to arrive at primary demand. "
"Australia_South23, 2023, Climate Change Action Plan 2023",[e],94,c9e87c555d24f98e3dc21fae41c52d53, Learn more about the key assumptions used in our FY23 1.5C scenario on the Portfolio Resilience Tab of our 2023 Sustainability Databook at www.south32.net. 
"Australia_South23, 2023, Climate Change Action Plan 2023",[e],94,ae59a00d790f75e2c4e76f012e85fb5a,"Commodity demand in our base case and 1.5C scenario  Our base case commodity outlook is developed through a bottom-up approach. We assess existing key policies, economic and technological drivers, and form a view on how they could evolve over the medium-term and long-term. We also consider projections of global and regional economic growth, demographic changes, and pace of urbanisation. We expect global GDP growth to average over two per cent per annum over the next three decades. In the base case, the adoption of cleaner technologies, such as the electrification of vehicle fleets and more efficient blast furnaces, is expected to accelerate. A growing environmental focus is also expected to drive increased scrap usage and demand for better quality raw materials. This underpins the long-term demand for our commodities, including base metals and manganese. "
"Australia_South23, 2023, Climate Change Action Plan 2023",[e],94,8fab4937f30abc4a92b2c98e29d760c9,"In our FY23 1.5C scenario, the transition towards a low-carbon world occurs at a much more rapid pace than in our base case across all major sectors. Overall, total demand is higher for most base metals and manganese compared to the base case, while material efficiency assumptions lower the demand for the aluminium value chain and metallurgical coal. Accounting for recycling and increased scrap usage, primary commodity demand shows a similar trend as total demand, with the exception of nickel where significant battery recycling is incorporated. From a supply perspective, higher carbon costs compared to our base case are modelled into the cost curves. Under our FY23 1.5C scenario, a higher price outlook for most commodities (except lead) is driven by higher demand (required to incentivise new supply) and higher carbon costs faced by producers. "
"Australia_South23, 2023, Climate Change Action Plan 2023",[e],94,25f0be4a3d14f6e4c17978304889641b,Learn more about the primary differences between our FY23 1.5C scenario compared to our base case in our 2023 Sustainability Databook at www.south32.net. 
"Australia_South23, 2023, Climate Change Action Plan 2023","[e, j]",95,299365fde440862b60d08fcf84d84ed5,We use commodity and carbon prices in our FY23 1.5C scenario to assess the resilience of our portfolio under a rapid global transition. 
