File,Codes,Page,ID,Text
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[k],3,80c0286309c74f8013c90899a873016e,"This report includes our updated Climate Policy, which reinforces our objective to thrive through the energy transition as a low-cost, lower carbon energy provider. The report outlines a plan to meet our near- and medium-term targets to reduce our net equity Scope 1 and Scope 2 greenhouse gas emissions by 15 in 2025 and 30 in 2030 in support of our aspiration of net zero emissions by  2050 or sooner.1 The report also details Woodsides Scope 3 emissions plan which includes a target to invest US5 billion in new energy products and lower-carbon services by 20302. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[l],5,c1294cf1b2323d017027902d50e62d4e,"In 2021 our three major markets (Japan, China and Republic of Korea) updated their Nationally Determined Contributions under the Paris Agreement and set mid-century net zero goals.3  We have set near- and medium-term targets to reduce net equity Scope 1 and 2 greenhouse gas emissions. We have three ways to achieve these targets avoiding emissions through design reducing them through efficient operations and offsetting the remainder. Avoiding and reducing emissions are our first priority. Offsets, that are scientifically verified and accurately accounted for, also have an important role. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[b, e]",5,67671fdb9e553a68f2c2400a517a00ae,"We have tested our portfolio of producing and sanctioned assets against a range of climate-related scenarios from the International Energy Agency, including scenarios aligned with limiting climate change to 1.5 degrees Celsius. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[e],5,52c70e10a10080598bd570b07e54534e,"3 The Paris Agreement was adopted on 12 December 2015. Please refer to httpswww.unfccc.intprocess-and-meetingsthe-paris-agreementthe-paris-agreement  The Intergovernmental Panel on Climate Change has stated that it is unequivocal that human influence has warmed the atmosphere, ocean and land. An objective of the Paris Agreement is to hold the increase in the global average temperature to well below 2oC above pre-industrial levels and to pursue efforts to limit the temperature increase to 1.5oC. Many countries have set targets to reduce greenhouse gas emissions, including by changing the way they produce and consume energy. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[e, l]",6,a679e409b7880a18bbcf8d208262086b,"Setting science-based1 near, mid, and long-term net emissions reduction targets that are consistent with Paris-aligned2 scenarios, covering equity scope 1 and 2 emissions, both operated and non-operated.3  Developing and operating oil and gas projects in a manner that is consistent with these targets. This includes the deployment of lower-emission technologies (Design Out), supporting efficient operations (Operate Out) and use of robust offsets (Offset) as methods to reduce and offset greenhouse gas emissions. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[k, p]",6,a9d4b7931ae9aacb0f7353b6505774e7,"Investing in new energy products and lower carbon services to reduce customers emissions (part of Woodsides Scope 3 emissions), including but not limited to hydrogen, ammonia and carbon capture, utilisation and storage. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[e, f]",6,6dcc95cf78867df66bad6286bdba731e,1 Woodside is using the draft Prototype IFRS Sustainability Disclosure Standard definition of science-based (published 2021) which states targets are considered science-based if they are in line with what the most recent climate science sets out is necessary to meet the goals of the Paris Agreementlimiting global warming to below 2 degrees Celsius above pre-industrial levels and pursuing efforts to limit warming to 1.5 degrees Celsius.. See httpswww.ifrs.orgcontentdamifrsgroupstrwgtrwg-climate- related-disclosures-prototype.pdf (Appendix A). 
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[e],6,a4817a232a01383ba4cf7dcf42e95724,2 Woodside is using the draft Prototype IFRS Sustainability Disclosure Standard definition of Paris-aligned scenarios (published 2021) which states scenarios consistent with limiting global warming to below 2 degrees Celsius above pre-industrial levels and pursuing efforts to limit warming to 1.5 degrees Celsius. See httpswww.ifrs.org contentdamifrsgroupstrwgtrwg-climate-related- disclosures-prototype.pdf (Appendix A). 
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[b],10,4af66ab0d2509b40f67642c9e66b3894,"The Scope 1 and 2 greenhouse gas emissions from projects in all capital allocation categories need to be managed to meet our net equity emissions reduction target of 30 by 2030 and a net zero aspiration by 2050 or sooner.3   OIL GAS NEW ENERGY OFFSHORE PIPELINE LNG DIVERSIFIED Focus Generate high returns to fund diversified growth, focusing on high quality resources Leveraging infrastructure to monetise undeveloped gas, including optionality for hydrogen New energy products and lower-carbon services to reduce customers emissions hydrogen, ammonia, CCUS1 Characteristics High cash generation Shorter payback period Quick to market Stable long-term cash flow profile Resilient to commodity pricing Long-term cash flow Strong forecast demand Upside potential Developing market Lower capital requirement Lower risk profile Opportunity targets IRR > 15 Payback within 5 years2 IRR > 12 Payback within 7 years2 IRR > 10 Payback within 10 years2 Emissions reduction 30 net equity emissions reduction by 2030, net zero aspiration by 2050 or sooner3  Natural gas is the dominant product in Woodsides portfolio, representing approximately 81 of equity production in 2021. Most of our natural gas is sold as liquefied natural gas (LNG). Some relevant attributes of natural gas are  When used to generate electricity, natural gas emits around half the life cycle emissions of coal4  The International Energy Agency (IEA) advises that while renewable, nuclear and other low carbon power sources are expected to meet most additional power demand, gas and coal are expected to compete to fill the gap5  More than half of the worlds natural gas supply is used in sectors other than power generation, such as in industrial applications and fertiliser manufacturing, some of which have lower emissions intensity than power generation6,7  In the form of LNG, natural gas is transportable and flexible between destinations, which is an advantage during an uncertain and potentially volatile energy transition8  While energy storage technologies (such as batteries) continue to improve, natural gas enables cost-effective and reliable conversion of power grids to renewable electricity because of its ability to firm up intermittent generation (that is, support intermittent renewable generation by quickly ramping up or down to ensure stable electricity supply)9  Natural gas is also used for hydrogen manufacture by steam methane reforming. This process, including carbon capture and storage (CCS), is predicted by the IEA to represent almost half of hydrogen production in 2030 in their Net Zero Emissions by 2050 Scenario (NZE).10  (<httpiea.orgreportsthe-role-of-gas-in-todays-energy-transitions>)Refer to IEA report at iea.orgreportsthe-role-of-gas-in-todays-energy-transitions  1 CCUS refers to carbon capture utilisation and storage. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[b, k]",11,0b06e66ec02768763e5234389b68d001,"Oil plays an important part in Woodsides portfolio. Even in the most ambitious decarbonisation scenarios, such as the IEAs NZE scenario, oil consumption is modelled to remain in excess of 24 million barrels per day in 2050 (compared to 90 million in 2020).5 On average, the Scope 1 and 2 greenhouse gas emissions arising from conventional offshore oil production are lower than from the production of LNG, but when combusted the Scope 3 emissions from using the product are higher.6,7  Oil demand will be increasingly substituted out of the relatively easy to abate sectors such as power generation and road passenger vehicle transportation, but remain stronger for hard-to-abate and non-combustion uses such as aviation and synthetic materials.8  Oil projects typically have shorter payback periods than LNG projects.4 They also typically generate strong cash flow, so we expect them to be an important part of funding Woodsides investment into new energy and lower-carbon services through the energy transition. For future oil developments we will target an IRR greater than 15 and payback within 5 years.4  New energy products and lower-carbon services in our portfolio  We recognise that while unabated natural gas can help countries move towards net zero greenhouse gas emissions, it cannot help them reach zero on its own because most end uses of natural gas result in greenhouse gas emissions. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[b],12,52487531a1d9bcb09504d8115739a2da,"The IEA has modelled a range of scenarios by which the energy transition could unfold. It is clear there is an important role for oil, gas and hydrogen in all IEA scenarios. Even in the Net Zero Emissions scenario the forecast cumulative global investment in oil and gas needed to meet the worlds energy needs is approximately US10 trillion by 2050. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[b, e, f]",12,006f3a2d7fa9448948a94792d7b152e2,"ESTIMATED CUMULATIVE GLOBAL INVESTMENT UNDER THE RANGE OF IEA SCENARIOS (US TRILLION)1  Oil and gas Hydrogen Net Zero Emissions (NZE) 1.5C Paris aligned scenario. Global temperature rise is limited to 1.5C with a 50 probability NZE 0 2020 2030 2040 2050 10 20 30 10.0 7.9 Sustainable Development (SDS) 1.5 to 1.65C Paris aligned scenario. Global temperature rise is limited to 1.65C with a 50 probability (potentially 1.5C with some level of net negative emissions) SDS 0 2020 2030 2040 2050 10 20 30 14.9 1.6 Announced Pledges (APS) 2.1C Not Paris aligned. Global temperature rise to 2.1C with a 50 probability APS 0 2020 2030 2040 2050 10 20 30 19.5 1.2 Stated Policies (STEPS) >2.0C Not Paris aligned. Global temperature rise above 2C STEPS 0 2020 2030 2040 2050 10 20 30 26.1 0.3  1 Based on data from IEA 2021. World Energy Outlook 2021 and IEA 2021 Net Zero by 2050 a roadmap for the global energy sector (all rights reserved) as modified by Woodside analysis, real terms 2019. These scenarios are described in full on page 22. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[e],13,ca6c4dbc0c9114725a25de26fab29a05,"Japan updated its First Nationally Determined Contribution on 22 October 2021. It states  Japan aims to reduce its greenhouse gas emissions by 46 percent in fiscal year 2030 from its fiscal year 2013 levels, setting an ambitious target which is aligned with the long-term goal of achieving net zero by 2050. Furthermore, Japan will continue strenuous efforts in its challenge to meet the lofty goal of cutting its emission by 50 percent. (Page 1)  Japan also published an Outline of Strategic Energy Plan in October 2021.1  This plan assumes that LNG, while reducing from 37 in 2019, still makes up 20 of Japans electricity generation mix in 2030. Renewables double from 18 to 36-38 and nuclear power increases from 6 to 20-22 (page 12). Outside the electricity sector it says in respect of heating  We will pursue the shift to natural gas on demand side and decarbonization of gas through methanation and other means, which play a significant role in decarbonizing heat demand. We will also work to further strengthen the resilience of gas. (Page 11)  The Peoples Republic of China updated its First Nationally Determined Contribution on 28 October 2021. It states  On September 22, 2020, President Xi Jinping declared, at the General Debate of the 75th Session of the United Nations General Assembly, that China would scale up its Nationally Determined Contributions (NDCs) by adopting more vigorous policies and measures, and aims to have CO2 emissions peak before 2030 and achieve carbon neutrality before 2060. (Page 5)  China will stringently curb coal-powered projects, set strict limitation on the increase in coal consumption over the 14th FYP period and to  phase it down in the 15th FYP period.2 The large scale development of wind and solar power will be accelerated, hydro power in accordance with local condition will be developed, nuclear power will be advanced in an ordered manner with the premise of ensured safety, and peaking power including energy storage and gas-powered electricity will be stepped up rapidly. (Page 34)  China will push forward technological breakthroughs in various fields to support the green and low-carbon transition, such as renewable energy, hydrogen energy, smart grid and energy storage, CCUS, circular economy, low-carbon transportation and smart cities, climate change impact and risk assessment. (Page 48)  Emphasis on this page has been added by Woodside. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[a, e]",14,c4318b1dd14949b8b89be617417e7267,"Woodside reports and sets company-wide targets to reduce Scope 1 and 2 greenhouse gas emissions on a net equity basis, including both operated and non-operated assets.1  In 2020, Woodside announced targets for near- and medium-term emissions reduction below the gross annual average equity Scope 1 and 2 greenhouse gas emissions over 2016-2020. These targets are to reduce net equity Scope 1 and 2 greenhouse gas emissions by  Towards an aspiration of net zero by 2050 or sooner.2  Woodside considers targets to be science-based if they are in line with what the most recent climate science sets out is necessary to meet the goals of the Paris Agreement - limiting global warming to below 2 degrees Celsius above pre-industrial levels and pursuing efforts to limit warming to 1.5 degrees Celsius. This is also the definition included in the International Financial Reporting Standards (IFRS) Foundations draft Climate-related Disclosures Prototype.3  The chart below is drawn from the IPCCs AR6-WG1 report, published in August 2021. Woodsides targets and net zero aspiration are superimposed upon the chart, to demonstrate that they are aligned to the IPCCs SSP1-1.9 scenario which would achieve a 1.4 degrees Celsius outcome by 2100. Woodside uses the IPCC Pathways when considering greenhouse gas emissions as they are a definitive and peer-reviewed source for global emissions pathways linked to climate impacts. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[a, e]",14,71f0f88b6fd20cdedbc44277d41ba998,"Woodside is aware that the Science Based Targets Initiative (SBTi) is considering a methodology for the oil and gas sector. The methodology is not yet complete. Woodside has discussed technical matters with SBTi in respect of the methodology that need to be resolved in order for it to be applicable to Woodside. Woodside also monitors and engages with the Transition Pathway Initiative, Climate Action 100, Carbon Tracker and Influencemap.4  WOODSIDES SCOPE 1 AND 2 GREENHOUSE GAS EMISSIONS REDUCTION TARGETS ARE ALIGNED WITH THE IPCCS PARIS-ALIGNED SCENARIOS  2020 2030 2040 2050 2060 2070 2080 2090 2100 SSP5-8.5 Best estimate temperature increase 4.4C (2081 to 2100) SSP3-7.0 Best estimate temperature increase 3.6C (2081 to 2100) SSP2-4.5 Best estimate temperature increase 2.7C (2081 to 2100) NET ZERO SSP1-2.6 Best estimate temperature increase 1.8C (2081 to 2100) SSP1-1.9 Best estimate temperature increase 1.4C (2081 to 2100) Trajectory of Woodsides net equity Scope 1 and 2 greenhouse gas emissions reduction targets and net zero aspiration Paris-aligned range This chart depicts global CO emissions trajectories associated with IPCC Shared Socioeconomic Pathways with Woodsides targets indexed to 2020.2,  1 Greenhouse gas emissions, energy values and global warming potentials are estimated in accordance with the National Greenhouse and Energy Reporting (NGER) methodology as applicable in FY20-21. Equity share is calculated in accordance with the GHG Protocols Corporate Accounting and Reporting Standard, page 17 Under the equity share approach, a company accounts for GHG emissions from operations according to its share of equity in the operation. The equity share reflects economic interest, which is the extent of rights a company has to the risks and rewards flowing from an operation. www.ghgprotocol.org. Please refer to the Glossary on page 41 for further definition of Scope 1 and 2 greenhouse gas emissions. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[a],14,ab5ca15484e96108ebf1de2e85cf1371,"4 SBTi - httpssciencebasedtargets.org Transition Pathway Initiative  httpswww.transitionpathwayinitiative.org Climate Action 100  httpswww.climateaction100.org Carbon Tracker  httpscarbontracker.org Influence Map  httpsinfluencemap.org  5 IPCC 2021. Climate Change 2021  the Physical Science Basis. Summary for Policymakers. Working Group I contribution to the Sixth Assessment Report of the Intergovernmental Panel on Climate Change, page 41. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[l],15,970abde1e8b251b5a427ebea511e2a38,"Avoiding and reducing emissions depends on changing the design or operating practice at our assets, which may require joint venture approval and face technical and economic constraints. However, offsets can be pursued on a project basis to meet regulatory requirements, or a Woodside-only basis to meet our voluntary targets. The role of offsets is discussed further on page 19. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[l, o]",17,bbbaf1584737b2cb2748d0db0c1350fa," Tree planting in Western Australia forms part of our portfolio of carbon origination projects 18 Climate Report 2021  The use of offsets to achieve net emissions reduction  Avoiding and reducing emissions are our first priority when planning how to achieve our net equity Scope 1 and 2 greenhouse gas emissions reduction targets. However, offsets  where emissions from within Woodsides business are balanced by reduction or avoidance of emissions elsewhere  also play an important role. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[l],18,8641992153ebae3706061f80b1abbbe9,"In the short- to medium-term, offsets can help Woodside to accelerate net equity emissions reduction beyond technical and economic limits for design-out or operate-out opportunities within our business, or while these opportunities are being implemented. This is important because near-term net emissions reduction preserves the worlds carbon budget, which is the amount that can be emitted prior to achieving net zero emissions, if it is to stay within any given temperature increase. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[a, l]",18,b1156f186621845e7720ce2ff20bd11d,"In the longer term, some of the technologies that underpin offsets are expected to play a sustained role in both neutralising the emissions from hard-to-abate sectors, and in driving towards net negative global emissions so that the concentration of greenhouse gases in the atmosphere begins to reverse. The importance of carbon dioxide removal (CDR) has most recently been described in the IPCCs AR6-WG1 report.1 Woodsides use of offsets provides investment into these technologies to help them develop and scale, and our direct participation helps to improve the robustness of methodologies and accounting techniques. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021",[l],18,7cb8ed004af1edf4c5759b3bfc91c939,Anthropogenic CO2 removal (CDR) has the potential to remove CO2 from the atmosphere and durably store it in reservoirs (high confidence).1  The acceptability of some offset technologies might change over time. The Oxford Principles for Net Zero Aligned Carbon Offsetting were published by the Smith School of Enterprise and the Environment at the University of Oxford in September 2020.2 They propose a hierarchy for how offset portfolios might develop. Woodside is considering how to align its carbon offset strategy with these principles. 
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[k, p]",19,d6cb18b0c1ec40e5677d68d36bfce715,"For Woodside, the largest source of Scope 3 emissions is from the use of oil and gas by our customers or use of sold product. Therefore, the key focus of our Scope 3 plan is on investing in the development of new energy products,  such as hydrogen and ammonia, and lower-carbon services such as CCS, that can significantly reduce these end-use emissions. From 2021, Woodside will report estimated Scope 3 emissions associated with our traded volumes of LNG as well as our own production, noting that this will result in some double counting of Scope 3 emissions with the original producer of this Traded LNG.3  Other sources of Scope 3 emissions for Woodside include waste, business travel, the purchase of goods and services, and the shipping of our products. Although these are a smaller proportion of emissions than those arising from the use of our product, these emissions may be easier to measure and influence. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[e, p]",20,d10eb1c6dd36464a0d7615dd04aa1d08,"INVEST NEW ENERGY PRODUCTS  LOWER-CARBON SERVICES Collaboration with customers to build market demand Recent announcements Heliogen, H2Perth, H2TAS, H2OK, CCS SUPPORT CUSTOMER AND SUPPLIER EMISSIONS REDUCTION Carbon offset cargoes    Methane Shipping   Contracting    Business travel PROMOTE GLOBAL MEASUREMENT AND REPORTING Emerging harmonisation of global standards Transparent emissions reporting New energy investment consistent with Paris-aligned pathways1  1. Invest in new energy products and lower-carbon services  Woodside expects increasing demand for new energy products such as hydrogen and ammonia, and lower-carbon services such as CCUS. These can reduce the emissions arising when our customers consume energy compared to unabated use of fossil fuels. "
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[b, e]",20,f1a19e753af8fc702120a2e84f0705ae,1 Relative oil and gas versus hydrogen potential investment consistent with a range of outcomes predicted between IEAs Net Zero Emissions (NZE2050) and Sustainable Development Scenario (SDS). The NZE2050 global temperature rise is limited to 1.5 degrees Celsius with a 50 probability and the SDS global temperature rise is limited to 1.65 degrees Celsius with a 50 probability (potentially 1.5 degrees Celsius with some level of net negative emissions). 2 Investment target assumes completion of the proposed merger with BHPs petroleum business. Individual investment decisions are subject to Woodsides investment hurdles. Not guidance. 
"Australia_Woodside, 2021, Climate Transition Action Plan 2021","[b, j]",21,535d103865c6a8957792e9b6a9e2141d,"Financial resilience testing of Woodsides portfolio using scenarios  Woodside uses a range of climate scenarios to test the financial resilience of our portfolio of producing assets and sanctioned projects, including the four scenarios published in the IEAs 2021 World Energy Outlook. The IEA scenarios were selected because they are publicly available and provide a wide range of potential energy transition pathways linked to different climate outcomes for resilience testing. "
