File,Codes,Page,ID,Text
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[e, j]",3,466cec6640fd1a06039e621b738e995d,"A key request from investors has been to explain more about future demand for our products through the transition, and why we believe that Woodsides projects will be competitive. This is key to successfully and profitably converting global demand for energy into realised sales of our products. As a result, we have included additional information in this report including  Analysis of how global energy markets might evolve, including in scenarios that could limit warming to 1.5C,  The potential role of natural gas in the energy transition,  How we assess our investments for their resilience to key aspects of the energy transition,  How we collaborate with customers to strengthen our trading relationships and understand policies in our key markets. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report",[l],4,b37e3a8c07d1ab926c2debdb67ba1cb2,2 Targets and aspiration are for net equity Scope 1 and 2 greenhouse gas emissions relative to a starting base of 6.32 Mt CO2-e which is representative of the gross annual average equity Scope 1 and 2 greenhouse gas emissions over 2016-2020 and which may be adjusted (up or down) for potential equity changes in producing or sanctioned assets with a final investment decision prior to 2021. Net equity emissions include the utilisation of carbon credits as offsets. 
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[b, l]",5,57fb289cbca176069c2da14739ac9658,"Portfolio of carbon credits 20 Mt CO2-e under management, acquired at an average cost <20t and subject to integrity due diligence.5  1 Quantification of avoided emissions is inherently uncertain. However, it is possible to provide an estimate by comparison to benchmarks of a comparable portfolio of LNG, conventional shelf and deepwater assets producing 187.2 MMboe (Woodside equity production 2023) with a similar product mix to Woodside. There are a number of potential benchmarks providing estimates of the 2023 global average emissions intensity of oil and gas operations. Based on Wood Mackenzies Emissions Benchmarking Tool, an estimate of avoided emissions is around 391 kt CO 2-e, whereas based on the industry average emissions reported in Table 3.1 of IEAs The Oil and Gas Industry in Net Zero Transitions (November 2023), an estimate of avoided emissions is around 1,705 kt CO2-e. The Estimated Avoided Emissions shown in this Graph represents  the range between the two estimates. Woodside does not independently verify the data behind these estimates. 2 Targets and aspiration are for net equity Scope 1 and 2 greenhouse gas emissions relative to a starting base of 6.32 Mt CO2-e which is representative of the gross annual average equity Scope 1 and 2 greenhouse gas emissions over 2016-2020 and which may be adjusted (up  or down) for potential equity changes in producing or sanctioned assets with a final investment decision prior to 2021. Net equity emissions include the utilisation of carbon credits as offsets. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report",[l],5,5ae740c3c32c1e06467190ff10ad5575,5 Woodsides approach to utilising carbon credits as offsets in the context of our pathway to net zero is discussed in Section 3.4. 
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[b, h]",6,9e1029e7d5bc77df389e2dd8011603b9,"INVESTING IN PRODUCTS AND SERVICES FOR THE ENERGY TRANSITION  Potential global use of gas in pathways that limit warming1  50 100 150 200 250 300 20502040203020202010 1.5C to 2C range (C1, C2, C3) Global gas use range1.5C (no overshoot) scenarios (C1) Global gas use range EJYear Natural gas supply with investment in existing and approved projects (IEA) Historical Gas Production (IEA) Natural gas supply with no further investment (IEA)  Investment in new energy products and lower carbon services by 2030. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[a, b, e]",6,3cac219458003520be94eea285d7d9e9,"Take FID on new energy products and lower carbon services by 2030, with total abatement capacity of  Cumulative total spend on new energy products and lower carbon services.3  Natural gas expected to have a sustained role in energy transition   In hard to abate sectors such as for high process temperature heat,  Chart shows range of global gas use in 1.5C and also 1.5C-2C pathways from the Intergovernmental Panel on Climate Change Sixth Assessment Report, compared to gas supply estimates from the International Energy Agency in the absence of investment in new fields. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[j, k, p]",6,1bf32595e71b13d5bcdd1e520f13a818,"Converting global demand into realised sales for Woodside requires   careful analysis of climate- and energy-related scenarios,   assessment of project resilience to the energy transition, and  New Scope 3 Emissions Abatement Target established to complement the existing Scope 3 Investment Target  New energy products (e.g. hydrogen) and lower carbon services (e.g. CCS) can help our customers avoid or reduce their Scope 1 or 2 emissions  and therefore reduce the life cycle (Scope 1, 2 and 3) emissions intensity of our portfolio. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[e, j]",7,3b0e75ba60793eafaac2c6a78f40906e,"This section explains how Woodside integrates consideration of climate change into its investment decisions about new projects. It includes information about  How global energy markets might evolve, including in scenarios that could limit warming to 1.5C  How we assess our investments for their resilience to key aspects of the energy transition  Scenario analysis of Woodsides portfolio, including with a 1.5C scenario  How we collaborate with customers to strengthen our trading relationships. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[d, e]",7,2d464584164485b6e6d2bd1fd48fa0b5,"This section explains how Woodside identifies and manages climate-related risks and opportunities. It includes information about  Our identified climate-related risks and opportunities  This section explains how Woodside engages with society on climate-related issues. It includes information about  Our advocacy and how we consider the Paris Agreement goals  This report contains disclosures consistent with TCFDs four recommendations and eleven recommended disclosures, noting its Guidance for all Sectors and Guidance for Non-Financial Groups. A table cross-referencing the content in this document to the TCFD recommendations is provided on page 80. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[j, l]",13,7e483c0d06b6a81952a40c0ceab5ae88,"OPTIMISE VALUE AND SHAREHOLDER RETURNSLOW COST LOWER CARBON PROFITABLE RESILIENT DIVERSIFIED WOODSIDES CLIMATE STRATEGY IS INTEGRATED THROUGHOUT OUR COMPANY STRATEGY REDUCE OUR NET EQUITY SCOPE 1 AND 2 GREENHOUSE GAS EMISSIONS DESIGN OUT Avoid emissions OPERATE OUT Reduce emissions OFFSET Residual emissions ASSESS Investments for energy transition resilience DIVERSIFY Invest in new energy products and lower carbon services SUPPORT Our customers and suppliers to reduce their emissions PROMOTE global measurements and reporting INVEST IN PRODUCTS AND SERVICES FOR THE ENERGY TRANSITION  1 For Woodside, a lower carbon portfolio is one from which the net equity Scope 1 and 2 greenhouse gas emissions, which includes the use of offsets, are being reduced towards targets, and into which new energy products and lower carbon services are planned to be introduced as a complement to existing and new investments in oil and gas. Our Climate Policy sets out the principles that we believe will assist us achieve this aim. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[b, k]",15,c00a04f6916f040601ce65fd2033f61a,"Quantification of avoided emissions is inherently uncertain. However, it is possible to provide an estimate by comparison to benchmarks of a comparable portfolio of LNG, conventional shelf and deepwater assets producing 187.2 MMboe (Woodside equity production 2023) with a similar product mix to Woodside. There are a number of potential benchmarks providing estimates of the 2023 global average emissions intensity of oil and gas operations. Two examples are Wood Mackenzies Emissions Benchmarking Tool, and the industry average emissions reported in Table 3.1 of IEAs The Oil and Gas Industry in Net Zero Transitions (November 2023). Comparing Woodsides Scope 1 and 2 emissions to their average intensity data indicates avoided emissions of 391 kt CO2-e and 1,705 kt CO2-e respectively. Woodside does not independently verify the data behind these estimates.1  Contributions to this were made by the intrinsic characteristics of our oil and gas resources, the design of our facilities, the 2016-2020 energy efficiency target, and the implementation of asset decarbonisation plans from 2021 onwards. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report",[l],15,1e0a51cb6bfde932345c1cf09f86accc,"A further indication of the underlying emissions performance at our facilities is that our Scope 1 and 2 gross emissions intensity (a measure of emissions, per unit of production) improved by 3 year on year, and is better than a comparable benchmark.3  We do not expect improvement of gross emissions like this every year for example, from 2024 the start-up of the Sangomar facility in Senegal (including one-off commissioning emissions) is expected to increase gross emissions for a period. This is why our utilisation of carbon credits as offsets is an important stabiliser, so we are able to reduce our net emissions consistently, notwithstanding operational fluctuations and while our asset decarbonisation plans build momentum. For more information on the use of carbon credits please see section 3.4. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[b, k, l]",16,8e621189b7561ad4571c7fc7d04d3f3d,"1 Quantification of avoided emissions is inherently uncertain. However, it is possible to provide an estimate by comparison to benchmarks of a comparable portfolio of LNG, conventional shelf and deepwater assets producing 187.2 MMboe (Woodside equity production 2023) with a similar product mix to Woodside. There are a number of potential benchmarks providing estimates of the 2023 global average emissions intensity of oil and gas operations. Based on Wood Mackenzies Emissions Benchmarking Tool, an estimate of avoided emissions is around 391 kt CO 2-e, whereas based on the industry average emissions reported in Table 3.1 of IEAs The Oil and Gas Industry in Net Zero Transitions (November 2023), an estimate of avoided emissions is around 1,705 kt CO2-e. The Estimated Avoided Emissions shown in this Graph represents the range between the two estimates. Woodside does not independently verify the data behind these estimates. 2 Targets and aspiration are for net equity Scope 1 and 2 greenhouse gas emissions relative to a starting base of 6.32 Mt CO2-e which is representative of the gross annual average equity Scope 1 and 2 greenhouse gas emissions over 2016-2020 and which may be adjusted (up or down) for potential equity changes in producing or sanctioned assets with a final investment decision prior to 2021. Net equity emissions include the utilisation of carbon credits as offsets. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report",[l],18,912b2e7f65246ef043dcb2493bf71943,3 Woodsides approach to utilising carbon credits as offsets in the context of our pathway to net zero is discussed in Section 3.4. 
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report",[l],19,3522c383ce6d6ebc22e6bf7260ebc287,"The next stage of our planning process is to determine which of the multiple abatement options should be selected. These technologies are not certain to mature to a level of cost at which they could be implemented on the full scale depicted in the chart on page 19. Because of this and in order to pursue a cost effective approach to decarbonisation, they will also be compared with alternatives, such as new emerging technologies, or the use of carbon credits as offsets. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report",[l],20,b5c2a820469181e25b8aef13fe395896,"These risks are mitigated by the ability to meet our targets through the additional use of carbon credits. Our use of carbon credits, including the steps we take to manage associated risks, is further described in section 3.4. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report",[l],23,62ec0d1814eb7337c7b7980c3c56c046,"These options are not technically or economically certain to proceed. With a focus on cost-effectiveness, they will also be compared with alternatives, such as new emerging technologies, or the use of carbon credits as offsets. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report",[l],27,e52ace81d16b0bc8741c8c3045bde38f,"ROLE OF CARBON CREDITS IN OUR DECARBONISATION PLANS  Woodside utilises certified carbon credits to offset equity Scope 1 and 2 emissions that are above our targets in a given year after design out and operate out measures have been taken. The availability of carbon credits to offset emissions is important because  gross emissions can fluctuate, for example, due to portfolio change or for operational reasons,  asset decarbonisation plans can take time to implement, especially where they are large scale or complex engineering projects, and  some decarbonisation technologies may prove too expensive to implement efficiently. "
"Australia_Woodside, 2023, Climate Transition Action Plan and 2023 Progress Report","[l, o]",28,3cc75a36294f2a3c3b9a65d624659431,"While avoidance and reduction credits will remain a large share of the portfolio in the near to medium term, we plan to increase the proportion of removal credits over time in support of our net zero aspiration. We currently have and will target to maintain a portfolio made up of 50 nature based removal credits (e.g. biosequestration). We also recognise that long term storage will become increasingly important. "
