File,Codes,Page,ID,Text
"Austria_OMV Group, 2023, Annual Report 2023","[b, e]",26,3443982a419a3ca96830fc985e4cf56b,"These changes continue to be reflected in scenarios from major voices in the energy industry. The IEA, in its most recent World Energy Outlook, shows another incremental shift in projected future demand away from coal, oil, and gas and toward renewables and electricity in its STEPS scenario, which provides a view of the energy system based on current policy settings. The gap to a trajectory that achieves the maximum temperature increases described in the Paris agreement remains significant, however. Scenarios that achieve net-zero emissions for the global energy system by 2050 require even faster deployment of low-carbon technologies and associated declines in fossil fuel demand than when they first started to emerge in 2021, due to the growth in demand in the interim. "
"Austria_OMV Group, 2023, Annual Report 2023",[b],26,21f2ef9dda9f407d00425f89d6b5f631,"In the Net-Zero Emissions by 2050 Scenario, electrification and efficiency gains proceed even faster, leading to a decline in primary energy of 1.2 per year to 2030. "
"Austria_OMV Group, 2023, Annual Report 2023",[j],27,a2238c84e82c99bed35290b2cee31754,"OMV uses two different scenarios the base case and the net zero emissions by 2050 case. The scenarios differ in the underlying expectations about the pace of the future worldwide decarbonization and lead to different assumptions for demand, prices and margins of fossil commodities. "
"Austria_OMV Group, 2023, Annual Report 2023",[b],27,ac2788119f5bff1bac7477be0906b32c,"The base case is built on a scenario developed by the internal Market Intelligence department and assumes that all decarbonization pledges announced by governments around the world will be implemented in full and on time. In this scenario, the temperature increase by 2100 will be limited to 1.7C with a probability of 50. The underlying demand and price developments of fossil commodities are in line with the IEA APS.1 The base case is used for mid-term planning as well as for estimates relating to the measurement of various items in the Group financial statements, including impairment testing of non-financial assets and the measurement of provisions. "
"Austria_OMV Group, 2023, Annual Report 2023","[b, e]",27,0b7cc2c4156a5a1eef4528d0320807f1,The net-zero emissions by 2050 case which is based on a faster decarbonization path than the base case is used for calculating sensitivities to recognize the uncertainty of the pace of the energy transition and to better understand the financial risk of the energy transition on the existing assets of OMV. The assumptions used in this case are in line with the Net-Zero Emissions by 2050 (NZE) scenario modeled by the IEA.1 It shows a pathway for the global energy sector to achieve net-zero CO2 emissions by 2050 and is compatible with limiting the temperature increase to 1.5C. 
"Austria_OMV Group, 2023, Annual Report 2023",[b],27,872c9b79b89973ce94b092019bbd7c1f,1 Based on the World Energy Outlook 2022 report published by the International Energy Agency (IEA). 
"Austria_OMV Group, 2023, Annual Report 2023",[p],31,8cd6db047bfd56f83367c90f70ad8de8,"European fossil refining market potential is expected to decrease up to 2030, as both volumes and refining margins are forecast to be under pressure driven by the pace of the energy transition in Europe. In the same time horizon, strong growth will materialize for renewable mobility fuels, as well as sustainable chemical feed-stocks. To leverage the opportunities of the ongoing energy transition, the FF division is developing a sustainable production portfolio for renewable fuels and sustainable chemical feedstocks, such as the co-processing of biogenic feedstocks in Schwechat, reaching approximately 1.5 mn t in total by 2030. In this context, the sourcing of bio-feedstocks will be a critical success factor. 80 of OMVs feedstock requirements for 2030 already has a clear sourcing plan. In the same time period, FF will decrease crude oil distillation throughput in the Schwechat and Burghausen refineries, from 12.9 mn t in 2019 to approximately 10.3 mn t in 2030, in line with changing demand patterns. This adaptation will significantly reduce heating oil and diesel product output by 2030, while increasing the chemical yield to around 24 for the Western refineries. In the Petrobrazi refinery, the Group aims to build new production units for advanced biofuels and green hydrogen. "
"Austria_OMV Group, 2023, Annual Report 2023",[p],32,d2e4ffd869533315200ebf8358416c4b,"To reduce its operational carbon footprint, OMV Energy will pursue the phase-out of routine gas flaring and venting, reduce fugitive methane emissions, and introduce portfolio optimization measures. In addition, renewable energy projects will also be pursued for the purpose of powering OMVs own operations. To achieve an overall reduction of both absolute and relative GHG emissions from its product portfolio, OMV Energy will leverage its existing asset base and core skills to deliver financially strong low-carbon business projects. Available opportunities will be captured to build up geothermal energy capacity that generates up to 9 TWh p.a. by 2030. In addition to geothermal, around 1 TWh from renewable power will be developed in OMV core regions with favorable sun and wind condi- tions to serve primarily captive demand, thereby reducing Scope 2 emissions by OMVs own operations. The Energy business will further tap into its existing reservoirs and (sub-)surface capabilities to implement opportunities that lead to a CCS capacity of approximately 5 mn t p.a. of CO2 net to OMV by 2030. In addition, further opportunities where OMV Energy can leverage its strengths and capabilities are being explored, e.g., hydrogen and energy storage, and will potentially be pursued in consideration of OMVs strategic priorities. "
"Austria_OMV Group, 2023, Annual Report 2023",[d],33,3b44a535e144a63327ed66e33246a60e,OMV awaits the publication of the science-based targets (SBT) methodology for the oil  gas sector toward the end of 2024 to evaluate its targets against the SBT requirements and aims to get them approved by the Science Based Target initiative (SBTi). 
"Austria_OMV Group, 2023, Annual Report 2023",[e],39,7f87f9896575f4e029eeef51872af886,"We aim to continuously manage and decrease the carbon volume of our purchased goods and services. Only by working together with our suppliers will we be able to define joint low-carbon initiatives to continuously decrease the carbon emissions in the supply chain and meet our Paris Agreement commitments. As part of its CDP Supply Chain membership, in 2023 OMV invited 394 suppliers to respond to the CDP climate change questionnaire. Suppliers were selected based on spend, estimated carbon emissions volume, and the carbon intensity of the goods and services purchased from them. "
"Austria_OMV Group, 2023, Annual Report 2023",[a],86,f071342cb53ab1b70f98fbdfbb88200f,"OMV Executive Board members regularly (at least quarterly) discuss current and upcoming environmental, climate, and energy-related policies and regulations, related developments in the fuels, chemicals, and natural gas markets, the financial implications of emission certificate trading schemes, the status of innovation project implementation, and progress on achieving sustainability-related targets. OMV focuses on assessing the potential vulnerabilities of the Company to climate change (e.g., water deficiency, droughts, floods, landslides), the impact of the Company on the environment, and the mitigation actions that will ensure a successful transition to a low-carbon environment (e.g., carbon emission reductions, compliance with new regulatory requirements). The short- and mid-term physical vulnerabilities related to climate change are identified and reported in the EWRM process. Additionally, OMV has performed a robust climate and vulnerability assessment for most of its main assets to identify its resilience to physical risks related to climate change using the Intergovernmental Panel on Climate Change (IPCC) scenarios corresponding to the time horizon suggested by the EU taxonomy. "
"Austria_OMV Group, 2023, Annual Report 2023",[b],106,3e042d39c1c2256146dd84ae017f665d,"the base case, whose assumptions in terms of demand and oil and gas prices are consistent with IEA announced pledges scenario (APS), is used for the mid-term planning as well as for estimates for various areas of the consolidated financial statements, including impairment testing of non-financial assets and the measurement of provisions and  the net zero emissions by 2050 case, whose assumptions are consistent with the IEA net zero emissions (NZE) scenario, is used to perform a sensitivity analysis for the valuation of non-financial assets and the measurement of provisions. "
"Austria_OMV Group, 2023, Annual Report 2023",[j],106,91046d5569c268d87f40b8adebb93d7b,These scenarios differ in the underlying expectations about the pace of the future worldwide decarbonization and lead to different assumptions for demand and prices of oil and gas as well as CO2 prices. 
"Austria_OMV Group, 2023, Annual Report 2023",[b],106,45e10e9212eea777134bc3d054db3287,We compared the assumptions for oil and gas as well as CO2 prices used in the sensitivity analysis with publicly available information (the IEA net zero emissions scenario). 
"Austria_OMV Group, 2023, Annual Report 2023",[b],107,80298c200e594b4caf8516d06ba70749,"We assessed the reasonableness of future short and long-term oil and gas price assumptions by comparing these to publicly available industry information, especially the IEAs announced pledges scenario and those adopted by other energy companies. "
"Austria_OMV Group, 2023, Annual Report 2023",[b],107,112cdf0fb03f68daafe0c1531a04129b,We examined the CO2 price assumptions included in the future cash flows by comparing them with current market data and publicly available information (especially from the IEA). 
"Austria_OMV Group, 2023, Annual Report 2023",[l],123,f434bae29648270d4b61ecc4d3ee8040,"Voluntary carbon offset credits are only used to a limited extent. The maximum acceptable GHG emission reduction contribution from carbon offsets to achieve the absolute 2030 and 2040 GHG targets is 5 of the total absolute required emissions reduction. To achieve the net-zero status by 2050, carbon offsets shall only be used to neutralize the remaining gross emissions that can otherwise not be eliminated. "
"Austria_OMV Group, 2023, Annual Report 2023",[e],123,67c526a48a97c5f1ad15fef5e86d84b1,"Nevertheless, there is significant uncertainty surrounding the changes in the mix of energy sources over the next 30 years and the extent to which such changes will meet the ambitions of the Paris Agreement. While companies can commit to such ambitions, financial reporting under IFRS requires the use of assumptions that represent managements current best estimate of the range of expected future economic conditions, which may differ from such targets. These assumptions include expectations about future worldwide decarboni-zation efforts and the transition of economies to net zero emissions. "
