File,Codes,Page,ID,Text
"Austria_OMV Group, 2023, Sustainability Report 2023","[a, g, i]",34,d8b1426f25a8b285a440a8d36cfe467d,"All assets with medium, high, or extreme exposure to one or more acute or chronic physical climate risks are analyzed further. Physical hazard modeling is applied, consisting of the processing and analysis of atmospheric data related to temperature, precipitation, drought, and wildes, as well as other data related to coastal flooding, tropical cyclones, water stress, and fluvial flooding, in order to provide a rigorous estimate of risk. The analysis incorporates scenarios based on the Representative Concentration Pathways (RCPs) from the Intergovernmental Panel on Climate Change (IPCC). The four RCPs (2.6, 4.5,  6.0, and 8.5) included in the IPCC AR5 are used in this exercise and applied to various time horizons that align with the OMV Strategy. Once the ancial impact of the respective risks is estimated, potential mitigation strategies are discussed with management in order to ensure that appropriate adaptation measures are considered. "
"Austria_OMV Group, 2023, Sustainability Report 2023",[e],44,9d8db59d3a9e6e255e71fa06dd9f724f,"Sustainable procurement targets in place Increasing engagement with suppliers on carbon management topics through CDP Supply Chain  Increasing transparency on carbon footprint of purchased goods and services through carbon management reporting (Scope 3 of purchased goods and services)  Performing supplier audits and evaluations as part of Together for Sustainability  Including sustainability performance and KPIs as part of awarding criteria  Training for employees Including human rights aspects (incl. labor rights) in the prequaliation phase, as well as in supplier and contractor audits  Including human rights and labor practices in HSSE contractor management  The Group faces exposure to physical climate risks and risks associated with the energy transition, encompassing stranded assets, decreased demand for fossil products, and regulatory risks, amidst signiant uncertainty regarding the future energy mix and its alignment with the Paris Agreements ambitions over the next 30 years. Therefore, assumptions that represent managements current best estimate of the range of expected future economic conditions, which may differ from the Companys set targets, were used, including expectations about future worldwide decarbonization efforts and the transition of economies to net-zero emissions. "
"Austria_OMV Group, 2023, Sustainability Report 2023",[d],44,ae7e2bcbb6bf23a3da04aa848e4e161b,"OMV utilizes two different scenarios, namely the base case and the net-zero emissions by 2050 case, which differ in their underlying expectations of the pace of future worldwide decarbonization and result in distinct assumptions for demand, prices, and margins of fossil commodities. "
"Austria_OMV Group, 2023, Sustainability Report 2023",[b],44,87a4ce57b8723d0eece169a0dee57a99,"The base case is built on a scenario developed by the internal Market Intelligence department and assumes that all decarbonization pledges announced by governments around the world will be implemented in full and on time. In this scenario, the temperature increase by 2100 will be limited to 1.7C with a probability of 50. The underlying demand and price developments of fossil commodities are in line with the Announced Pledges Scenario (APS), which  was modeled by the International Energy Agency (IEA). The base case is used for mid-term planning as well as for estimates relating to the measurement of various items in the Group ancial statements, including impairment testing of non-ancial assets and the measurement of provisions. "
"Austria_OMV Group, 2023, Sustainability Report 2023","[b, e]",45,bc3d51a25a43361cf511d5388083e35e,"The net-zero emissions by 2050 case, which is based on a faster decarbonization path than the base case, is used for calculating sensitivities to recognize the uncertainty of the pace of the energy transition and to better understand the ancial risk of the energy transition on the existing assets of OMV. The assumptions used in this case are in line with the Net Zero Emissions by 2050 (NZE) scenario modeled by the IEA. It shows a pathway for the global energy sector to achieve net-zero GHG emissions by 2050 and is compatible with limiting the temperature increase to 1.5C. "
"Austria_OMV Group, 2023, Sustainability Report 2023",[j],45,b6429f14ce99f32f9e3bcce0e97b592f,"Sensitivities, calculated based on the net-zero emissions by 2050 climate scenario using a simplid method consistent with a DCF model for impairment testing, indicate a risk of impairments of oil and gas assets, assessing the resilience against the energy transition risks. "
"Austria_OMV Group, 2023, Sustainability Report 2023",[d],45,0c7458ae5f478ac34f161866cfa54f82,"OMV plans to transform its European reeries so that they will stay competitive as the decarbonization of the fuels and chemical sector progresses. Crude oil distillation throughput will be decreased. The product mix will be adapted to reduce heating oil and diesel output while increasing the chemical yield. In parallel, a production portfolio of renewable fuels and sustainable chemical feed-stocks will be developed. Taking into account these transformation plans, management does not foresee a signiant risk that the existing reery assets in Europe would not be recoverable in the net-zero emissions by 2050 scenario. "
"Austria_OMV Group, 2023, Sustainability Report 2023","[e, j]",45,2c634ff9d9519f421dc3bbd03e2270fb,It is expected that declines in demand for fossil products caused by the energy transition will progress more slowly outside the European Union. The investment in ADNOC Reing is assumed to be resilient also in a Paris Agreement-aligned the energy transition scenario thanks to its access to markets in the Middle East and Asia. 
"Austria_OMV Group, 2023, Sustainability Report 2023",[b],47,794be125c97f859fe256c42070ed49d5,"The OMV Group clearly recognizes that climate change is one of the most important global challenges today and fully supports the goals set forth by the Paris Agreement. By 2050, OMV aims to transform into a net-zero business.7  OMV has set out a roadmap with concrete interim short-, medium-, and long-term targets. OMVs targets are set at an absolute and intensity level with the ultimate goal of achieving net zero greenhouse gas (GHG) emissions in Scopes 1, 2, and 3 by 2050. For Scopes 1 and 2, OMV is aiming for an absolute reduction of 30 by 2030 and of 60 by 2040. For Scope 3, OMV is striving for a reduction of at least 20 by 2030 and of 50 by 2040 from our product portfolio and other material Scope 3 emissions. These absolute GHG emission reductions and the increase of zero-carbon product energy sales are key in reducing the carbon intensity of our energy supply, pursuing a decline of 20 by 2030 and of 50 by 2040. These targets are approximated to IEAs Sustainable Development Scenario (SDS). However, our ambition is to achieve net-zero emissions already by 2050, thus being aligned with the IEAs Net Zero Emissions by 2050 Scenario (NZE). "
"Austria_OMV Group, 2023, Sustainability Report 2023",[e],57,25cf0e8d1b08cb375c1d79ca63be1e23,"Supporting the goals of the Paris Agreement by reducing the carbon footprint of our energy supply, specially by increasing sales of zero-carbon energy products such as renewable mobility fuels and renewable power  Key GRI NaDiVeG GRI 305 Emissions 2016 Environmental concerns  As an oil, gas, and chemicals company, we are aware that a large percentage of our emissions come from the use of our products. At present, about 78 of the OMV Groups products are directly used for combustion, signiantly contributing to global climate change. As such, we have a unique responsibility in this regard, and understand that a business as usual approach is no longer an option. "
"Austria_OMV Group, 2023, Sustainability Report 2023","[b, e]",58,8c1d75515200ef151ea46063ed75543b,"The Energy Transition material topic focuses on reducing the carbon footprint of our energy supply, specially through increasing sales of zero-carbon energy products such as renewable mobility fuels and renewable power. This is the centerpiece of OMVs commitment to supporting and accelerating the energy transition, and becoming a net-zero business by 2050 or sooner in alignment with the IEAs Net Zero Emissions (NZE) scenario, which foresees limiting the global temperature rise to 1.5C. To concretize our 2050 goals, we have set mid- and long-term targets to reduce our absolute Scope 3 emissions by at least 20 by 2030 and by at least 50 by 2040, both against the baseline year 2019. In addition, we intend to reduce the carbon intensity of our energy supply by at least 20 by 2030 and by at least 50 by 2040, both against the baseline year 2019. These intermediate targets on our pathway to net zero by 2050 are approximated to the IEAs Sustainable Development Scenario (SDS), which foresees limiting the global temperature rise to well below 2C and is thus aligned with the goals of the Paris Agreement. "
"Austria_OMV Group, 2023, Sustainability Report 2023",[m],65,a6f60fcf29d420ca48d9ec446ff47341,"We aim to reduce our carbon footprint to net zero by 2050 at the latest. While the biggest drivers on this journey will be decreasing our fossil fuel sales and increasing our zero-carbon product sales, we also recognize that neutralization measures will be necessary. Neutralization measures include, but are not limited to, Carbon Capture and Storage (CCS), Carbon Capture and Utilization (CCU), and Bioenergy with Carbon Capture and Storage (BECCS). By 2030, we aim to establish CCS capacities of around 5 mn t per year as our main neutralization measure toward achieving our targets. "
