File,Codes,Page,ID,Text
"Brazil_Petrobras, 2022, Climate Change Supplement","[l, o]",2,9fd1127167e4a7d7888420dc665a2caa,"In the 2023-2027 Strategic Plan, we decided to focus and move forward on new business analyses. We prioritize the hydrogen, wind, and carbon capture segments. In addition, con- sidering the significant potential of Brazil for highly competitive nature-based solutions carbon credits, we have strengthened our initiatives on forest conservation and incorporated the possible use of offsets as a complementary strategy for decarbonization, focusing on high-quality and high-integrity credits, aligned with international best practices and socioeconomic and environmental co-benefits. "
"Brazil_Petrobras, 2022, Climate Change Supplement","[e, j]",2,38a82d8eb843ff8292b206f6158e8399,"The Climate Change Supplement is part of the dialogue with our stakeholders and demonstrates the resilience of our business and planning, aligned with the objectives of the Paris Agreement and our position in the search for a just and responsible energy transition. "
"Brazil_Petrobras, 2022, Climate Change Supplement",[d],3,dd2d401b056b71c6e16597cf3161ccfd,"Chief Institutional Relations and Sustainability Officer  Our Climate Change Supplement describes how we incorporate the challenges of climate change into our choices and processes following the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD), whose compliance can be identified in the Map for TCFD Requirements. "
"Brazil_Petrobras, 2022, Climate Change Supplement","[b, e]",6,e245fcc8766f2e63f35ff937da6e905d,"> The Resilience Scenario considers the accelerated pace of energy transition. It projects the oil price in the long term at US 35bbl, similar to the price forecast in the Net Zero Emissions by 2050 Scenario of the International Energy Agency (IEA) (which presents a 50 probability of limiting the temperature increase to 1.5C, in line with the ambition of the Paris Agreement). "
"Brazil_Petrobras, 2022, Climate Change Supplement",[b],7,02ca6494eaa077d3f3bf057c925c270d,"> The Base Scenario considers an oil price range between US 85bbl in 2023 and US 55bbl from 2030, that is, price expectations similar to the APS scenario of the International Energy Agency (which is aligned to a 50 probability of keeping it under 1.7 C). "
"Brazil_Petrobras, 2022, Climate Change Supplement",[b],7,a67e6336549aa49bf92fc2c96149c6d1,"120 100 80 60 40 20 0 2022 2025 2030 2035 2040 2045 2050 Petrobras Base Scenario IEAs NZE Scenario IEAs APS Scenario IEAs STEPS Scenario Brent (USbbl)  Our governance requires that all investments generate value in all three scenarios, and the portfolio optimization is based on the Base Scenario. Using conservative price assumptions focuses investments on resilient assets to a low-carbon energy transition. "
"Brazil_Petrobras, 2022, Climate Change Supplement",[b],7,81393569ed3a75d7a28941be51c2429e,"The 2022 edition of the International Energy Agencys World Energy Outlook (WEO) brought updates on the current outlook and long-term scenarios for global energy markets, indicating how the energy system can respond to and evolve to the current global crisis. "
"Brazil_Petrobras, 2022, Climate Change Supplement","[b, d]",7,5b90c96400c15e12715c9466e2c4f7c8,"To test the resiliency of our premises, we performed simulations using the scenarios from International Energy Agency to assess the impact on our portfolio value, following TCFD recommendations. "
"Brazil_Petrobras, 2022, Climate Change Supplement",[b],7,269a756d6738dfaa510b986f1c7bf851,"We carried out simulations of the net present value of our portfolio in the Base scenario, evaluating its sensitivity to the Brent price and the carbon price of the IEAs external scenarios, used as a reference (STEPS  Stated Policies Scenario, APS  Announced Pledges Scenario and NZE  Net Zero Emissions by 2050 Scenario)  68 27 -5 STEPS (68) APS (22) Brent Brent CarbonCarbon  Note Considers the impact of the price of Brent only in the EP segment. Carbon price effect before taxes. "
"Brazil_Petrobras, 2022, Climate Change Supplement",[b],7,275e56dc95214b3ce6f3763f0efde6f6,"Using the assumptions of the STEPS external scenario, which reflects existing policies and has higher oil prices, there would be an increase in portfolio value relative to the value calculated with the assumptions of our Base scenario (68).  "
