File,Codes,Page,ID,Text
"Canada_Canada Pacific Rail, 2023, Climate Strategy","[d, e]",1,f1769d782225a83f9b5ab7da59ffe235,"This Climate Strategy should be read together with CPKCs Commitment to Climate Action, which supplements and updates the information contained in the Climate Strategy. Among other updates, as part of our Commitment to Climate Action, CPKC committed to establishing an emissions reduction target aligned with a 1.5C future. To guide the Companys near-term climate actions, we also established a new 2030 greenhouse gas (GHG emissions reduction target for CPKCs combined locomotive operations using the Science Based Targets initiatives (SBTi sectoral-based approach for freight railroads and a well-below 2C global warming scenario. The combined CPKC target has updated and replaced the GHG emissions reduction targets announced within this Climate Strategy, which were retired in 2023. CPKCs Commitment to Climate Action is available on our website at httpswww.cpkcr.comensustainability. "
"Canada_Canada Pacific Rail, 2023, Climate Strategy",[d],2,a9bd0eecc8accca0f7641fe55614e7eb,"CPs Climate Strategy builds on our existing climate commitments and will help drive innovation, collaboration and thought leadership across our business both now and in years to come. It is informed by research, science and an appreciation of where we can make the greatest impact. CP completed a comprehensive, quantitative climate scenario analysis to support our understanding of potential physical impacts to our operations posed by a changing climate, as well as the risks and opportunities associated with the global transition to a low-carbon economy. These insights help us understand how the future may unfold so we can plan accordingly and position CP for success in a low-carbon economy. Building on this  information, our science-based targets provide a clear marker against which we can measure our progress as we work toward longer term and more significant decarbonization. Achieving these ambitions will require a variety of actions to reduce our carbon footprint, and we recognize that further technology advancement, business integration and purposeful engagement with our stakeholders will be required. "
"Canada_Canada Pacific Rail, 2023, Climate Strategy","[d, e]",6,125a8212b62562d539979360b0a87c36,"To ensure relevance and comparability within and outside of our sector, our Climate Strategy has been developed to align with internationally recognized frameworks, including the Task Force on Climate-related Financial Disclosures (TCFD) the Paris Agreement (within the United Nations Framework Convention on Climate Change) on climate change mitigation, adaptation and finance, and the Pan-Canadian Framework on Clean Growth and Climate Change. "
"Canada_Canada Pacific Rail, 2023, Climate Strategy","[a, d]",7,b2bae28b0791516b750810c54b8d4479,"The Intergovernmental Panel on Climate Change (IPCC) has projected an almost 3C rise in temperature by the end of the century, should global GHG emissions remain at current levels. Scientists have identified the need for substantial curtailment of GHG emissions by 2030 to stave off the worst effects of climate change. Leading organizations, corporations and national governments are setting science-based targets to rapidly decarbonize all sectors of the economy. "
"Canada_Canada Pacific Rail, 2023, Climate Strategy",[e],7,78cde311e0bc6a56a9dd119d0d08d53d,CP recognizes the importance of the 2030 horizon and has established science-based targets to align our climate ambitions with a well-below 2C pathway. 
"Canada_Canada Pacific Rail, 2023, Climate Strategy","[b, d]",9,95cbd785bd796f317875bdf63ac566ad,"Climate scenario analysis is a core recommendation of the TCFD and provides a rigorous and quantitative assessment of the climate-related risks and opportunities the company may face in the future under a range of potential climate scenarios. CPs analysis integrated a number of factors to represent plausible future pathways based on credible science, developed by experts at the International Energy Agency (IEA) and other reputable organizations. These scenarios reflect combinations of potential policy changes, technological advancements, market shifts and changes in consumer behaviours. For CP, each scenario represents a trajectory under which the climate, economy and rail industry may change during the coming decades. "
"Canada_Canada Pacific Rail, 2023, Climate Strategy","[d, i]",10,2d5402feab10bf670264ca78a5101d51,"Through engagements with a wide range of cross-functional stakeholders (alongside expert assessment and literature review, and with reference to the priorities of our suppliers and customers) we identified eight priority climate impacts for further exploration and detailed financial modelling. These potential risks and opportunities were more generally characterized as impacts in recognition that some may be a risk under one scenario and an opportunity under another. These eight potential impacts are also aligned with the TCFDs categories of policy, technology, market and physical risks.7  New or additional carbon pricing could lead to increased costs to CP, which may impact CPs advantage over competitors. "
"Canada_Canada Pacific Rail, 2023, Climate Strategy","[b, d, f]",10,e6a507f9092286c8a04f56c18d5c7149,"7 For more information surrounding climate-related governance, risks, opportunities and financial disclosures, please see  As part of a robust scenario analysis, the TCFD recommends including a scenario aligned with a 2C future in order to stress-test the business and assess its resilience in a low-carbon economy  a future scenario that looks very different from the world today. Under the well-below 2C scenario that CP assessed (IEAs Sustainable Development Scenario), the world embraces climate action and pushes for changes in regulations, markets and technologies to transition to a more decarbonized global system. Under this scenario, our business could see several significant financial impacts by 2030, including both risks and opportunities. "
"Canada_Canada Pacific Rail, 2023, Climate Strategy","[b, e]",11,ad6e8272ded0598ffcfc95f11a269823,"Although the well-below 2C scenario represents a high degree of change, it is also important to understand how this future may differ from other potential scenarios. Our climate scenario analysis also considered how policy, market, technology and physical impacts may manifest under a more modest degree of change (aligned with IEAs Stated Policies Scenario), where climate action is slow and warming amounts to 3 to 3.5C and a business as usual scenario where no (or limited) action is taken and warming reaches 5 to 6C. Together, the comparison of these scenarios supports our understanding of where risks and opportunities exist and how they may materialize based on broader social, economic and political changes. "
"Canada_Canada Pacific Rail, 2023, Climate Strategy","[e, i]",11,3e10ae1e2f65055259fd82832c7b86c4,"Whether CP is benefitting as a low-carbon freight transport provider under a well-below 2C scenario driving faster decarbonization, or experiencing physical impacts associated with shifting temperatures under a business as usual scenario, the company needs to consider the impacts of a changing climate as part of business planning and decision-making over the long term. In understanding the potential future changes depicted in our scenario analysis, we are working to pursue opportunities and mitigate risks with an informed view of potential future developments. These findings will help CP prioritize climate-related impacts against other business risks and opportunities, ultimately supporting integration of climate risks and opportunities within existing business processes and cross-functional decision-making structures. "
