File,Codes,Page,ID,Text
"Canada_Teck Resources, 2021, Climate Change Outlook 2021","[d, e]",1,f800e13169099cce390a6627dda669e1,"Focus on copper growth to transition our portfolio to metals   Among the worlds lowest carbon intensities for our copper, refined zinc and lead, and steelmaking coal production(1)   10 years of experience in setting and achieving GHG reduction targets   Transition to renewable power  1 Million tonnes per year GHG reduction   Sourcing 100 renewable energy at Carmen de Andacollo since 2020   Sourcing >50 of operational energy at QB2 from renewable sources   Build QB2, which will double our consolidated copper production by 2023   Explore options to realize value from our oil sands assets   Carbon pricing already built into the majority of our business   Top-ranked mining company on DJSI 2020 World  North American Indices ranked second for Climate Strategy in our industry group  Prudently growing our metals business in areas essential to the transition to a low-carbon world   Continue to produce the high-quality steelmaking coal required for the low-carbon transition   Reduce carbon as a proportion of our total business   Meet our milestone goals for 2030, in support of our carbon neutrality goal   Source 100 of all power needs in Chile from renewable power   Reduce the carbon intensity of our operations by 33   Work with our customers and transportation providers to reduce downstream emissions  Reduce the carbon intensity of our operations by 33 by 2030  Leading metals producer supplying essential metals for a low-carbon world  In 2018, building on more than a decade of public reporting on sustainability and climate change issues, we completed our first report aimed at aligning with the disclosure recommendations of the Task Force on Climate-related Financial Disclosures (TCFD).  In 2019, we released our second report, providing an updated scenario analysis, which included an additional third scenario. In this years report, we build on our previous work having added analysis of a 1.5C scenario and expanding our discussion on the future of steelmaking coal and its role in supporting low-carbon-intensity steel productionand we continue to incorporate feedback received from external parties.  "
"Canada_Teck Resources, 2021, Climate Change Outlook 2021","[e, j]",5,f178f5d02e4849dcf86da34f1011bdcd,"As outlined in this report, Teck is taking significant steps to address climate change risksbecause we know we must take meaningful action in this decade if we are to limit climate change to 1.5C. In addition to mitigating our contributions to global carbon emissions, we know that to provide real and sustainable value we need to remain resilient and adapt our approach as our operating environment changes. "
"Canada_Teck Resources, 2021, Climate Change Outlook 2021",[d],5,a9cbe5290335097e9e8845be51cfbf5f,We disclose our approach in this report while applying standards of consistency and transparency to align with the Task Force on Climate-related Financial Disclosures (TCFD). 
"Canada_Teck Resources, 2021, Climate Change Outlook 2021","[d, e, j]",7,b5d37c5479ccd67998f9044110a5ac26,"As a company committed to climate action, we will   Integrate consideration of climate-related risks and opportunities into our strategic planning processes   Reduce our operational greenhouse gas emissions in line with limiting global warming to 1.5C   Set emissions reductions targets that provide transparency as to how we will deliver reductions consistent with limiting global warming to 1.5C   Include the management of climate change risks and opportunities within executive remuneration   Work with our customers and transportation providers to reduce emissions downstream of our business   Adapt to the potential physical impacts of climate change and increase the resilience of our assets   Establish partnershipsin particular, with Indigenous Peoplesin the regions in which we operate to help increase the resilience of their communities and local ecosystems to the potential physical impacts of climate change   Work with governments and other stakeholders to accelerate the global response to climate change and provide transparent disclosure on our policy positions, along with the positions of the organizations of which we  are a member   Provide timely and transparent disclosures on climate-related risks and opportunities  In addition to strong sustainability performance, timely and transparent disclosures are also of importance to Teck and our communities of interest. With respect to disclosures pertaining (<httpsassets.bbhub.iocompanysites60202010FINAL-2017-TCFD-Report-11052018.pdf>)to climate change, the Task Force on Climate-related Financial Disclosures (TCFD) of the Financial Stability Board made recommendations in June 2017 for how companies can improve climate-related disclosures.1 We support the desire for consistency and transparency reflected in the TCFD recommendations, and we signed on as a supporter of the TCFD recommendations. "
"Canada_Teck Resources, 2021, Climate Change Outlook 2021",[j],9,4c79efc8a81973e6d47f660ba3b208e4,"Given the multi-faceted ways in which climate impacts our businessfrom impacts on commodity demand to operating costs to physical impacts on our operations and on host communitiesclimate change is considered in varying manners across multiple aspects of our business. Risks and opportunities posed by climate change are discussed among our management team, with recent examples including sessions focused specifically on reviewing the risks and opportunities of climate change for Teck the review, discussion and endorsement of Tecks updated climate change goals and the implications of different climate scenarios on commodity demand. "
"Canada_Teck Resources, 2021, Climate Change Outlook 2021",[e],10,2c2c33a95919b43a33ef264c92e7767e,"WE SUPPORT broad-based, effective carbon pricing, which we believe is the best method of encouraging coordinated global action on climate change. We work with our associations to engage governments on policy solutions that align with limiting climate change to 1.5C. "
"Canada_Teck Resources, 2021, Climate Change Outlook 2021",[j],10,071b0bc8bcad928a3ff56e9a7e4a9551,WE ARE ADAPTING to the physical impacts of climate change and increasing the resilience of our operations by incorporating climate scenarios into project design and mine closure planning. 
"Canada_Teck Resources, 2021, Climate Change Outlook 2021",[d],12,27b693d96a7d4182371ec84240919cc9,"Following the 2017 release of the recommendations of the TCFD, we released two TCFD-aligned reports Climate Action and Portfolio Resilience (2018), and Portfolio Resilience in the Face of Climate Change (2019). "
"Canada_Teck Resources, 2021, Climate Change Outlook 2021",[b],12,63a10e165e54048727e0f4e3a0ac473f,"We continue to use International Energy Agency (IEA) data to frame the scenarios we analyze. Use of the IEAs widely available data sets helps enable the comparability of climate-related risk assessments across organizations. The IEA World Energy Outlook data benefits from being publicly available, peer-reviewed and generally used and referenced, and it provides data at global, regional and national levels. "
"Canada_Teck Resources, 2021, Climate Change Outlook 2021","[b, e]",12,58dba9a67af2f2559d234b1321ce3669,"In the IEAs most recent World Energy Outlook,3 there was a shift in the scenarios presented, which has impacted the scenarios we present in this report. While the Stated Policies scenario and Sustainable Development scenario remain, the Current Policies scenario (previously used in Tecks 3.5C scenario) is no longer maintained by the IEA. At the same time, a new scenario was introduced, called the Net-Zero 2050 scenario, which aligns more closely with a 1.5C scenario. "
