File,Codes,Page,ID,Text
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022",[p],13,a96b9c893a5039e23427f82405a54da4,"topics of the Financial Plan and reflected the strategic challenges and the Groups culture statement, prioritized as follows  The EG 2022 BSC included climate change related targets with a focus on  Accelerate and prioritize the decarbonization of operations through the implementation of energy efficiency projects and initiatives reduction of fugitive emissions, venting and flaring incorporating renewable energies,  hydrogen, CCUS and NCS, with a GHG reduction goal that measures the cumulative reduction of emissions in the Ecopetrol Group as CO2 equivalent, in line with the long-term challenges of net-zero CO2e emissions by 2050 (scopes 1 and 2) and zero routine gas flaring by 2030. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022",[e],23,5754e30ada232bbaa093db53f1b71c11,"For the Ecopetrol Group, the reputational risk stems from the impossibility of responding promptly to pressure from investors and other stakeholders to establish ambitious goals on climate change, which could substantially affect the Companys image and brand. Therefore,  within the framework of the business risk Inadequate response to environmental challenges associated with climate change, water and biodiversity, mitigation measures and Key Risk Indicators (KRI) are established to reduce and monitor the companys exposure to impacts associated with climate change, water and biodiversity commitments, obligations and expectations. For this reason, constant benchmarking is carried out against the performance of its peers, to challenge the Companys climate strategy and endorse an ambition that contributes with the Paris Agreement objectives and global Oil  Gas industry initiatives. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022",[b],23,88f28af938b68f38a2d7716ebac1945b,"Based on the above description, in 2022 Ecopetrol carried out a prioritization of risks to establish their financial impact. This first analysis considered the market and regulatory risks most likely to materialize and were evaluated under the three scenarios of the World Energy Outlook 2022 of the International Energy Agency (IEA) (i) Net Zero Emissions (NZE), (ii) Announced Pledges Scenario (APS), and (iii) Stated Policies Scenario (STEPS). "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022",[b],24,1e436b69ed5f9d2fb5a2d8b148855486,"In the market risk, the impact on the value of assets in the upstream segment and their resilience to different hydrocarbon demand expectations was analyzed. In the APS and STEPS scenarios, the oil business shows resilience to volatility. However, this exercise cannot be considered as absolute, as the IEA scenarios do not consider the dynamics of local energy demand, especially in the natural gas market. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022","[d, l]",29,3c990da3f5687c3995535bb5976ba28d,"Failure to achieve the 2030 GHG emissions reduction target due to limits in the accepted share of offsets. Currently, Ecopetrol estimates that about 30 of the reduction by 2030 will be leveraged by offsetting through Natural Climate Solutions projects. This percentage could be diminished according to the guidelines established by SBTi or other similar initiatives. If the accepted percentage decreases, other abatement technologies will be required, which will increase operating costs. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022","[a, b]",30,f1a6c2880d87057c35265d07ce6cd956,"In 2023, Ecopetrol is moving forward in the development of an analytical initiative for the modeling of climate risks and their financial implications, based on the results of the prioritization exercise of physical, market and regulatory risks, developed under IEA and IPCC scenarios. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022","[j, i]",30,84c4fae93d7caf1969ed4e172e6701c8,"The Ecopetrol Group performs two types of climate-related analysis. The first seeks to adapt the business strategy to the energy transition, while the second focuses on climate scenarios to identify the level of risk. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022","[b, j]",30,aa9d2b9eac5a59f053e94055069278dd,"The Energy Transition Scenario analysis aims to adequately adapt the Ecopetrol Groups business strategy to a transition to a low-carbon economy and ensure the creation of long-term value. This analysis is performed periodically and pursues a reflection of the  latest scenario updates provided by various sources. During 2022, an analysis was carried in this process out through an in-depth planning exercise on Ecopetrols business lines. For the construction of the benchmark scenario, both the insights of the International Energy Agency (IEA)s APS scenario (Announced Pledges Scenario) and the opinions of energy experts under different transition perspectives were considered. The key results of this analysis are presented below  Six fronts were prioritized to increase corporate resilience  Define a strategy for decarbonization, energy efficiency and fuel quality. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022",[f],31,4becef7cb329cfe8d0839b47c200794d,Reflects the trends of the Accelerated Transition Scenario and some developments of the Sensitivity to a 2C Scenario. 
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022","[a, e, g, i]",31,d5fadd6aa687997670444236350541fe,"Additionally, to have a more detailed analysis of physical risks, an assessment was carried out covering 95 points associated with the main assets of the Ecopetrol Group, based on IPCC scenarios for 7 physical risks related to chronic hazards (drought and thermal stress) and acute hazards (precipitation, coastal flooding, river flooding, fires and winds), using CERVESTs EarthScan platform (i) scenario aligned with the objective of the Paris Agreement (SSP1 - RCP 2.6) (ii) peak emissions scenario in 2040 (SSP2 - RCP 4.5) and (iii) Business as Usual scenario (SSP5 -  RCP 8.5). Under a Business-as-Usual scenario and a horizon to 2100, the greatest threats across the entire asset portfolio correspond to the increase in maximum temperatures and the duration of heat waves. This is one of the most significant risks in terms of worker safety and operational disruptions. However, it is not expected to have a direct impact on infrastructure. In addition, six locations have a substantially increased risk of coastal flooding, while more moderate river flooding is expected at four locations. The remaining climate hazards are not expected to increase substantially across the asset portfolio. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022","[g, j]",31,46d0ae75c4a0678f0a8d8451a50974ed,"In addition to the above analysis, since 2019, Ecopetrol has conducted a regional-level analysis using the RCP 6.0 scenario in line with the Comprehensive Climate Change Management Plan of the Mines and Energy sector and the Third National Communication on Climate Change. Based on the above, the Company formulated regional adaptation plans that incorporate measures relating to water management, strategic ecosystems, resilient infrastructure and climate-compatible  operations. For more information, please  refer to the section of the corporate website. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022",[e],41,6ab558e39dd98b161d6e5ba822dfd336,"The Ecopetrol Business Group upholds its commitment to . This plan includes the absolute goal of reducing by 50 of its scope 1, 2 and 3 emissions by 2050 and 25 of its scope 1 and 2 emissions by 2030 with 2019 as the baseline year. In this way, the business group contributes to Colombias commitment to reduce by 51 of GHG emissions by 2030, in line with the targets as an advocate of the Paris Agreement. "
"Colombia_Ecopetrol, 2022, Climate change management tcfd 2022","[d, o]",42,8640470578a8edb7412cfe049a8ff847,"To leverage compliance with the target, it is estimated that up to 30 of emissions will be offset by Natural Climate Solutions projects, a share that could decrease under the guidelines established for the Oil  Gas sector endorsed by the Science-Based Target Initiative (SBTi) or other applicable guidelines9 . "
