File,Codes,Page,ID,Text
"Equinor_Equinor, 2022, energy transition plan","[e, p]",2,d1826bc7fa86ffd1dff51d1240acd037,"Our new, strengthened ambition to reduce net group-wide operated emissions by 50 by 2030, shows that we are focused on medium-term actions consistent with the goals of the Paris Agreement and a 1.5 degree pathway. Rapidly reducing our own emissions is necessary but not sufficient. To be an effective agent of change in the energy transition, we must help society decarbonise by providing our customers and end-users with energy that has lower  and eventually net-zero  emissions. To achieve this, we have a clear plan to apply our experience and competence from oil and gas to new sectors of the energy system. We will generate strong cashflow from a highly focused, carbon efficient oil and gas business to fund our transformation. We will continue to scale up our investments in renewables to create value from our existing portfolio and a high-quality project pipeline. We are developing and deploying the industrial value chains of the future in hydrogen and carbon capture and storage (CCS) to enable other industries to decarbonise their activities. In parallel, we will continue to work with our suppliers and customers, host governments, and civil society to develop the business models, policies and frameworks to enable the world to achieve net zero by 2050. "
"Equinor_Equinor, 2022, energy transition plan","[a, b, d]",2,9bad27001d488d3ad003401c9e3a4325,"Last year, we committed to set out an Energy Transition Plan to provide our shareholders with an overview of how we are delivering on our net-zero ambition. We are pleased to present this plan here. It integrates key elements of our decarbonisation strategy with relevant actions and ambitions. It includes information on capital allocation, policy engagement, risk and performance frameworks, and other enablers to deliver on our ambitions. The plan builds on our 50 years experience, our strategy and strong track-record. It is informed by science, stakeholder engagement, and an acknowledgement of the changing set of expectations of companies in a carbon constrained world. It draws on scenarios from the International Energy Agency (IEA) and the Intergovernmental Panel on Climate Change (IPCC) as well as investor-group frameworks, including the Climate Action 100 Net Zero Company Benchmark. "
"Equinor_Equinor, 2022, energy transition plan",[e],3,3533accfaf1b04e02947f3f473f71657,"Equinor is committed to long-term value creation in support of the goals of the Paris Agreement. Our strategy consists of three pillars and combines focussed, carbon-efficient oil and gas production with accelerated, value-driven expansion in renewables and leadership in building out new low carbon technologies and value chains. Each of these three pillars will contribute individually and collectively as Equinors transitions into a broad energy company and towards our ambition of net zero in 2050, including emissions from the use of sold products. To realise our transition strategy, we have developed a detailed set of medium-term ambitions  Halving our operated greenhouse gas emissions by 2030 relative to 2015 levels with 90 of the cuts coming from absolute reductions, demonstrating our commitment to reduce emissions under our control in line with a Paris-aligned trajectory. "
"Equinor_Equinor, 2022, energy transition plan",[e],10,b532a7ba51fa136a0f8dbc4b47c98da0,"Optimised oil and gas production capitalising on an advantaged portfolio as a strong cash engine to fund decarbonisation and transition activities  High value growth in renewables accelerated deployment to establish a strong industrial position for value-driven growth  New market opportunities in low carbon solutions becoming a leader in carbon management and hydrogen  New market opportunities  in low carbon solutions  5-10 million tonnes CO transport and storage capacity by 2030  15-30 million tonnes CO transport and storage capacity by 2035  Supply hydrogen to 3-5 major industrial clusters by 2035  To meet the climate challenge while also addressing the need for energy, Equinor has developed a methodology that shows how we are progressing towards our own net-zero ambition while simultaneously investing in the transformation of the energy system that will be necessary to realise the goals of the Paris Agreement. "
"Equinor_Equinor, 2022, energy transition plan",[b],11,c1c0898ae7490ef847576a5054825736,"Equinors NCI ambitions show reductions by 2030 and 2035 greater than those implied by the IEAs Announced Pledges Scenario (APS), which assumes that all climate commitments made by governments around the world, including Nationally Determined Contributions (NDCs) and longer-term net-zero targets, will be met in full and on time.  "
"Equinor_Equinor, 2022, energy transition plan","[b, k]",11,fc202cbb08de28d63a5a3f608eb60d85,Equinor NCI (incl. scope 3) ambitions compared to IEA scenarios  (g COeMJ) - Partial substitution method applied  Equinor Stated Policies (STEPS) Announced Pledges (APS) Sustainable Development (SDS) Net Zero Emissions by 2050 (NZE)  IEA scenario pathways derived from 2021 World Economic Outlook. See endnote [i] on p. 26 for details on assumptions and methodology. 
"Equinor_Equinor, 2022, energy transition plan","[a, e]",12,6aed35c6e6155ac12c61fd960c5f2fab,"SHORT, MEDIUM AND LONG-TERM ACTIONS AND AMBITIONS  Reducing emissions from our production of oil and gas  Cutting scope 1 and 2 emissions by net 50 on group level by 2030   To respond to the need for the rapid and substantial near-term emissions reductions, Equinors ambition is to reduce operated scope 1 and 2 GHG emissions by net 50 by 2030 relative to 2015. We aim for 90 of these reductions to be met by absolute reductions. By setting a baseline year that corresponds to the year of the Paris Agreement, we can chart our emissions reduction progress according to a Paris-defined pathway. Such a baseline also enables us to show our early action on emissions reduction and to build on our leadership position throughout this decade. Equinors 2030 ambition for group-wide operated emissions is aligned with the goals of the Paris Agreement and what IPCC scenarios show as being consistent with a 1.5 degree pathway. It is also aligned with the Norwegian states ambition for emission reductions from the oil and gas industry with a 2005 baseline. "
"Equinor_Equinor, 2022, energy transition plan",[l],12,d47165acf0e06b6787d9e88d72d6220c,"We have already made significant reductions  nearly half of the reductions needed  through a combination of portfolio optimisation and energy efficiency measures. Reaching the 2030 ambition will require a focussed and coordinated effort across the company on executing and maturing abatement projects, improving energy efficiency of offshore and onshore assets and strengthening resilience in the portfolio, including through consolidation. The abatement projects primarily include electrification of offshore assets in Norway, mainly by power from shore. Offsets will play a minimal role in achieving this ambition. However, in the longer term, we see negative emissions solutions and offsets as making an important contribution to address the climate challenge. We plan to use only credits verified according to high standards and to disclose information about the type of offsets employed. To ensure quality in our credits, we have established a set of corporate criteria and principles based on the Oxford Principles for Net Zero Aligned Carbon Offsetting. "
"Equinor_Equinor, 2022, energy transition plan","[a, e]",13,f4918c6876c4b5233d4ea568b35362de,Equinor emission reductions vs IPCC 1.5C pathway  1.5C median 1.5C interquartile range Equinor historical emissions Equinor expected S12 emissions  1.5C median and interquartile range derived from IPCC Special Report on Global Warming of 1.5C (SR15). See endnote [ii]on p. 26 for details on assumptions and methodology. 
"Equinor_Equinor, 2022, energy transition plan","[e, p]",13,fd5109c20fef20e553526dd1b410d227,"Continued leadership on carbon efficient oil and gas production   Equinor has a proud history as a safe and reliable producer of oil and gas. These energy sources will be needed to power the global economy for many years to come, including in every independent scenario of what would be needed for a Paris-aligned trajectory. In addition to being primary sources of energy, oil and gas will also be needed as input to low carbon fuels for hard-to-abate sectors such as blue hydrogen and as feedstocks for non-energy applications such as chemicals. To meet the needs of society, Equinor will continue to produce oil and gas for the foreseeable future. We aim to excel in operational emissions management, maximising the efficiency of our infrastructure on the Norwegian Continental Shelf (NCS) and optimising our high-quality international portfolio. "
