File,Codes,Page,ID,Text
"France_Amundi, 2022, Climate and Sustainability report",[d],10,cf2b4e112870d689faaa637b448c30a4,"1.1.3  Net Zero Asset Managers initiative (NZAM) commitment  Amundi has been a member of the NZAM initiative since 2021. Amundi considers that the commitment to align with the Net Zero trajectory by 2050 must be clear and binding for investment strategies in order to fall within the scope. Therefore, the public targets presented in the NZAM are only composed of funds and mandates with explicit Net Zero 2050 target alignment objectives. "
"France_Amundi, 2022, Climate and Sustainability report",[e],18,f25259dadbbc125f226ba1fb80115f6f,"In 2022, Amundi stepped up the development of its Net Zero Ambition range16 with the launch of the following investment solutions  the Amundi Net Zero Ambition Global Corporate Bond strategy launched in November 2022, it invests in bonds issued by companies globally that are committed to a Net Zero trajectory. Its ambition is to support the entire real economy towards carbon neutrality by investing in companies engaged towards climate in each sector  the Amundi MSCI ACWI SRI PAB ETF strategy, which expands Amundis range of Climate ETFs with the listing of a new ETF replicating an index aligned with the Paris Agreement  the Amundi European Net Zero Ambition Real Estate (ENZA RE) strategy, a real estate impact strategy fully committed to carbon neutrality by 2050, and guaranteeing a carbon trajectory of its assets below the 1.5C trajectory of the CRREM (Carbon Risk Real Estate Monitor) benchmark model. "
"France_Amundi, 2022, Climate and Sustainability report",[e],39,bec78ca05514a581980793a8ef2ce93f,"Quantitative indicators required under III-5 of Article D.533-16-1 of the French Monetary and Financial Code  5. Information on the European taxonomy and fossil fuels  5.b. Proportion of assets invested in companies active in the fossil fuel sector   Here, only directly managed PEF funds are covered  NR Not Relevant (distinction by entity not relevant, refer to Group level data)  NA Not Applicable (entity not concerned by the data)  27. The providers methodologies can be consulted on their respective websites  Information on the strategy for alignment with international targets of the Paris Agreement to limit global warming  An alignment strategy based on the commitment to the Net Zero Asset Managers28 initiative  6.1.1  Joining the Net Zero Asset Managers initiative and defining an alignment objective  Climate change is undoubtedly one of the greatest challenges of our time. Through the Glasgow Financial Alliance for Net Zero, the financial sector has committed to a common goal to use its own resources to support a low-carbon global economy and meet the objectives of the Paris Agreement. "
"France_Amundi, 2022, Climate and Sustainability report",[d],40,a2cdeb84deecc1833f1b62a7c250b192,"Against this background, Amundi joined the Net Zero Asset Managers initiative in 2021. As part of this initiative, Amundi is committed to  ensuring that, by 2025, 18 of its assets under management are composed of funds and mandates with objectives aligned with a Net Zero trajectory. This objective is constructed as follows  In the numerator, only asset classes with recognised Net Zero standards are taken into account listed equities, corporate bonds and real estate. Only investment strategies with alignment objectives or constraints set out in the reference documents will be counted. Asset classes for which insufficient data is available andor methodologies have not been completed are excluded at this stage. This is particularly the case for sovereign bonds. "
"France_Amundi, 2022, Climate and Sustainability report",[d],41,5d3511ced5f1cfe34eab203a492bd1f4,"To ensure that these products are managed in such a way that their carbon footprint follows a trajectory aligned with the objective of carbon neutrality by 2050, these funds must, as a minimum, meet the following criteria  Carbon footprint reduction targets in line with reference scenarios for achieving carbon neutrality  Minimum exposure to sectors with a high climate impact to encourage their transition. "
"France_Amundi, 2022, Climate and Sustainability report",[e],41,ca9d78727a7739ac5a0d29f653819f49,"6.1.3 Supporting clients in aligning their investments with the Paris Agreement objectives  Amundi is also committed to helping its clients align their investment portfolios with the Net Zero trajectory, and makes its research on climate issues and Net Zero trajectories available to them. It organises training on ESG and Net Zero issues. "
"France_Amundi, 2022, Climate and Sustainability report","[b, e]",42,6342f15a9939d8f573b9c751a8cee2a3,"6.1.4 Supporting companies in their alignment with the Paris Agreement objectives  Amundi launched a Net Zero dedicated engagement campaign in 2022, in addition to the existing open climate-related engagements, in order to further accelerate our engagement effort in this field. This campaign addresses both ambition and disclosure issues, with the aim to improve comparability and facilitate assessments against IEA reference scenarios. We provided companies with detailed recommendations on what we consider necessary to achieve Net Zero and what related disclosure Amundi expects. Regarding disclosures, there are  discrepancies on the metrics and methodologies adopted by companies when reporting on their climate performance and strategy, even when operating the same activities. It results in limited comparability between companies. We therefore provided companies with additional sector specific recommendations. We believe that the transition of each activity implies its own challenges, with different mitigation levers and metrics, which makes comparisons between sectors rarely relevant. "
"France_Amundi, 2022, Climate and Sustainability report",[e],42,ea28b0652b98e24bb5ee807b656b127e,"Three reference frameworks are used to assess the Net Zero trajectories of the assets on which Amundi has made commitments  The  is used by default for our open-ended funds in the corporate bond and listed equity asset classes. This framework is also used for certain management mandates  6.2.2 Definition and implementation of an internal Net Zero methodology  In line with Amundis commitment to actively contribute to the global objectives of carbon neutrality by 2050, Amundi has announced the development of a Net Zero Ambition range designed to align emissions reduction targets with the objectives of limiting global warming set out in the Paris Agreement. "
"France_Amundi, 2022, Climate and Sustainability report",[e],42,632ede3a95b4bd59913cecec49a947ac,"To be considered on a net zero pathway, an investment portfolio managed by Amundi shall demonstrate a decarbonisation pathway in line with global economy decarbonisation pathways consistent with a maximum temperature rise of 1.5C above pre-industrial temperatures. "
"France_Amundi, 2022, Climate and Sustainability report",[b],42,479e40807ea5e0bbb9675c307bf99739,"Amundi has developed an internal methodological framework, setting minimum standards for listed management, which is aligned with the first two methodological frameworks presented in the previous section and is based on the Net Zero Emissions by 2050 Scenario (NZE) developed by the International Energy Agency (IEA). "
"France_Amundi, 2022, Climate and Sustainability report","[b, e]",43,c55f3d9d9b551c3a63f45b0fdfafe303,"Focus on the Net Zero Emissions by 2050 Scenario of the International Energy Agency (IEA)  The Net Zero Emissions by 2050 Scenario (NZE) set by the IEA is designed to show what is needed across the main sectors by various actors, and by when, for the world to achieve net zero energy related and industrial process CO2 emissions by 2050. The NZE aims to ensure that energy related and industrial process CO2 emissions to 2030 are in line with reductions in 1.5C scenarios with no or limited temperature overshoot assessed in the IPCC30 in its Special Report on Global Warming of 1.5C. "
"France_Amundi, 2022, Climate and Sustainability report",[b],43,ef43d6ccb264237692f16c4bf2cbab86,"The methodology covers listed equities and corporate bonds (sovereign bonds will potentially be included once the methodologies for the asset class have been stabilised). The analysis is cumulative over time, with time horizons of 2025 and 2030. The scopes taken into account are Scopes 1, 2 and 3 direct upstream,  and the methodology does not take negative emission technologies into account. The carbon reduction targets are based on the International Energy Agencys Net Zero Emissions by 2050 Scenario. "
"France_Amundi, 2022, Climate and Sustainability report",[e],44,33e7ffe16a504f3d9ce9ea79e30e1bbe,"Real estate portfolios covered by the CRREM approach will have as a target to maintain the carbon footprint of the portfolios below the CRREMs 1.5C trajectory (in the event of noncompliance, remedy within two years). "
"France_Amundi, 2022, Climate and Sustainability report","[d, e, f]",44,336dc403107c1ae656be931cc0b33483,"Two indicators are used to arrive at a forward-looking estimate  This is the evaluation by the Science Based Targets Initiative of the alignment of corporate reduction targets with sectorial objectives in line with the overall objectives of limiting global warming. These targets are then categorised according to their level of ambition 1.5C, well below 2C and 2C. "
"France_Amundi, 2022, Climate and Sustainability report",[e],44,67c7bc9f917874f79f3f6a4a83d45ccb,"The aim of the induced temperature trajectory calculation is to measure the alignment of portfolios with overall climate goals. Amundi takes into account past realised performance (usually over the past 10 years) and future performance, with regard to the carbon reduction targets set by the company. The companys history and its stated carbon reduction targets are used to calculate its trajectory.  It can then be compared with global climate scenarios. This comparison can be used to estimate the temperature increase associated with this issuers trajectory. "
"France_Amundi, 2022, Climate and Sustainability report","[d, f]",46,52b0c6cfec0c017d4cb4b91611d33d31,"46,093 139,187 6,464 35,735 76,018 15,280 6,981 31,027 12,295 2,133 4,920 2 Other Equity Fixed Income 1.5C 2C CommitmentWB2C  Source Amundi based on data from the Science-Based Targets initiative at 31 December 2022 - Scope covered assets in the scope described above for which data was available in the SBTi database. The Other category covers convertible bonds, foreign exchange, money market, over-the-counter market, reference entity, term deposit. The Commitment category refers to companies that have made a commitment to SBTi to set an emissions reduction target within 2 years. "
"France_Amundi, 2022, Climate and Sustainability report",[e],46,e59972684314ceb09bb3ba925deac127,"6.4 The Net Zero strategy applied to passive management  The European Union has defined Climate Transition and Paris Agreement benchmark indices in Regulation (EU) 20192089. The Climate Transition Benchmarks (CTB) are designed to help investors decarbonise their portfolios and support the transition to a low-carbon economy. The Paris-Aligned Benchmarks (PAB) aim to achieve a greater reduction in emissions intensity in line with the long-term objectives of the Paris Agreement. While both categories of index target the same carbon footprint by 2050, the reduction in carbon  intensity is different. While both benchmarks have a carbon footprint that is being reduced by 7 per year, the CTB benchmarks must show an immediate 30 reduction in carbon intensity, compared with 50 for the PAB benchmarks. "
"France_Amundi, 2022, Climate and Sustainability report",[e],48,6fe89c7d6ba8e1f39b0006a743d5fd6c,"Monitoring and review of carbon reduction targets  The indicators mentioned in section 6, chapter 6.3 Quantification of the indicators used make it possible to monitor the degree of alignment of the portfolios concerned with the objectives of the Paris Agreement. Issuers whose indicators are least in line with the decarbonisation objectives of the strategies in the Net Zero Ambition scope will see their capital allocation constrained by the climate objectives of the portfolios. "
"France_Amundi, 2022, Climate and Sustainability report",[k],48,ecce764fc7b4715216a36c2b21704262,"6.6.2 Moving towards more extensive carbon reduction targets  Several initiatives should make it possible to gradually extend the Net Zero Ambition scope and the reach of its objectives  The target for the percentage of assets aligned as part of the NZAM initiative must be updated regularly, at least every 5 years  A feasibility study on integrating Scope 3 downstream into carbon reduction targets is underway, in conjunction with changes in our clients investment behaviour. "
