File,Codes,Page,ID,Text
"France_Carrefour, 2021, Group Climate Plan 2021",[d],3,d2d6a6dbb4056c1070fbaad7298c4d67,"Detailed analysis of risks and opportunities based on Task Force for Climate Disclosure (TCFD) criteria  Acknowledging the risk that climate change poses to its business, as well as the potential opportunities that it could present, Carrefour assessed climate risks and opportunities in 2021, in line with the TCFDs recommendations. "
"France_Carrefour, 2021, Group Climate Plan 2021",[a],5,6190aa427d4e58df309920ad4702184a,"In 2021, Carrefour conducted the first risk assessment of climate change on its assets. This study analyses the current exposure of its sites to natural disasters by country and the long-term risks in accordance with the IPCC SPC 4.5 climate scenario. The figure below details the risks and impacts analysed for more than 8000 sites across the Groups integrated countries. "
"France_Carrefour, 2021, Group Climate Plan 2021","[a, f, k]",6,8bb2bbd0e39e0117d3cea6dd492cb7d9,"In June 2015, Carrefour announced an ambitious emissions reduction target at its Shareholders Meeting, in line with the 2C scenario developed by the IPCC. Carrefour had undertaken to reduce its CO2 emissions by 40 by 2025, and by 70 by 2050 (compared with 2010 levels). This target covered its scope 1 and scope 2 emissions, as well as upstream transportation (scope 3). By 2019, Carrefour had achieved a 39 reduction in its greenhouse gas (GHG) emissions for Scopes 1 and 2. In light of this performance, the Group updated its climate plan for 2020, raising its aims for Scope 1 and Scope 2 emissions, and stepping up its commitments for Scope 3 emissions. In fact, 98 of the Groups GHG emissions  are indirect, the main sources being products and packaging sold in stores (72), the use of products sold (12) and upstream transport of goods (5). "
"France_Carrefour, 2021, Group Climate Plan 2021","[d, f, k]",6,8470568528a6f051cc1d493b20a107cf,"At its Shareholders Meeting on May 29, 2020, Carrefour announced a set of new objectives, approved by the Science Based Target initiative (SBTi) led by the CDP, the Global compact, the World Resources Institute (WRI) and the WWF. Through these initiatives, Carrefour is standing shoulder to shoulder with more than 800 companies and committing to keeping global warming below the 2C threshold by 2100 (compared with temperatures during the preindustrial period). This commitment takes into account for the first time the Groups indirect emissions (scope 3) with a target of reducing them by 29 by 2030. "
"France_Carrefour, 2021, Group Climate Plan 2021","[d, e]",7,54b95466310e11b9353d3ac7c5b81670,"Carrefour bolstered its ambition once again in 2021 at COP26, and committed to helping to achieve net zero via its stores by 2040 and e-commerce by 2030. The Groups action plan to help achieve net zero aims to minimise its emissions and offset residual emissions. Carrefour aims to reduce GHG emissions from store operations by 50 by 2030 (vs. 2019) and 70 by 2040 (vs. 2019)  target aligned with the SBTis 1.5C scenario. "
"France_Carrefour, 2021, Group Climate Plan 2021","[d, f]",7,c5be18e2683217604973cda1297afb93,New SBTi approved target and 2C aligned -30 for scopes 12 by 2030 and -29 for scope 3 (vs 2019). 
"France_Carrefour, 2021, Group Climate Plan 2021",[e],7,68ec4e74122c7f4664a4bc4af6249818,"Help achieve net zero through its stores (scopes 12) by 2040, with a GHG emissions reduction target of 50 by 2030 and 70 by 2040. Target aligned with a 1.5C trajectory. "
"France_Carrefour, 2021, Group Climate Plan 2021",[e],8,b06ec5351929545b7404af3860034d9c,"Help to achieve net zero via stores by 2040 (Scopes 1  2)  The Groups action plan to help achieve net zero aims to reduce emissions resulting from the Groups direct activities by 30 by 2025 (vs. 2019), 50 by 2030 (vs. 2019) and 70 by 2040 (vs. 2019)  target aligned with the 1.5C scenario. "
"France_Carrefour, 2021, Group Climate Plan 2021","[d, e]",8,4ac5c40e1f7ec1bd2008dfdae0aa01ce,Targets set with the SBTi in 2019 New targets in 2021 20302040  30 reduction in emissions by 2030 (vs 2019)  55 reduction in emissions by 2040 (vs 2019)  30 reduction in emissions by 2030 (vs 2019) Target aligned with the SBTis 1.5C scenario  70 reduction in emissions by 2040 (vs 2019) Target aligned with the SBTis 1.5C scenario Refrigerants Reduce refrigerant emissions by 80 by 2030 (vs. 2019) Refrigerants Reduce refrigerant emissions by 50 by 2030 (vs. 2019) Energy efficiency 27.5 reduction in energy consumption by 2030 (vs. 2019) Renewable electricity 100 of electricity consumed to come from renewable sources by 2030 Carbon neutrality of our direct operations by 2040 DRIVING AMBITIOUS CORPORATE CLIMATE ACTION SCIENCE BASED TARGETS  The detailed targets of the e-commerce net zero roadmap are being finalised for 2022. 
"France_Carrefour, 2021, Group Climate Plan 2021","[d, f]",8,01d2fd81a03f50bdee7585edfb4a0998,"Reduction in indirect emissions from products and transport (Scope 3)  Carrefour has set itself the target of reducing its indirect GHG emissions (scope 3) by 29 by 2030 compared with 2019. The Groups objectives have been approved by the Science Based Targets initiative for its alignment with a trajectory below 2C. In view of the main indirect emissions, Carrefour has structured its scope-3 climate action plan around three types of emissions, which account for nearly 90 of scope 3  purchase of products and services reduce emissions associated with purchases of goods and services by 30  by 2030 compared with 2019 levels (well below the 2C scenario). This target means cutting CO2 emissions by 20 megatonnes by 2030 compared with 2019  product use cut emissions resulting from the way in which products are used  fuels and electronic products  by 27.5 between now and 2030, compared with 2019 (2C scenario)  outbound transport reduce outbound transport CO2 emissions by 20 by 2030 compared with 2019 (2C scenario). "
