File,Codes,Page,ID,Text
"France_Carrefour, 2022, Climate plan Carrefour Group 2022","[e, f, k]",1,1d38110982244989a68a304faa32431d,"CONDUCTED FOR THE APPLICABLE CATEGORIES OF SCOPES 1, 2 AND 3 USING THE GHG PROTOCOL METHODOLOGY  Upstream activities Scopes covered by reduction commitments aligned with a below 1.5C trajectory. Consolidated stores Downstream activities Scopes covered by reduction commitments aligned with a below 2C trajectory. fuel consumption 6 of scope 1 Use of refrigerants 80 of scope 1 Gas consumption 14 of scope 1 electricity consumption 100 of scope 2 Scope 2 631,402 teqCO2 Scope 1 Use of products sold 18.1 of scope 3 Investments 0.8 of scope 3 End of life of the products sold 0.3 of scope 3 Franchise stores 0.9 of scope 3 Waste generated during activity 0.4 of scope 3 Customer journeys Not posted to date Scope 3Scope 3 Inbound goods transport (suppliers  warehouses) 9.2 of scope 3 Commuting Business travel 0.2 of scope 3 Purchases of goods and services  integrated Purchases of goods 0.0 of scope 3 stores stores 49.3 of scope 3 and services  franchise 19.4 of scope 3 Outbound goods transport (warehouses - stores) 0.3 of scope 3 Purchases of fixed assets 0.6 of scope 3 Upstream energy emissions 0.2 of scope 3 Downstream rental 0,2 of scope 3   includes emissions linked to the franchise stores in the eight countries where the Group operates directly   includes scope 1 and 2 emissions linked to the franchise stores in the eight countries where the Group operates directly and with the franchise stores of international partners. "
"France_Carrefour, 2022, Climate plan Carrefour Group 2022",[e],2,a76432a1331d4cead252299d692742f6,"In 2020, the Group committed to reducing its CO2 emissions to well below 2C for scopes 1, 2 and 3, targets that were validated by the Science Based Targets Initiative (SBTi). "
"France_Carrefour, 2022, Climate plan Carrefour Group 2022","[e, f, k]",2,547c25034414ff0bfc32b9c845f83ee0,"2,500,000 2,000,000 1,500,000 1,000,000 500,000 0 1 2 3 4 5 6 7 8 20192020 2024 2028 2032 2036 2021 2025 2029 2033 20372022 2026 2030 2034 2038 2023 2027 2031 2035 2039 2040 1 2 3 4 5 6 7 8 Greening of the energy mix Improved efficiency store energy Renovation of the store refrigeration systems Renewable energy supply in Europe Renewable energy supply in Brazil Reduction target for 2030 aligned with the 1.5C scenario Removal of polluting refrigerants Reduction target for 2040 aligned with the 1.5C scenario Onn-site solar power generation Supply of renewable energy in Taiwan and Argentina GHG emissions projection and baseline scenario  Carrefour has set the target of reducing GHG emissions resulting from the main aspects of its scope 3 activities by 29 by 2030, compared with 2019. The Groups targets have been approved by the Science Based Targets initiative for its alignment with a below 2C trajectory. More specifically, the Group has made commitments in relation to the three main perimeters covering more than 90 of its scope 3 emissions, with the following targets  Reduce emissions linked to purchases of goods and services by 30 by 2030 (vs 2019)  Reduce emissions linked to product usage by 27.5 by 2030 (vs 2019)  Reduce downstream emissions linked to outbound transport by 20 by 2030 (vs 2019)  Carrefour is working to raise its aim so it can announce a target aligned with a 1.5C trajectory by 2050. In 2021, Carrefour committed to the Race to Zero initiative, an international commitment to the SBTi to embark on a 1.5C trajectory. Carrefour is, for the moment, the only French retailer to have made this commitment. "
"France_Carrefour, 2022, Climate plan Carrefour Group 2022",[e],4,e022446a5d1a91deaa7a732d0b943c7b,Top 100 suppliers committed to a trajectory of 1.5C by 2026 under threat of being delisted  Work with suppliers  large and small  to implement the food transition and promote low-carbon consumption patterns. 
"France_Carrefour, 2022, Climate plan Carrefour Group 2022","[a, g]",4,fad3c98ab6cbe3df256e2f1a022c951a,"100 of Carrefour brand packaging to be reusable, recyclable or compostable by 2025 20,000 tonnes of packaging saved (including 15,000 tonnes of plastic packaging) by 2025 (total since 2017) 150 billion worth of sales of loose products and reuse by 2026 (a fivefold increase compared with 2022)  In an effort to improve the resilience of its activities, the Group has carried out risk and opportunity analyses regarding climate change, notably on the basis of the TCFD expectations and the IPCC scenarios. Carrefour has conducted studies to identify the sites most exposed to future climate hazards (RCP scenarios 4.5, 2.6 and 8.5) in all countries where the Group operates. "
"France_Carrefour, 2022, Climate plan Carrefour Group 2022",[b],12,8a41d3787a08c61e0fe89a1a2c155cb1,"Use of more efficient production and distribution processes  Development of new products or services through RD and innovation  Development andor expansion of low-emission goods and services  Access to new assets and sites requiring insurance coverage  Participation in renewable energy programmes and adoption of energy efficiency measures  Mandates and regulation of existing products and services  Increased stakeholder concern or negative feedback  Replacing existing products and services with cleaner options  Increased severity of extreme weather events such as cyclones and floods  Changes in precipitation patterns and extreme variability in climate patterns  Increased probability and severity of forest fires  To identify risks and opportunities, Carrefour has covered social, technological, economic, environmental and political dimensions. To analyse them, Carrefour used the International Energy Agencys Net Zero Emissions andStated Policies scenarios. These scenarios were supplemented by vulnerability and impact analyses, including on energy and carbon pricing markets, and in relation to physical risks (floods, power outages and water restrictions, extreme heat, droughts and reduced agricultural production) in the regions where the Group operates. "
"France_Carrefour, 2022, Climate plan Carrefour Group 2022","[a, f, k]",14,f281e1d50510276374e247256a04a32a,"Decent wages - supply chain 3.9 3.8 3.7 3.6 3.5 3.4 3.3 3.2 3.1 3 3 3.2 3.4 3.6 3.8 4 4.2 Sustainable relationships and partnerships with suppliers Deforestation Transparency, traceability and guarantee of safe products Decent wages - Employees Food insecurity and associations IMPACT ON BUSINESS ACTIVITY MATERIALITY MATRIX IMPORTANCE FOR STAKEHOLDERSWater management and quality Local roots Training and skills development of employees Anti-corruption Human rights among our subcontractors Climate  transport and e-commerce Animal welfare Health and nutrition Ethics alert line Climate  stores and e-commerce Attracting and retaining talent Priority challenges handled within the framework of the CSR and food transition index Priority challenges handled within the framework of the duty of care Emerging priority challenges Accessible and quality products Zero waste customer journey Inclusion of customers in stores Local production Sustainable farming Diversity and inclusion Human rights across supply chains Well-being at work Responsible fishing Packaging Food waste  In June 2015, Carrefour announced an ambitious emissions reduction target at its Shareholders Meeting, in line with the 2C scenario developed by the IPCC. By 2019, Carrefour had achieved a 39 reduction in its greenhouse gas (GHG) emissions (its target is a 40 reduction by 2025) for Scopes 1 and 2. In light of this performance, the Group updated its climate plan for 2020, raising its aims for Scope 1 and Scope 2 emissions, and stepping up its commitments for Scope 3 emissions. In fact, 98 of the Groups GHG emissions are indirect, the main sources being products and packaging sold in stores (65), the use of products sold (27) and upstream transport of goods (3.5). "
"France_Carrefour, 2022, Climate plan Carrefour Group 2022","[f, k]",15,dd1e4a5457f6fe558c7ae002829a11d1,"At its Shareholders Meeting on May 29, 2020, Carre-four announced a set of new objectives, approved by the Science Based Target initiative (SBTi) led by the CDP, the Global compact, the World Resources Institute (WRI) and the WWF. Through these initiatives, Carrefour is committed to keeping global warming below the 2C threshold by 2100 (compared with temperatures during the preindustrial period). This commitment takes into account for the first time the Groups indirect emissions (scope 3) with a target of reducing them by 29 by 2030. "
"France_Carrefour, 2022, Climate plan Carrefour Group 2022",[e],15,25a3c2c92c0fd0a563c7d5a2a5208f05,"Carrefour bolstered its ambition once again in 2021 at COP26. Carrefour has announced a target to reduce GHG emissions from store operations by 30 by 2025, 50 by 2030 (vs. 2019) and 70 by 2040 (vs. 2019)  a target aligned with the 1.5C warming scenario. The Group is committed to contributing to helping to achieve net zero through its stores by 2040 and e-commerce by 2030. The Groups action plan to help achieve net zero aims to minimise its emissions and offset residual emissions. "
"France_Carrefour, 2022, Climate plan Carrefour Group 2022",[e],15,e7c47c4a865a09ef631f07fe37572c4b,"Finally, Carrefour signed the Race To Zero initiative at COP26. Consequently, the Group is committed to defining commitments and putting in place action plans to help achieve zero across all scopes (1, 2 and 3) by 2050 at the latest, with an emissions reduction trajectory aligned with a 1.5C warming scenario. Car-refour is also committed to having its future Net Zero targets approved by the Science Based Target initiative. "
