File,Codes,Page,ID,Text
"France_Engie, 2023, Cahier Climat 2023","[d, e, k]",3,4874b7a8bd1015bd0b5a15380dc2b6a2,"ENGIE has set a goal of reaching Net Zero Carbon (1) throughout its entire value chain (scope 1, 2 and 3) by 2045, following a well-below 2C trajectory certified by the Science Based Target initiative (SBTi) in February 2023. In this way, the Group is reducing its direct and indirect greenhouse gases (GHG) emissions by at least 90 compared with 2017 (2). At the same time, it plans to work on the development of carbon sinks in order to neutralize its residual emissions over the long term and thus contribute at the right level to planetary carbon neutrality. The Group is also committed to supporting its customers in the reduction of their GHG emissions in order to accelerate the decarbonization of its own value chain. "
"France_Engie, 2023, Cahier Climat 2023","[d, k]",3,b04e256a9dc4bdc487ea8e0b20762215,"ENGIEs strategy to decarbonize its value chain is based on three pillars (Reduce, Avoid and Remove) in line with the methodological framework of the Net Zero Initiative (3)  First, reduce the direct and indirect GHG emissions resulting from ENGIEs activities by at least 90 compared compared to 2017  Then, increase carbon sinks to neutralize the last residual emissions that are the most difficult to abate. "
"France_Engie, 2023, Cahier Climat 2023",[b],4,3477b8a6c280c039cd4c14b2ddbb0cb6,"Needs for balance and flexibility In an electricity mix dominated by intermittent renewable energy, the need for flexibility solutions to ensure the balance of the energy system will increase significantly (fourfold increase in 2035 according to the IEA in its Net Zero Emissions scenario). In the medium-term, only thermal assets can provide this flexibility on an intra-weekly and inter-seasonal basis. "
"France_Engie, 2023, Cahier Climat 2023","[d, f]",4,b3295d4e85b234214eca03e2ad62c76b,"THE MOST AFFORDABLE TECHNOLOGIES TO MEET FLEXIBILITY NEEDS Battery storage for flexibility needs in the very short term WEEKSHOURS DAYS SEASONAL Pumped storage and dams for intra-daily flexibility needs CCGTs (1) for short- and long-term flexibility needs Gas storage for seasonal flexibility needs (1) Combined cycle gas turbines  Already certified for a 2C trajectory by the SBTi since 2020, ENGIE earned its new well-below 2C certification early in 2023 with new targets for 2030 (see p. 79). ENGIE committed to reduce the carbon intensity related to energy generation and consumption (scope 1 and 2) that goes beyond the SBTi requirements with a commitment of -66 over the period from 2017-2030 instead of the -55 required by the SBTi. "
"France_Engie, 2023, Cahier Climat 2023",[e],4,eab34355018e8524ee679a1e65b95b4a,"Projections for use of gas-fired thermal power plants do not currently allow ENGIE to commit to a trajectory of 1.5C, which would require a 78 reduction in carbon intensity over the same period. Such a reduction could not be achieved without the disposal of assets. These assets could not be closed Indeed, these thermal assets could not be closed, otherwise the security of the electrical system to which they are connected would be jeopardized. They would thus continue to emit GHG emissions. ENGIE is therefore playing its role as an industrial company engaged in the energy transition, remaining at this stage a key player in thermal generation, resolutely committed to decarbonizing these assets with different technologies (biomethane, carbon capture and, depending on technological developments, renewable hydrogen). To fully industrialize these technologies, despite promising changes in the regulatory framework (particularly in the EU), we believe that the credible horizon is 2040-2045. "
"France_Engie, 2023, Cahier Climat 2023","[d, e]",5,53638fdb2bbe425b319da8526465a7eb,"The levers of ENGIEs decarbonization based on medium and long term science-based targets  ENGIE is committed to being Net Zero Carbon for all its scopes (1, 2 and 3). Reduce ENGIEs direct and indirect GHG emission by at least 90 compared to 2017. Then increase carbon sinks to neutralize the Groups residual emissionsto ENGIE full value chain. 2030 2045 Remove carbon up to the residual emissions from ENGIEs activities in four countries (including Brazil) and the groups ways of working Reduce the main sources of GHG emissions following a well-below 2C trajectory 43 Mt CO 2  eq. linked to to energy generation 52 Mt CO 2  eq. linked to the use of products sold gas sales  Targets50 GW of renewable capacity in 2025 and 80 GW in 2030 Coal phase-out in 2025 in continental Europe and in 2027 worldwide Tracking the main decarbonization levers between 2017 and 2030 Key changesTargets progress report between 2017 and 2030 DEVELOPMENT OF RENEWABLES In capacities(GW100) ENGIE targets to reach 58 of renewables capacity in its energy production by 2030, with a target for commissioning solar and wind power capacity at 4 GW per year on average in 2022-2025 and 6 GW per year in 2026-2030. CHANGE IN RENEWABLE ELECTRICITY CAPACITIES (GW100) RENEWABLE ELECTRICITY 10 TWh of biomethane produced in Europe by 2030 2.5 bn invested in the network for biomethane connections by 2030 3 bn invested in renewable gases (including e-CH4) by 2030 30 TWh  year of biomethane sold by ENGIE in B2B and B2C services in 2030 50 TWh  year biomethane connected production capacity in France in 2030 BIOMETHANE 4 GW of renewable hydrogen production capacity through electrolysis by 2030 700 km of dedicated hydrogen networks by 2030 1 TWh of hydrogen storage capacity by 2030 30 TWh of hydrogen in the managed energy portfolio by 2030 More than 100 charging stations for hydrogen vehicles by 2030 4bn invested in hydrogen by 2030 HYDROGEN COAL PHASE-OUT In number of electrical and heating assets Conversion Closure Sale ENGIE is establishing a strategy to move away from coal in the following merit order closure, conversion, then, if not possible, sale, ensuring a continuous dialog with stakeholders (ENGIE Just Transition policy) 65 32 3 COAL CHANGE IN COAL-FIRED ELECTRICITY CAPACITIES (GW100) RENEWABLE GASES CAPEX 2023-25Between 13 bn and 14 bnNo new investment Over the entire Group, around 75 of 2023-2025 growth CAPEX will be aligned with the European taxonomy. Hydropower Solar Wind power Others 53 26 21 2027 0 2017 7.0 2020 4.3 2022 2.5 2017 24 2030 80 2020 31 2022 38 2025 50 2017-2022 2023-2025 2026-2030Periods Wind power HydropowerSolar  The GHG emissions related to ENGIEs energy production (electricity, heating and cooling) have decreased by 44 since 2017 over all of scope 1 (direct emissions associated with fully and proportionately consolidated assets) and scope 3 (indirect emissions associated with ENGIE equity associates). This represents 74 of the reduction target to reach 43 Mt CO2 eq. in 2030 versus 2017. "
"France_Engie, 2023, Cahier Climat 2023",[d],7,620686a45b4a4d9871ef2090a41344f3,"(5 of the carbon footprint) ENGIE is committed to supporting its top 250 preferred suppliers (excluding energy purchase) so that they are all certified or aligned with the Science Based Target initiative by 2030. This would cover 20 of the Groups purchases in terms of expenses. At the end of 2022, 23 of the top 250 preferred suppliers were already certified or aligned. "
"France_Engie, 2023, Cahier Climat 2023","[e, i]",9,974070013d6c1ebe9ebf3db085f151de,The Group also launched a study on the transition risk related to a European alignment with a 1.5C trajectory the results will be communicated in accordance with the CSRD Directive.(1)  Workstream have been carried out at Engie for four years to anticipate the chronic impact of climate change on production for the different technologies as well as the impact of the evolution of extreme events on the Groups assets. They were made possible thanks to the collaboration with the Institut Pierre Simon Laplace on one side and the mobilization of the Groups operational experts on the other side. 
"France_Engie, 2023, Cahier Climat 2023",[g],10,81f572998736717cb8b3189c90d18d80,Examples of existing impacts due to climate change  Cold wave in Texas -30 to 40 million on net income loss Drought in France and Portugal in 2022 buybacks of 1.3 TWh for 127 M EBIT  Wind Power Hydropower Thermal Solar Power 0-3 PRODUCTION 5-2 7-8 18-15 0  Minimum and maximum evolutions of ENGIEs existing sites bewteen 2020 and 2050 according to a high warming scenario (RCP8.5). 
"France_Engie, 2023, Cahier Climat 2023","[g, j]",10,656f112c60df8ff0097468f4c6268a88,"Evolution between 2020 and 2050 according to a significant warming scenario (RCP8.5) on median demand in the countries where ENGIE operates heating and cooling activities. Cooling Heating -20 to -13 13 to 109 DEMAND 0  Integrity of the facilities. Asset integrity may be affected by the increase in the number of extreme events. For the last three years, the Group has organized itself to boost its resilience against four major risks heatwaves, drought, floods and extreme winds. In 2023, mud slides, forest fires and extreme rainfall (for hydraulic activities) and the temperature of rivers (for thermal activities) will also be studied. "
