File,Code,Text
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report",[Scenario],"['This report also provides an opportunity for us to explain even more clearly and transparently our climate ambition, our progress, the pertinence of our 2030 objectives and our ability to meet or exceed them, and in so doing, show our stakeholders that we are already on the right track. As we promised, each year the TotalEnergies Board of Directors reviews the relevance of its ambitions, as well as the appropriateness of its strategy and targets for reducing greenhouse gas emissions in the light of progress in international and national policies, new scenarios concerning decarbonization trajectories, advances in low carbon technologies, action taken by other sectors, including its customers, and other changes in society in terms of energy transition and sustainable development. ', 'That is why, through this report, we are expanding on the ambition we submitted to our shareholders in 2021. ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report",[Offset],"['For the first time, we describe our 2050 vision of a net zero TotalEnergies, together with society. Renewable electricity will account for half of its production; new decarbonized molecules from biomass (biofuels and biogas) or from renewable electricity (hydrogen and e-fuels) will represent a quarter; and hydrocarbons (oil and gas) the remaining quarter, with their residual emissions fully captured, recycled or offset. ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report",[Scope3],"['This vision is not a mirage or greenwashing. It is based on measurable objectives to reduce our greenhouse gas emissions in the short (2025), medium (2030) and long (2050) term, covering our industrial operations (Scope 1+2) and the emissions generated by our customers’ use of our energy products (Scope 3). We affirm our ambitious target of a more than 30% reduction in greenhouse gas emissions related to sales of petroleum products (Scope 3 Oil) by 2030 compared to 2015. ', 'To that, we add phased targets for reducing methane emissions (50% from 2020 levels by 2025 and 80% from 2020 levels by 2030) to move towards zero methane and an objective of less than 0.1 million cubic meters per day for routine gas flaring at our operated assets by 2025, before eliminating flaring completely by 2030. ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report",Paris,"['Objectives aligned with society’s net zero ambition ', 'According to assessments by respected independent third parties, our target of a 40% reduction by 2030 in our net Scope 1+2 emissions compared to 2015 is in line with the commitments made by countries with a net zero pledge, including the European Union with its ""Fit for 55"" package. I am also pleased that Transition Pathway Initiative (TPI) announced that TotalEnergies is one of three oil and gas firms that “have set emissions reduction targets that are ambitious enough to reach net zero by 2050 and to align with TPI’s 1.5°C benchmark.” ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report","[Scenario, IEA]","['This report also includes our analysis of the International Energy Agency’s normative Net Zero Emissions scenario, which some observers are now using as guidance. Even though we do not think that our societies can match the scenario’s trend in the short term, we do share the 2050 end-point described by the IEA for carbon neutrality. For this reason, we have decided to take the scenario into account, for testing the resilience of our portfolio and projects and ensuring the strength of our balance sheet. ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report",[Scenario],"['Our contribution to the development of renewable energies, as called for in the Net Zero Emissions scenario, accelerated in 2021. Our investments in renewables and electricity accounted for 25% of total investments, which is more than the 20% we forecast one year ago. Combined with our investments in new molecules, this means that soon more than 30% of our investments will be devoted to decarbonized energy. In the interests of full disclosure, we are including the taxonomy of our operations for the first time, ahead of the new European regulations. Our ambition is backed by a clear and disciplined investment strategy, with the objective of channeling half of our future investments to growing renewable energies, gas and new decarbonized molecules. The other half will be used to maintain our traditional production base. In this way, we will be able to gradually build up an integrated portfolio of multi-energy assets that all share two crucial criteria for ensuring a commodity-producing company’s sustainable profitability in a period of energy transition: low production costs and low CO2  emissions. ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report",[Scope3],"['equity share basis, as well as the geographic spread of our Scope 1, 2 and 3 emissions by region. In carrying out our transformation and advancing on the path to net zero, we are not alone. We are working to engage customers, suppliers, researchers, start-ups and others. In 2021, we multiplied our low-carbon collaborations and partnerships and we intend to drive further progress with all the players in our value chain, especially in new mobilities. ', 'Working for a just transition, together with our stakeholders ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report",[IPCC],"['Care for the environment is also a key focus of our sustainable development approach. This report details our environmental requirements and our new objectives for biodiversity, for managing scarce water resources and for the circular economy. ', 'As I write this, two realities are unfolding. On the one hand, Russia’s armed aggression against Ukraine threatens people, European stability and the energy market’s equilibrium. On the other, the Intergovernmental Panel on Climate Change’s new report powerfully reminds us of the climate emergency. In this environment, explaining our ambition and showing how it is being put in place takes on its full meaning. Guided by our values and backed by our talents, I am confident in our ability to keep moving forward, to resolutely drive the transformation of our industrial model and to help, with our stakeholders, shape the just transition to which our societies aspire. ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report","[IEA, Scenario]","['In 2021, the Board of Directors defined TotalEnergies’ ambition and 2030 objectives for sustainable development and the energy transition toward net zero, together with society, and presented them to our shareholders so they could voice their opinion. This ambition has received massive support from shareholders, with 92% favorable. After talking to Christiana Figueres in 2020, the Board invited Fatih Birol, Executive Director of the International Energy Agency (IEA), in 2021, in order to get a better view of the underlying factors in the IEA’s Net Zero scenario. ']"
"France_TotalEnergies, 2022, Sustainability and Climate 2022 progress report",[Scope3],"['In 2021, we added climate-target-related performance criteria to other sustainable development criteria (HSE, CSR, HR and diversity) in the determination of the Chairman and CEO’s variable compensation. The Oil & Gas growth criterion in this calculation was replaced by two criteria concerning his steering of the transformation and profitable growth in renewables and electricity. The granting of performance shares includes a criterion relating to the decline in indirect (Scope 3) emissions from the end use of energy products by TotalEnergies customers. ']"
