File,Codes,Page,ID,Text
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report",[e],9,f6fbb819c9832b6100f8b66f2db94e97,"T he energy transition is well underway, but the world still uses fossil fuels to meet 81 of its energy needs. Keeping global warming well below 2C, in line with the Paris Agreement, requires that we drastically reduce consumption of fossil fuels (coal, oil, gas) and make the world energy system evolve by building the new lowcarbon energy system at a much faster pace. Our collective challenge  which became evident in 2022  is to reconcile the energy transition with the need for energy security and concerns over its cost. "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report",[e],9,14c35e787a2c1ca40eac78322bfb5a57,"That, in a nutshell, is TotalEnergies strategy to  continue providing the energy the world needs now, notably natural gas to replace coal, while responsibly and sustainably accelerating the transition to low carbon energy solutions. This is how, in concrete terms, we support the goals of the Paris Agreement, which calls for a reduction in greenhouse gas emissions in the context of sustainable development and the fight against poverty, and which aims to keep the increase in average global temperatures well below 2C compared to preindustrial levels. "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report",[b],10,b581cfcb2776ca7689b11e24b3c008bc,"As the penetration of intermittent renewable energies increases, massive investments to upgrade power transmission and distribution networks are also required, as well as storage solutions and flexible power plants. Global investments in renewables and power grids are already outpacing investment in oil and  gas production by nearly 100. Here too, we need to go further we also share the IEAs belief that annual investment in low-carbon power must, at a minimum, double by 2030 to reach between 1.5 and 2 trillion, with half devoted to grids. "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report",[b],11,a2dab3f676697fdfe12d8a2a8a6596b5," about 25 of our energy, equivalent to 50 Mtyear of decarbonized fuels in the form  of biogas, hydrogen, or synthetic liquid fuels from the circular reaction H2   CO2   efuels.  about 1 Mbday of oil and gas (about a quarter of the total in 2030, consistent with the decline envisaged in the IEAs 2021 Net Zero scenario), primarily liquefied natural gas (roughly 0.7 Mboeday, or 25-30 Mtyear) with very lowcost oil accounting for the rest. Most of that oil would be used in the petrochemicals industry to produce about 10 Mtyear of polymers, of which two thirds would come from the circular economy. "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report","[b, e]",12,2666097f8f9d76ff98ba408824ebfe6e,"I n May 2021, the International Energy Agency (IEA) published its Net Zero Emissions (NZE) scenario outlining changes in world energy demand that would be compatible with a 1.5C scenario without overshooting the related carbon budget. The strict assumptions used for the evolution in energy demand between now and 2030 prompted the IEA to assert that the world had no need for new oil and gas projects. Indeed, under that normative scenario, demand for oil between 2020 and 2030 declines at the same rate as the natural depletion of fields, i.e about 4 a year. "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report",[b],12,f9f3366ee6d110f5c9368a747c133e40,"This scenario does not claim to forecast actual changes in energy demand, and since its publication the IEA has released several demand forecasts that reveal the extent to which the world is deviating from that normative outlook. Demand for oil is by no means declining in line with the depletion of existing fields in fact, demand is rising. In February of this year, the IEA projected that demand  in 2023 would exceed 2019 levels, rising to 102 Mbd  (whereas the NZE scenario published in 2021 projected falling demand from 2019, to 93.5 Mbd in 2023). "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report",[b],12,20f810ae15a9e04f135b21a6ae7aa0f1,"The IEAs forecasts for shortterm oil demand are in line with TotalEnergies analyses although we concur with the NZE scenario regarding oil demand in 2050, the demand curve for 20202030 put forward to achieve it is clearly very far from observed market trends. "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report","[b, e]",12,ffe7108c7330cfb3e242ba5c5c8dcf4f,"The IEA updated its scenarios in the World Energy Outlook published in October 2022. In the wake of the 2022 energy crisis, it acknowledged the importance of balancing supply and demand for the energies currently used throughout the world. Under its Announced Pledges Scenario (APS), which is compatible with the Paris Agreement, global oil demand would peak in 2030 and then subside, but at a slower pace than the natural rate of oil field  decline. So new oil projects will be necessary. The chart below compares oil production in the APS scenario to the production capacity of existing fields (TotalEnergies assessment shown in red in the chart). The gray area indicates the shortfall in available production, meaning new projects that will need to be launched, even under the 1.7C scenario. "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report",[b],12,18e899c47e4c29b739fcf257d8ada709,"WORLD OIL PRODUCTION FORECAST COMPARED TO IEA NZE AND APS SCENARIOS  Production gap between IEA APS scenario and existing fields production TEO 1 world oil supply of the existing fields, decline 4year Oil production of the NZE IEA 2022 Oil production of the APS IEA 2022 0 20 40 60 80 100 2030 2040 205020222018 Production Mbd IEA APS 2022 1.7C IEA NZE 2022 1.5C 1. TotalEnergies Energy Outlook. "
"France_TotalEnergies, 2023, Sustainability and Climate 2023 progress report","[b, e]",14,e516dd10bceb9155259b3e1b4080cb53,"Each material investment project is evaluated in relation to the Paris Agreements objectives  Integrated Power  OilLNG  Gas Low-carbon molecules 4 B in low-carbon energiesNew projects Maintain 16.3 B 2022  Integrated Power Oil LNG  Gas Low-carbon molecules Maint enance Gas Maint enance Oil 33  in low-carbon energies 30  in new projects 14-18 Byear through cycles   Project profitability is analyzed in a hydrocarbon price scenario compatible with the Paris Agreement (Brent at 50 per barrel according to the IEA APS scenario limiting global warming to 1.7C, and Henry Hub at 3 per MMBtu) and with a carbon price of 100 per ton (or the current price if higher in a given country). "
