File,Codes,Page,ID,Text
"South Africa_SASOL, 2021, Climate Change Report 2021",[d],1,2a3a6c155895a3fdf026e4e55a105c81,"Sasols 2021 Climate Change Report is our third report aligned to the Task Force on Climate-related Financial Disclosures (TCFD). We committed to TCFD in 2018. Since then, we have seen numerous benefits, ranging from how we embed climate change management into our strategy to how our stakeholders think about our response. Now our journey is focused on execution and the implementation of our roadmaps to achieve the targets and Net Zero ambition of Future Sasol. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[d, j, p]",2,ee951731bfdf1ff514759648ae83a6e3,"Implement mitigation projects in line with our committed roadmaps, to significantly reduce our absolute scope 1 and 2 emissions from our Energy and International Chemicals Businesses progressing towards a NET ZERO EMISSIONS AMBITION BY 2050  A Future Sasol, on a net zero emissions basis, operating in a thriving green hydrogen economy in 2050, creating shared value  Implement mitigation actions to reduce absolute scope 3 Category 11 emissions from our Energy Business products progressing towards a NET ZERO EMISSIONS AMBITION BY 2050  A shifted portfolio producing FT sustainable fuels and chemicals operating in a low-carbon net zero future by 2050  Grow FT SUSTAINABLE SOLUTIONS INTO A BUSINESS that is contributing to South Africas GREEN HYDROGEN economy by producing sustainable fuels and chemicals  A successful FT sustainable solutions business that is delivering growing returns  Sign requisite RENEWABLE ELECTRICITY Virtual Power Purchase Agreements (VPPAs) and Power Purchase Agreements (PPAs), source TRANSITION GAS and develop GREEN HYDROGEN  A foundation laid for green hydrogen at scale in the medium term to decarbonise operations  REDUCE PHYSICAL VULNERABILITY to climate change impacts by implementing proactive measures for our people, communities and infrastructure  A sustainable business, fenceline community and society that is resilient to the impacts of climate change  PARTNERSHIPS BE A CHANGE AGENT FOR CLIMATE CHANGE ACTION  Progress partnerships to unlock technology opportunities and markets. Advocate for progressive and enabling climate change policy cognisant of national circumstances. Report on climate change matters using TCFD. Read more on page 17 - 18, 38 - 42 and 49. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[a],3,ceee2aaf7aa48db5b27f442b861d3920,"Global GHG emissions must halve by 2030 and reach net zero carbon dioxide emissions (CO2) by 20501. Countries and companies are required to contribute to meet these global reduction requirements, with differences anticipated in the reduction trajectory and timing depending on national circumstances. In August 2021, the Intergovernmental Panel on Climate Change (IPCC) released its 6th Assessment Report (6th AR), which confirms that human-induced warming is unequivocal and that if we achieve net zero and stay at net zero, warming will stabilise2. Today, the global community is out of sync with this goal given where global emissions are and where they need to be. THIS REQUIRES CONCERTED EFFORT FROM US ALL TO ACHIEVE THIS GOAL. Developed and developing countries alike are stepping up their ambitions to do more, faster. In addition, developed countries are required to support developing countries to achieve greater emission reductions. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[b],3,f8914ccb3312e9ff6a0a20e3a6000465,"In September 2020, the South African government approved the establishment of a Presidential Climate Commission (PCC) to coordinate the countrys transition. It proposed an increase to the national target for higher emission reductions by 2030. This national ambition will need to be met while addressing poverty, inequality and unemployment, which is at an all-time high in a COVID-impacted environment. An enabling and conducive environment that accelerates climate action is slowly developing. We believe that the PCC will provide the imperative for more directives, such as the recent positive announcement increasing the licence-free threshold for embedded generation to 100 MW. Sasol is steadfast in our commitment to reducing GHG emissions. We believe that the transition to net zero is for and about people, as supported by the International Energy Agency (IEA). The energy transition holds promise for South Africa and Sasol as we pivot away from coal and contribute to a sustainable future. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[a],3,7bb97e96f43baa7eeefab395e1e1c48a,"1. Global warming of 1,5C an IPCC Special Report on the impacts of global warming of 1,5C above pre-industrial levels and related global GHG emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty (Special Report on 1,5C). "
"South Africa_SASOL, 2021, Climate Change Report 2021",[e],6,765cdfa5162e53e5ccde54a033f26b59,"Decarbonising for a sustainable future means Sasol is fundamentally transforming itself to be resilient and sustainable for the future. In line with the former commitment to increase ambition, the Sasol Board approved a significant increase in the 2030 GHG target for the Energy Business, from at least 10 to 30 off a 2017 baseline, excluding Natref. We also approved a target of a 30 emission reduction for our International Chemicals Business by 2030 and, most importantly, the companys ambition to achieve Net Zero emissions by 2050. These targets are reflected in our associated roadmaps and bodes well for our response to the global urgency to reduce GHG emissions and meet the Paris Agreement goal. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[a, e]",6,e2b75df77cb48cfed08b386f2655b7a1,"In support of the IPCC 6th AR, which indicates that large-scale reductions in GHG emissions are required to ensure that the Paris Agreement goal is still within reach, Sasol is grasping the window of opportunity that remains to act and contribute towards the global effort to achieve a Net Zero emissions ambition by 2050. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[p],7,f82b70d9e081f69d5977dcaca3f3802e,"To achieve Net Zero means transforming through the use of green hydrogen and sustainable carbon sources in large quantities. Today, Sasol Secunda Operations is the worlds largest producer of grey hydrogen from coal-based feedstocks. It is this hydrogen-production process that is responsible for around half our GHG emissions. If  we can source affordable gas soon, we will be able to reduce emissions without delay and lay the foundation for the use of green hydrogen, once we can replace grey with green hydrogen on an economic basis. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[a, e, j]",8,ef842cf1a4168e0c9f44b18ef811702b,We support the objectives of the Paris Agreement  We accept mainstream climate science assessed by the IPCC for net zero CO2  to be reached by 2050  We acknowledge that business has a role to play in addressing and managing the risks and uncertainties of climate change and  We also recognise the importance of adaptation and resilience to a changing climate. 
"South Africa_SASOL, 2021, Climate Change Report 2021","[a, e]",9,33c87bab85247df6df1f4697c25d049d,"Internationally recognised modelling approaches were used to inform a top-down view of expected reductions  Fair Share aligned with the Paris Agreement, Article 4.1. and is a science-based approach that assumes countries will act collectively for the common goal but tempered by national circumstances (ie developed countries will decarbonise at a faster rate to allow carbon space for developing countries to grow and transition). This was a useful tool to understand national target setting into the future and  Other science-based agnostic to national circumstances and targets are aligned with the science of climate change (IPCC 1,5 degree report). Assumes all countries and companies have equal responsibility and capability to decarbonise. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[d],9,5429787b68e2a93353a7893c3d673323,"Other science-based approaches, such as absolute contraction techniques were used. Varying rates of reductions were applied to assess expected reductions. Sectoral decarbonisation methodologies from the SBTi for both the Chemicals and Oil and Gas sectors were not available for use. In addition, two Fair Share models were assessed, Climate Action Tracker and Climate Equity Reference Calculator. These models provided national indicative trajectories based on factors, such as responsibility for historical emissions, economic development, per capita emissions, financial, technological and other capacity to reduce emissions. This work was supplemented by taking additional views on country NDC expectations which aided in benchmarking, given the significance of Sasol South Africas emissions. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[d],9,d129a0885bc1741f7d6df553607c70a4,"In this way, we determined the gap between science-based target reductions, mitigation potential and technology availability. Our targets therefore account for the availability and maturity of mitigation measures, reducing emissions in line with expectations and accelerating action to achieve more ambitious reductions by 2030 and net zero by 2050. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[d, k]",9,e2fe467bbc239d47c5b9bc9f58e6c103,"In addition to the GHG Protocol  Corporate Value Chain (Scope 3) Accounting and Reporting Standard, we used the 2020 latest guidance provided by the SBTi for scope 3 target setting. Key principles that helped shape our approach to manage our scope 3 emissions are  Scope 3 screening  companys must complete a scope 3 screening for all relevant categories to determine their significance (materiality)  Requirement to have a scope 3 target  (1) if emissions are greater than or equal to 40 of total emissions a target should be set, or (2) if fossil fuel products are being placed in the market, a target should be set for Category 11, irrespective of the percentage contribution to the total  Boundary  companies must set one or more emission reduction targets andor supplier or customer engagement targets that collectively cover at least 23 of total scope 3 emissions. Targets need not be set on all scope 3 categories  Timeframe  targets must cover a minimum of five years and companies are encouraged to develop plans for targets up to 2050 and  Type of target  intensity or absolute reduction targets, focusing on meaningful reductions. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[k, p, l, o]",11,178c410024ae629e62a16942c5171fcd,"Our priority in this process was to reduce scope 1, 2 and 3 (Category 11) emissions. Beyond 2030, we identified several actions to achieve our ambition. These include  Utilising large volumes of affordable green hydrogen  Utilising affordable and sustainable carbon feedstocks  Responsibly scaling down coal exports and transitioning to sustainable fuels  Deploying affordable carbon capture, utilisation and storage (CCUS) and  CDR offsets, including technology and nature-based sequestration. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[e],12,fddeaa2c96de7275f5c9dfeacb24a1ae,"The conversion process for green hydrogen to sustainable fuels and chemicals is termed PtX and is the most effective route for producing these products. Green hydrogen reduces GHG emissions, is highly efficient from a feedstock perspective and the PtX process can be scaled to meet global SAF market demand, which has a corresponding green hydrogen demand of up to 90 Mta by 2050 in a 1,5oC scenario. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[k, p]",14,d6f2964955dfcdbb934e083cb88a7947,"Our Energy Businesss most material scope 3 emissions are from the combustion of our energy products by our customers, once sold (Category 11). These products include export coal, oil, gas and liquid fuels. Reducing these emissions entail product-type changes and curtailment of existing production volumes. In addition, we are looking to grow new product lines associated with green hydrogen and sustainable carbon feedstocks, which we will then be able to substitute for fossil fuel products, materially growing in the next decade. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[b],15,1ae61304c59e6fb6042f718749a13adf,This agile approach is supported by conclusions presented by reputable organisations such as the IEA in its 2021 Net Zero 2050 report. 
"South Africa_SASOL, 2021, Climate Change Report 2021","[b, l, n]",15,8fd924691300b123a558e04f52bb196b,"SIGNPOSTS TO INFORM OUR CHOICE OF LEVERS Align GHG and environmental compliance through synergies Reduce coal demand Increase gas intake by 40  60 PJa Renewables up to 1 200 MW for Secunda3 Advancing energy and process efficiency Optimising asset and product portfolio with market demand Green hydrogen and sustainable carbon feedstocks Further reductions in coal Creation of new products streamsvalue pools CDRs, technology and nature-based solutions4 Electrification and renewables Additional gas and asset optimisation 2017 2019 20302026 2040 REDUCE TRANSFORM 1. Will be re-baselined for reporting in 2022. 2. 2019 baseline. 3. Renewables for the Secunda site, including Air Liquides portion. 2030 LEVERS LEVERS TO ACHIEVE NET ZERO Macro-trends, including price of gas and hydrogen, biomass availability, electric vehicle penetration and advancement of hydrogen mobility solutions Broad customer sentiment, including views on product premiums The worst case net zero scenario leaves  < 35 hard-to-abate residual scope 1, 2 and 3 (Category 11) emissions, which will require CDRs to neutralise and in a best case scenario the fossil-fuel-free vision materialises. Technology cost changes5 Regulation changes6 Scope 1 and 2 63,9 MtCOe1 Transitioning to Net Zero by 2050 Scope 3 35,6 MtCOe2 Reducing coal use and alternative feedstocksEfficiencies and low-carbon energy Low-carbon product slate and value pools Scope 1 and 2 44,7 MtCOe Scope 3 28,5 MtCOe SHIFT 4. Biological carbon sequestration, eg forestry projects, geological CCS and DAC. 5. Including support to others, own research and development of key technologies. 6. Including support to partners and an enabling policy environment. GHGs covered CO2, CH4 and N2O  The 2021 Net Zero IEA Roadmap for the energy sector highlights that more than 50 of the reductions will come from technologies yet to be developed and commercialised. Therefore, it is imperative that emissions are reduced at source in the short term, while action is taken to develop and mature future technologies. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[d, q]",16,1f55b542d7db6a39988df9dfc3c626c6,"For 2050, we assessed multiple possible pathways to Net Zero, including combinations of CCUS, green hydrogen, sustainable carbon feedstocks, large-scale renewable energy and decommissioning of value chains. The choice of pathway will depend on how technologies mature. Regardless of the choices made, Net Zero is still the end state. The preferred pathway for Sasol is large-scale green hydrogen and renewables. We developed fall-back approaches that look to natural gas with CCUS and offsets, and as a last resort, closure of unviable value chains (turndown), should technology options not materialise. Particularly in South Africa, levers are not at the requisite scale or commercialised. Sasol is playing an active role to unlock and commercialise some of these technology options. Leaning on guidance provided by the United Nations in its blueprint for setting a Net Zero ambition, we have detailed actions that demonstrate credibility and commitment to technology development to achieve Net Zero (see page 17). These include  Communication on the feasibility of identified technologies to achieve Net Zero  Communication on the uncertainty of future technology solutions and its development and  Clearly identifies short term milestones and deliverables   Addresses scope 1, 2 and 3 (Category 11) emissions  Does not rely on offsetting to meet targets well-vetted offsets could be considered if mitigation measures are unsuccessful  Not directly dependent on the independent actions of others to meet our targets and cost effective mitigation options have been prioritised  Clearly identifies short and medium term milestones and deliverables   Addresses scope 1, 2 and 3 (Category 11) emissions   Does not use AvoidanceReduction (AR)1 offsetting (see pages 27 - 28)  Plans include nature and technology-based CDRs to neutralise residual hard-to-abate emissions  Indicates and addresses technology maturity and uncertainty through proof points that demonstrate active involvement in encouraging technology development and economic viability  Assurance of the on-site reduction of emissions in line with Sasols GHG roadmap reduction calculation and reduction targets was undertaken by Deloitte  Touche. Using the International Standard on Assurance Engagements 3000 (Revised), the evaluation included the following  Understanding the control and reporting process and environment  Assessing the governance structure for the implementation of the roadmap  Assessing the methodology for suitability and appropriateness  Assessing the business strategy for the roadmap and  Assessing on-site projects necessary to achieve the roadmap. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[p],16,52512e9dfaf42062f524ba915135ab80,This independent study arrived at similar decarbonisation pathways utilising green hydrogen and transition gas for the petrochemical sector (ie Sasol). 
"South Africa_SASOL, 2021, Climate Change Report 2021","[n, p]",16,225e1f42d9385baff0890ddabcb12fa4,"For the petrochemical sector, the net zero pathway with least cost and minimal socioeconomic impacts was found to be a combination of green hydrogen, renewable energy and DAC. A turndown pathway was also assessed. However, the negative socio-economic impacts far outweighed the reduction benefit achieved by reaching net zero this way. We used this study and its findings to validate our internal roadmap development work and fossil-fuel-free vision. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[p],16,e089923d6a4559c8f41e375be980cecd,"IHS Markit concluded an independent fact-based study to test how green hydrogen feasibly supports South Africas transition to net zero by 2050. The analysis included Sasols operations and showed that multiple economic drivers modelled, support the progressive decarbonisation of our plants using green hydrogen. "
"South Africa_SASOL, 2021, Climate Change Report 2021",[e],24,d4741e6a81badbb038bc4a3c3248cbe8,"In light of prevailing uncertainties and complexities, it is difficult to accurately predict the global response to climate change. To inform our approach, we have undertaken rigorous modelling through plausible long-term scenarios to assess Future Sasols strategic imperatives, test robustness and inform potential responses to mitigate risks. This includes alignment with the 1,5C scenario and addressing associated physical risks. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[b, e]",24,2bdefb0bbc17d39a2db7f2e13be39ec2,"Annually, Sasol undertakes detailed analysis to develop a bottom-up view of the global energy landscape. This includes a full global value chain analysis from upstream supply to chemical feedstock production, and chemicals and fuels market demand, such as customer preferences, buying patterns and industry plant utilisation. From this analysis, we determine price sets for coal, oil, refined products, gas and chemicals, to name a few. These are key inputs used in our scenario process. In 2021, Sasol revised our previous scenarios, considering new developments in the global landscape. Three almost new scenarios were constructed, which we named the Current Pathway, Cooperative World and Accelerating to 1,5C. The updated scenarios are much more challenging than the previous year and are not comparable to last years assessment. Changes made to our current scenarios include  transformed and new industry structures, such as electric vehicles and related infrastructure, solar and wind power and hydrogen economy developments and  new refineries with higher chemical yield. We considered various sources including the 2020 IEA Sustainable Development Scenario (SDS)1, supplemented by other 1,5C-type scenarios to develop our Accelerating to 1,5C scenario. The future is uncertain and there are still many unknowns in terms of technology availability and readiness, adoption rates, affordability and government and personal priorities. Our scenarios are therefore regularly reviewed and updated as required. "
"South Africa_SASOL, 2021, Climate Change Report 2021","[e, p]",24,017562e4f0ee3d555f29a49896c9c14a,"Given the vulnerabilities of the Energy Business to shifts in micro- and macro-trends, we also spent time building scenario views of the local context - how industry sectors could be impacted and what new sectors could emerge. This was particularly important for our FT sustainable solutions business and development of the green hydrogen economy. Importantly, the Accelerating to 1,5C scenario, as highlighted above, is aspirational. It was developed taking an endpoint of 1,5C as the basis and working it back to today. "
