File,Codes,Page,ID,Text
"South Africa_exxaro, 2020, climate change position statement",[f],1,e3649354a91c6a0dfc414eb91ca24238,We are committed to supporting a smooth and just energy transition to the low-carbon economy and a world that will see less than a 2C increase in global warming by 2100. 
"South Africa_exxaro, 2020, climate change position statement","[a, e]",2,72349c2e8ccea064c0ba7a54b0a0636b,"Reversing this trend and halting temperature increases to below 2C will be challenging but not impossible. The United Nations (UN) IPCC 1.5C Special Report states that limiting warming to 1.5C implies reaching net-zero CO2 emissions globally around 2050 and concurrent deep reductions in emissions of non-CO2 gases, mainly methane (CH4). "
"South Africa_exxaro, 2020, climate change position statement",[e],2,294308f97b79d4b6affa59e83895a01b,We believe a Just Transition solution to a low-carbon future should inform global  climate action and binding agreements 	 The Paris Agreement aims to limit warming to well below 2C above pre-industrial levels and to pursue efforts to limit the temperature increase to 1.5C. This is a significant milestone to ensure collective  action for the mitigation of climate change impacts. 
"South Africa_exxaro, 2020, climate change position statement","[a, e]",2,64c6bee05b1e3993d9eae728e3f215eb,"We believe that the impacts of climate change present a serious challenge to society, our mining communities and operations. Urgent action is required to mitigate the local and global impacts of climate change. Therefore, we fully support the IPCCs scientific findings and the objectives of the 2015 Paris Agreement of reducing GHGs and the development of sustainable mitigation and adaptation measures for vulnerable communities. "
"South Africa_exxaro, 2020, climate change position statement",[f],2,2734f635dc3100a54bfa07febfe8371a,"While the share of coal in the global energy mix is expected to decline in the medium to longer-term, it is likely to remain a significant source of affordable electricity generation for our economy for decades to come. The  South African Integrated Resource Plan 2019 (IRP-2019) indicates that the share of coal in the energy mix will remain at 50 by 2030. As one of the major suppliers of this coal in South Africa, we are committed to playing our part in creating a just energy transition to a world that will attain less than 2C of global warming by 2100. "
"South Africa_exxaro, 2020, climate change position statement",[e],3,05a8f9bf09e95a48a5632e38ad0d713b,We support global action to address climate change  The 2015 Paris Agreement objective aims to halt the increase in the global average temperature by 2100 to well below 2C above preindustrial levels and to pursue efforts to limit this to 1.5C. 
"South Africa_exxaro, 2020, climate change position statement","[a, e]",3,d707b3f492873d68c82562a82947ebe1,"In a landmark report on global warming released in October 2018, the UN IPCC stated that urgent and unprecedented changes are needed to stop global temperatures from rising by over 1.5C by 2100. While this will be challenging to attain, the report states that it is still possible. "
"South Africa_exxaro, 2020, climate change position statement",[e],3,cc7c9183e2c36f52018226fc86addc5c,"It highlights that global emissions were roughly 52 gigatonnes (Gt) (billion tonnes)  CO2 equivalent (CO2e) in 2016 and are projected to be 52-58 Gt CO2e by 2030. To limit warming to 1.5C and then to zero by 2050, GHG emissions need to be 25-30 Gt CO2e per year on average. "
"South Africa_exxaro, 2020, climate change position statement","[a, e]",3,801ef923f94f7a78243f935e0e728232,"Making this shift will require substantial investments in low-carbon technologies and energy efficiency. The IPCC report stipulates that if the 1.5C goal is to be  met, investments in low-carbon energy technology and energy efficiency must increase by a factor of five by 2050 compared to 2015 levels. "
"South Africa_exxaro, 2020, climate change position statement","[e, f]",3,f43a621a11a4fbf6008a469b7b2c7481,"Emissions and expected warming based on pledges and current policies  Source Climate Action Tracker, 2020 Global GHG emissions (GtCO2 eyear) 200 150 100 50 0 -50 YEAR Warming projected by 2100 Baseline 4.1  4.8C Current policies 2.8  3.2C Optimistic policies 2.8C Pledges  Targets 2.5  2.8C 2C consistent 1.6  1.7C 1.5C consistent 1.3C199020002010202020302040205020602070208020902100 Historical  The Micro-Grid project is a renewable energy project which is part of Exxaros Tshikondeni Legacy Project, which aims to leave a positive legacy and stimulate benefits for the affected communities after operations at the Tshikondeni mine ceased. Exxaro Climate Change Report 2020  5  The Paris Agreement requires virtually every country to reduce its GHGs and to set out, on a five-year basis, its plans to avert climate change. It is the worlds first comprehensive climate change agreement. "
"South Africa_exxaro, 2020, climate change position statement",[e],4,7e49a557ab6e9587220761b1fa549454,The Paris Agreement has a long-term goal of achieving net-zero emissions by the second half of this century. It outlines an obligation known as the Global Stocktake for parties to the Agreement to assess progress toward the purpose and goals of the Agreement every five years. The Global Stocktake will shape the Nationally Determined Contributions (NDCs) that countries submit as part of their efforts to support the net-zero emissions target. 
"South Africa_exxaro, 2020, climate change position statement",[e],4,702165f0383feccf1eb6fdec4287b63d,"As a signatory to the Paris Agreement, South Africas NDC long-term emission target is consistent with its long-term goal that follows a peak-plateau-decline  (PPD) trajectory. South Africas NDC absolute emission target levels are in the range of 398614 megatonnes CO2 equivalent (MtCO2e)  including Land use, Land-use change and Forestry (LULUCF)  over the period 20252030. "
"South Africa_exxaro, 2020, climate change position statement",[f],4,b7a9f51bf47f1b8c6a58ab60fc193f18,"Several organisations have produced forecasts and scenarios with global carbon prices required to limit the global temperature rise this century to 2C above pre-industrial levels. For 2030, this number is approximately US50  tCO2e and US100tCO2e in 2040. The South African first phase (2020 2023) of the carbon tax is at US8tCO2e and sentiment is that this will increase in subsequent phases to between US12  50tCO2e. The increase in the carbon tax will increase operational costs and the expectation is that suppliers will pass through their carbon tax liabilities downstream. "
