File,Codes,Page,ID,Text
"Switzerland_Glencore, 2022, Climate Report",[e],3,c5b43cdebf883700f93913f03c89842f,"Continued alignment of our material capital expenditure and investments with the goals of the Paris Agreement and our own climate commitments. In 2022, around 75 of our capital expenditure was on sustaining and expanding our metals operations, with 25 used to our energy portfolio as it is responsibly managed down over time. "
"Switzerland_Glencore, 2022, Climate Report",[p],3,ec0058ee23decae1e075db55dba70ae7,"Continued to progress our wholly-owned Carbon Transport and Storage Company (CTSCo) Project, which aims to demonstrate carbon capture from a power station and the sustainable storage of the captured CO2 in the Surat Basin in Queensland, Australia.  Studying the potential use of a relatively small portion of the Wandoan coal resource (up to 4 million tonnes per annum) as a feedstock to produce blue hydrogen and ammonia, with the intention to capture approximately 90 of CO2e emissions from this process and permanently store them deep underground using CCS technology. "
"Switzerland_Glencore, 2022, Climate Report","[a, e]",7,97b63f6886210a7c6f627c846173fcd3,"We recognise climate change science as set out by the United Nations Intergovernmental Panel on Climate Change (IPCC). We support the global climate change goals outlined in the United Nations Framework Convention on Climate Change (UNFCCC) and the Paris Agreement, the ultimate objective of which is to stabilise GHG concentrations at a level that would significantly reduce the risks and impacts of climate change. Under the Paris Agreement (Article 2, UNFCCC), this is described as keeping the increase in the global average temperature to well below 2C above pre-industrial levels and pursuing efforts to limit the temperature increase to 1.5C above pre-industrial levels. "
"Switzerland_Glencore, 2022, Climate Report",[e],7,1964fa9fc10e0fa88865b6a058d5006b,"We draw from this principle that the global response to climate change should pursue twin objectives limiting temperatures in line with the goals of the Paris Agreement (Article 2(1)(a)), and supporting the United Nations Sustainable Development Goals, including sustained, inclusive and sustainable economic growth, and universal access to clean, affordable energy. "
"Switzerland_Glencore, 2022, Climate Report",[d],9,c30ad3f8ecea0b953da6471b8751c5ca,"We have committed to report annually on progress with our targets and ambition. We obtain external verification on our performance for specific key performance indicators (KPIs), and report in alignment with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD). "
"Switzerland_Glencore, 2022, Climate Report",[d],9,34b8453ff6b72996ab95911486977879,"Glencore does not have a science-based target as defined by the Science Based Targets Initiative (SBTi). The SBTi methodologies are not applicable for diversified commodity companies as they rely on intensity measures that are too complex to be applied to diversified, cross commodity companies. "
"Switzerland_Glencore, 2022, Climate Report","[a, b, k]",10,7789986374ec5051ab9a5b64e51d3262,"Sum of Scope 3 emissions reported in categories 1, 3c, 4, 10, 11 and 15  Emissions (NZE) 1.5-degree CO2 emission pathways and the IPCCs Special Report on Global Warming of 1.5 C (SR1.5)s no or limited overshoot 1.5 degrees CO2 emissions pathway  The change in CO2e emissions, illustrated by the graph, demonstrates the percentage changes in global CO2 emissions from fossil fuel combustion and industrial processes since 2010 and through 2022, based on data reported by the IEA. "
"Switzerland_Glencore, 2022, Climate Report","[a, b]",11,56131df4d07147554f747b393954db8d,"Future changes in CO2 emissions based on the IEAs 2022 World Energy Outlook NZE scenario8 are shown for both the gross and net emissions pathways, with the difference reflecting the volume of CO2 the IEA indicates is required to be captured or removed from industrial processes and stored permanently. For comparison, the IPCCs Special Report on Global Warming of 1.5 C (SR1.5), no or limited overshoot 1.5 degrees CO2 emissions pathway is also shown the last included data emissions point was 2017. There is some correlation between the IEA and IPCC emissions levels in 2035, however, due to increased global emissions since 2017, the IEAs latest NZE pathway requires reduced emissions beyond 2035 to balance the carbon budget. "
"Switzerland_Glencore, 2022, Climate Report",[b],11,062ab9888604f784c16d9892191a5735,Glencore set its emissions reduction targets and ambition in 2020 against a 2019 baseline9. The graphic illustrates our targets and ambition. Our 2026 target coincides with the IEAs NZE gross pathway and our 2035 target of a 50 reduction in our emissions based on a 2019 baseline approximates the 53 reduction (versus 2019) estimated by the IEAs NZE gross emissions pathway. 
"Switzerland_Glencore, 2022, Climate Report",[b],11,082ab852613649626bce326a9935792c,"8  IEAs 2022 World Energy Outlook NZE scenario This is one of the three scenarios which the International Energy Agency explores in the 2022 World Energy Outlook. The Net Zero Emissions by 2050 (NZE) Scenario maps out a way to achieve a 1.5oC stabilisation in the rise in global average temperatures, alongside universal access to modern energy by 2030 whereas the Stated Policies Scenario (STEPS) shows the trajectory implied by todays policy settings, and the Announced Pledges Scenario (APS) assumes that all aspirational targets announced by governments are met on time and in full, including their long- term net zero and energy access goals. International Energy Agency An updated roadmap to Net Zero Emissions by 2050 World Energy Outlook 2022 available at httpswww.iea.orgreports world-energy-outlook-2022an-updated-roadmap-to-net-zero-emissions-by-2050  9  For 2022, we have implemented a change in our organisational boundaries, and made other acquisitions and divestments, which are reflected in our updated baseline emissions. For further details, refer to the Boundaries and scope section in the About this report section. "
"Switzerland_Glencore, 2022, Climate Report","[a, b, e]",11,4147b9220ab58dffc8f78ca33ac48866,"2050204820462044204220402038203620342032203020282026202420222020201820162014201220100 40 60 60 80 100 120 Glencore Baseline Glencore Glencore Glencore 2019 15 reduction 50 reduction NZE ambition CO2 capture  removal NetIEA2022NZE1.5oC GrossIEA2022NZE1.5oC IPCC SR1.5 noltd overshoot gross IEA NZE Gross IEA NZE Net Global CO2 Glencore Targets  Glencores targets reflect the restated 2019 baseline and unchanged reduction targets and ambition  The IEAs global CO2 emissions data is as reported in the relevant World Energy Outlook publications and includes emissions from industrial processes and flaring  In March 2023 the IEA reported global CO2 emissions increased by 321Mt in 2022 vs 2021  The IEAs NZE emissions scenario was published in their flagship World Energy Outlook 2022 report during October 2022 with data provided at five-year intervals from 20305. For illustration purposes the graphic is presented with linear interpolation between data points, with the IEAs most recent reported value being that for 2022  The IPCCs SR1.5 publication in Table 2.4 provides emissions estimates in 2030 and 2050 for CO2 from fossil fuels and industry (gross). The graphic reflects the mean values with linear interpolation between values commencing 2017 which was the last reported value cited in the report. "
"Switzerland_Glencore, 2022, Climate Report",[b],22,5cb40733dfbd08aeaaadd82d0b7b97e5,"We operate successfully in multiple jurisdictions that have direct and indirect carbon pricing or regulations. During 2022, we used actual carbon prices, and carbon prices consistent with the IEAs NZE 2021 scenario (as the scenario available at the time of our planning process) to assess the likelihood and impact  of rising carbon price13 . "
"Switzerland_Glencore, 2022, Climate Report",[a],22,68e4ab5bd94314763daa8a9a299d9230,"12   Measure of the exclusive total amount of emissions of CO2 that is directly and indirectly caused by an activity or accumulated over the life stages of a product (IPCC, 2018 Annex I Glossary (Matthews, J.B.R. (ed.)). In Global Warming of 1.5C. An IPCC Special Report on the impacts of global warming of 1.5C above preindustrial levels and related global GHG emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty). "
"Switzerland_Glencore, 2022, Climate Report",[e],23,781d9a94c25b7b558f7cb3f5f2f6b814,"Our approach strives to ensure that we identify, understand and monitor our emissions and climate change issues, to meet international best practice standards, ensure regulatory compliance and meet our commitments that support the goals of the Paris Agreement (Article 2). "
"Switzerland_Glencore, 2022, Climate Report","[a, i]",25,f792bd83db6d862852d18ef5cae79c1d,"Our Environment Standard requires our industrial assets to establish water baseline assessments and to evaluate both the asset and catchment context. This evaluation includes considering aspects relating to sustainable and healthy ecosystem functioning and the needs of other stakeholders within the catchment, such as nearby farmers and communities. Our Environment Standard also requires our industrial assets to consider climate-related risks and opportunities using climatic modelling provided by the IPCC when assessing water-related risks, assessing current and future projected climatic variability within the catchment area and the impact on shared water resources, water quality and supply, and operational requirements. Industrial assets then develop a catchment context-based water management plan and where risks are identified  primarily related to extreme flooding or increased droughts  industrial assets are required to undertake relevant engineering works, including, for instance, berms and spillways, as well as an assessment of planned production and water-related impacts. "
"Switzerland_Glencore, 2022, Climate Report",[e],27,8b86c12a7842bd3718a47dc1df16b76e,"5. Supporting uptake and integration of abatement  Abatement is an essential contributor to achieving low or net zero carbon objectives  In order to achieve our emissions reduction targets and ambition, as well as adapt to emerging pricing mechanisms, we recognise the importance of abatement mechanisms such as Carbon Capture, Utilisation and Storage (CCUS) to achieve the goals of the Paris Agreementt. Development and deployment of these mechanisms requires collective action we are supporting these efforts directly and through policy advocacy. "
"Switzerland_Glencore, 2022, Climate Report","[a, b]",34,6b7eb8964d35be30ac6e793bb4c6aaac,"In 2022, the IPCC presented its sixth assessment report (AR6)15 and the IEA updated its NZE scenario16 to take into account the actions taken globally in the intervening period from their prior reports and updated data availability reflecting the status of global energy demand and emissions. The IEA scenarios show coals use in advanced economies declining more rapidly, while the rate of coal use decline in developing economies, particularly in the Asia Pacific, is considerably slower. "
"Switzerland_Glencore, 2022, Climate Report","[a, b]",34,c1d3be02c00f1171a95da63c67d13ae8,"However, as illustrated by the IEAs WEO 2022 scenarios in the charts, each of the energy and climate scenarios show a continued role for abated thermal coal for electricity generation in 2050, with the rate of decline subject to the scale of investment into renewable energy supplies17. The IPCCs AR6 C1 scenario shows all primary energy from coal in 2050 is abated, while the IEA NZE scenario shows thermal coal use for power generation is all abated from 2040 and unabated coal will only be used in industrial processes by 2050. "
"Switzerland_Glencore, 2022, Climate Report","[a, b, e]",34,e543ba17f98d1174e8d1820321ffe867,"We are committed to managing a decline of our coal business to meet our targets and thereby pursue the twin objectives that we draw from the Paris Agreement. We have  not committed to doing so in line with a particular scenario or pathway, due to the uncertainty inherent in global efforts to progress toward the energy transition. Scenarios are not forecasts of future demand and therefore the scenarios developed by the IPCC and IEA are one of several inputs into our climate strategy and are not in-and-of themselves determinative of our strategy. "
"Switzerland_Glencore, 2022, Climate Report","[b, l]",34,595c18a3e31df462331dd224a5e4535e,"For instance, if the world is unable to deliver sufficient renewable energy and CCS 1. capacity within the relevant timeframe, we  foresee a potential role for unabated thermal coal for electricity generation beyond 2040. Therefore, and in support of our strategy of a managed decline of our global coal portfolio, we are developing our own approach to abatement beyond 2040, which may include using offsets, as well as CCS18. We acknowledge that this does not directly align with the IEA Net Zero 2040 phase-out of unabated thermal coal for electricity generation. "
