File,Codes,Page,ID,Text
"Switzerland_Glencore, 2024 Climate Action Transition Plan",[k],2,933f8cd76454874de6fda2c68430636c,"Scope 3 emissions associated with third-party volumes traded by our marketing business are not included in our emissions reporting and targets because, in our view, by trading in the third party volumes, our activities do not generate additional Scope 3 emissions which in the ordinary course are associated with the transformation or use of the product by third parties. The trading of these volumes may give rise to additional emissions associated with the transportation and handling of these products and these emissions have been included in our CATP insofar as the third-party transport is paid for and organised by our marketing business. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan",[b],3,1a3c03f4578967d7359cdf297df13138,"Our 2024-2026 CATP reflects a wide range of inputs, including analysis of the evolving market landscape, new regulatory requirements, mining and energy peer approaches, the IEAs latest modelling, stakeholder inputs, and emerging insights from the most recent UNFCCC dialogue. We have also undertaken extensive engagement with our shareholders and appreciate their time and support as we have developed this CATP. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan",[e],5,ccb68d3671408766acc40ab654f5c6ab,"We recycle key commodities to support the circular economy  The products we produce and market play an essential role in modern life  Exploration, acquisition and development Our focus on brownfield sites and exploration close to existing assets lowers our risk profile and lets us use existing infrastructure, realise synergies and control costs Marketing  business Industrial  business As a global producer  and marketer of commodities, we are diversified by geography, products and activities. Integrating our marketing and industrial business sets us apart from most of our competitors in creating an enhanced entrepreneurial focus on  value generation  We mine and beneficiate minerals across a range of commodities, mining techniques and countries, for processing or refining at our own facilities, or for sale  Our expertise and technological advancement in processing and refining mean we can optimise our end products to suit a wider customer base and provide security of supply as well as valuable market knowledge  Our logistics assets and capabilities allow us to handle large volumes of commodities, both to fulfil our obligations and to take advantage of demand and supply imbalances. These value-added services make us a preferred counterparty for customers without such capabilities  Our ability to blend and optimise allows us to offer a wide range of product specifications, resulting in an ability to meet our customer-specific requirements and provide a high-quality service  We support the goals of the Paris Agreement (Article 2, Paris Agreement) to limit the increase in the global average temperature to well below 2C above pre-industrial levels and pursue efforts to limit the temperature increase to 1.5C above pre-industrial levels. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan","[e, l]",6,4ee57c4561e5dee918ba885371f4c1b9,"Read more about our decarbonisation plans here (<>)Managing our operational footprint  Finally, for the world to reach the goals of the Paris Agreement, we believe carbon markets will be an essential component, with both governments and companies needing to leverage well-functioning carbon markets to support their decarbonisation efforts in the long term. We are preparing for this by continuing to strengthen our capabilities, including our carbon, power and biofuels trading desk that supports both our customers and our own business. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan","[e, l]",7,63e95ee4aa3f449b07f533e63d7168d3,"We have identified our route to achieving our targets and ambition, and are on track to meet our 2026, 2030 and 2035 decarbonisation targets. Beyond our targets, we support the use of carbon credits to achieve the goals of the Paris Agreement and are preparing our capabilities accordingly. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan","[a, b, e]",8,613dabc24325bcd4b04332fc756785ce,"Read more about our plans to support these goals here(<>) External engagement  We acknowledge there are various views on the pathway (and energy mix) required to achieve the goals of the Paris Agreement. The scenarios developed by the IPCC and IEA are amongst several inputs into our climate strategy. We do not seek to align to any particular pathway or scenario but continue to monitor and compare our targets to a range of scenarios as they are updated each year see the Change in fossil fuel and coal CO2e emissions graph, opposite. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan",[b],8,9bc9a897dd724eabcd50f3e48ab7ef63,"Our 2026, 2030 and 2035 targets are currently ahead of both national governments stated policies and announced pledges for the same years (as modelled in IEA Stated Policies Scenario (SPS) and APS scenarios). Our targets are not aligned with the IEA NZE scenario, an increasingly unrealistic scenario due to the extent to which policy, technology and investment are lagging this pathway. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan","[b, e]",8,5646db9530e1c97c0f25660eee7f8b44,"Amongst the various relevant scenarios, we recognise the IEA Announced Pledges Scenario as a real-world starting point from which to work towards a supportive policy environment in our net zero ambition. As noted by the IEA, enabling the APS scenario requires implementation of policy, increased financing and substantial further development to progress towards a net zero outcome. The IEA has acknowledged the progression of policy and availability of financing is lagging the APS and this is reflected in the Delayed Action Case (DAC)1, which recognises the potential for delayed implementation of announced pledges and shows how emissions reductions can be bridged to align with 1.5oC by 2100 with stronger policy and implementation post 2030. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan","[b, e]",8,bb0e060a639f79c4a8b384fa74d9f221,"1. (<httpswww.iea.orgreportsnet-zero-roadmap-a-global-pathway-to-keep-the-150c-goal-in-reach>)IEA (2023), Net Zero Roadmap A Global Pathway to Keep the 1.5 C Goal in Reach, IEA, Paris httpswww.iea.orgreportsnet-zero-roadmap-a-global-pathway-to-keep-the-150c-goal-in-reach, License CC BY 4.0  205020482046204420422040203820362034203220302028202620242022202020182016201420122010 CO2 capture  removal NetIEA2023NZE1.5oC GrossIEA2022NZE1.5oC Net IEA 2023 DAC 1.5oC NetIEA2023SPS2.4oC NetIEA2023APS1.7oC restated 2019 baseline 15 reduction 25 reduction 50 reduction NZE ambition Glencore Glencore Glencore Glencore Glencore IEA Global CO2 IPCC SR15 noltd overshoot gross (mid) IEA 2023 SPS Net 2.4C IEA 2023 DAC Net 1.5C IEA NZE 2023 Net 1.5C IEA NZE 2023 Gross 1.5C IEA APS 2023 Net Coal CO2 IEA NZE 2023 Net Coal CO2IEA 2023 APS Net 1.7C 0 20 40 60 80 100 120  Stated Policies Scenario (SPS) Current policy landscape. Explores how the energy system and global emissions will evolve based on the current policy settings. SPS does not assume the aspirational or economy-wide targets are met unless they are supported with detail on how they will be achieved. SPS has been assessed as being consistent with global temperatures rising on average by 2.5C by 2100. "
"Switzerland_Glencore, 2024 Climate Action Transition Plan","[b, e, f]",8,53f00a0d06aba0e1cca09d9fa627a42d,"Announced Pledges Scenario (APS) Intended policy direction of governments. The APS gives governments the benefit of the doubt and assumes their targets will be achieved on time and in full, whether they relate to climate change, energy systems or national pledges in other areas such as energy access. Trends in this scenario reveal the extent of the worlds collective ambition, as it stands today, to tackle climate change and meet other sustainable development goals. This scenario recognises the commitments of China (net zero 2060) and India (net zero 2070) and the updated nationally determined contributions. This requires accelerated adoption of renewables delivering global net zero emissions in 2070 and limiting the rise of global temperatures to 1.7C by 2100. This gets close to achieving the goal of the Paris Agreement to limit the temperature rise to well below 2C, and it marks the first time that collective government targets and pledges have been sufficient, if delivered in full and on time, to hold global warming to below 2C. "
