File,Code,Text
"Switzerland_Holcim, 2023, climate report 2023",[Paris],"['Cities are where more than half of us live, and where 80 percent of greenhouse gas emissions occur. With the building sector at the backbone of urbanization, Holcim is playing a central role in creating a future that works for people and the planet. ', 'Taking a rigorous science-driven approach, Holcim is accelerating the shift to circular cities. In this decade of action to 2030, we are executing our net-zero 1.5°Caligned targets with speed and scale to decarbonize building across its lifecycle. ', 'In 2023, we made progress across all our decarbonization targets, reducing CO2 per net sales by 20 percent. Region Europe even launched our industry’s most ambitious targets, to reach 285 kg CO2 net per ton of cementitious by 2030, a 45 percent reduction versus 2020. ']"
"Switzerland_Holcim, 2023, climate report 2023",[Paris],"['“Europe offers the most advanced regulatory environment in the world to accelerate the transition to net zero, from the EU green deal to carbon pricing.” ', 'MAKING PROGRESS ACROSS ALL DECARBONIZATION LEVERS ', 'TONS OF CONSTRUCTION DEMOLITION MATERIALS RECYCLED ', 'Signatory since 2017 with aligned reporting First in sector with SBTi-validated net-zero targets Piloting science-based targets for nature Taskforce member and early adopter ', '2025 IMPACT 25% 10M 500M 40% 2%–4% BY 2030 5M Tons of CO2 captured each year in Europe using CCUS AMBITIONS FOR A 1.5°C FUTURE 2BN Investment in CCUS CHF 8M Tons of net-zero cement per annum ']"
"Switzerland_Holcim, 2023, climate report 2023","[Paris, Scope3]","['At Holcim, we take a science-driven approach to becoming a net-zero company. In 2023, we made strong progress towards our targets, which are in line with the 1.5°C framework. ', 'With climate action at the core of Holcim’s strategy, we have 2030 and 2050 net-zero targets in line with the 1.5°C framework validated by the Science Based Targets initiative (SBTi) for all three scopes. ', 'Holcim’s approach towards accelerating climate action while enabling a Just Transition and climate adaptation are described in our Climate Policy. The main principle of our policy is the delivery of our actions in a rigorous, science-based manner, to execute our net-zero journey. We comply with local, state, federal and national regulations in all our operations and advocate for collective actions with relevant stakeholders. ']"
"Switzerland_Holcim, 2023, climate report 2023",[Scope3],"['Read more about climate- and nature-related risks and opportunities on page (<>)64 ', 'We have further updated our 2030 and 2050 targets by: ', ' Upgrading our combined Scope 1 & 2 2030 targets to meet the latest SBTi validation criteria ', ' Extending our 2050 target coverage to include all 15 categories of Scope 3 emissions ']"
"Switzerland_Holcim, 2023, climate report 2023",Paris,"['FOR YEARS, HOLCIM HAS BEEN AT THE FOREFRONT OF CLIMATE ACTION: In 2020, Holcim was the first global building solutions company to sign the United Nations Global Compact’s ‘Business Ambition for 1.5°C’ initiative, with intermediate 2030 targets approved by SBTi. In 2021, Holcim was first in its sector with SBTi-validated 2030 and 2050 net-zero targets. In 2022, we upgraded our 2030 targets to align with our sector’s new 1.5°C science-based framework. In 2020, we launched ECOPact concrete, and followed that in 2021 with the launch of ECOPlanet cement, to offer the broadest range of low-carbon solutions. In 2023, Holcim was selected for funding from the European Union (EU) Innovation Fund for six of its breakthrough carbon capture, utilization and storage (CCUS) projects in Germany, Poland, Greece, France, Croatia and Belgium. Holcim committed to producing eight million tons of fully decarbonized cement per annum by 2030, thanks to the six CCUS projects in Europe that are planned to go live before 2030. One of the projects, Lägerdorf in Germany, won two awards at COP28. 2020 20232021 / 2022 20232020 / 2021 ']"
"Switzerland_Holcim, 2023, climate report 2023",[Scope3],"['Holcim commits to reaching net-zero greenhouse gas emissions (GHG) across the value chain by 2050. ', 'Holcim commits to reduce gross Scope 1 and 2 GHG emissions by 26.2 percent per ton of cementitious materials by 2030 from a 2018 base year.1 This is equivalent to a 25 percent reduction in absolute emissions within the same timeframe. ', 'By 2030, Holcim commits to reduce gross Scope 3 GHG emissions per ton of purchased clinker and cement by 25.1 percent, from a 2020 base year. ', 'In addition, Holcim commits to reduce Scope 3 GHG emissions from fuel and energy-related activities by 20 percent per ton of purchased fuels and Scope 3 GHG emissions from downstream transport and distribution by 24.3 percent per ton of materials transported by 2030.2 ']"
"Switzerland_Holcim, 2023, climate report 2023",[Scope3],"['Holcim commits to reduce Scope 1 and Scope 2 GHG emissions by 95 percent per ton of cementitious materials by 2050 from a 2018 base year.1 Holcim commits to reduce absolute Scope 3 GHG emissions 90 percent by 2050 from a 2020 base year.3 ', 'With these upgraded targets, we have confirmed our commitment to decarbonize building following the most advanced science. ', 'Leveraging our rigorous science-driven approach from climate to nature, Holcim was selected as one of only 17 companies to pilot our world’s first science-based targets for nature. This builds on Holcim’s industry-first measurable approach to nature, developed with the International Union for Conservation of Nature (IUCN), the Biodiversity Indicator Reporting System (BIRS), to enable a nature-positive future.   ']"
"Switzerland_Holcim, 2023, climate report 2023","[Scenario, Scope3]","['Read more on page 125 in the (<https://www.holcim.com/sites/holcim/files/2024-02/28022024-finance-holcim-fy-2023-report-full-en.pdf>)2023 Integrated Annual Report ', '1 The target boundary includes land-related emissions and removals from bioenergy feedstocks ', '2 These targets were validated by SBTi in alignment with a 2°C scenario ', '3 Target boundary includes 95 percent of Scope 1 and 2 emissions and 90 percent of Scope 3 emissions, per SBTi standard ', '4 Equivalent to the SBTi validated combined Scope 1 and 2 ambition of -26.2 percent ', 'Holcim is committed to reducing its carbon footprint across its operations and value chain (Scopes 1, 2 and 3), to become a net-zero company by 2050. ']"
"Switzerland_Holcim, 2023, climate report 2023",[Scope3],"['Scope 1 emissions account for 59 percent of our footprint and are at the core of our emissions reduction strategy. Scope 1 includes all emissions released directly from our operations. Most come from cement production. Thirty-nine percent of our emissions are generated by the raw materials we use to produce clinker. Fuel combustion necessary to heat cement kilns is another significant emissions source. A small share of Scope 1 emissions come from Solutions & Products, Aggregates and Ready-mix operations. ', 'Scope 2 emissions account for four percent of our carbon footprint. Scope 2 includes indirect emissions from the generation of purchased electricity consumed in the company’s owned or controlled equipment. ', 'Scope 3 emissions account for 37 percent of our carbon footprint. Scope 3 includes all other indirect emissions generated in our value chain, such as for transportation and the extraction and production of purchased materials and fuels. Scope 3 also includes direct emissions from non-consolidated companies and investments. ']"
"Switzerland_Holcim, 2023, climate report 2023","[Scope3, Offset]","['For more on our Scope 3 emissions, see page (<>)22 ', 'Our pathway to 2030 and 2050 is clear. To reach our Scope 1 and Scope 2 commitments, we will reduce our clinker factor, use alternative fuels and raw materials, and increase our use of renewable energy. We will invest in proven technologies that produce positive returns. ', 'We will scale up breakthrough technologies such as Carbon Capture, Utilization and Storage (CCUS), which will make an increased contribution in terms of reaching our targets post 2030. Our pathway to net zero does not rely on offsets. ', 'Leveraging smart design and low-carbon formulation of concrete, as an increased focus on upfront carbon per m2 moves the market to more carbon-efficient construction ', 'Increasing the share of decarbonized electricity by leveraging power purchase agreements and onsite renewable electricity, together with decarbonization of the electrical grid ', 'Replacing clinker in our final cement products with mineral components, ']"
