File,Code,Text
"Switzerland_Nestle, 2020, net zero roadmap",[Paris],"['At the other end of the value chain, we look forward to working with our customers to shape their offering and with our consumers to encourage more sustainable purchasing and consumption. We need action from governments and regulators to create clear and fair rules for companies to make progress. ', 'But Nestlé must first lead by example. It is only by taking tangible actions that we can convince others to do the same. And it is only together that we can make a positive difference. ', 'Solving the problem means identifying the problem. We found Nestlé emitted 92 million tonnes of greenhouse gas emissions in 2018*. Now we know the extent, we know the road ahead. ', '*Total GHG emissions were 113 million tonnes (CO2 equivalent) in 2018, 92 of which are in scope of our UN 1.5°C pledge. ']"
"Switzerland_Nestle, 2020, net zero roadmap",[Offset],"['Advanced agricultural techniques will deliver a regenerative food system at scale, supported by zero emission logistics and company operations. We will balance any remaining emissions through high-quality natural climate solutions that benefit people and the planet. ', 'By 2025, we will reduce our emissions by 20% By 2030, we will reduce our emissions by 50% 20302025 By 2050, we will reach net zero 2050 ', 'We take a whole life cycle approach to determining the carbon footprint of our products. It is a process that involves working with many others, such as farmers, logistics providers and consumers. To achieve net zero GHG emissions by 2050, we need to act throughout our value chain. ']"
"Switzerland_Nestle, 2020, net zero roadmap",[Scope3],"['UPSTREAM Product emissions from farm to fork DOWNSTREAM Suppliers to Nestlé Nestlé operations Customers, consumers and end of life Agriculture Sourcing high-quality ingredients from suppliers, co-operatives and direct from farmers. Raw material suppliers Sourcing materials and ingredients and transporting them to Nestlé. Manufacturing Making products. Packaging Packaging our manufactured products. Logistics Storing and delivering our products around the world. Retail and business channels Offering and selling products to shoppers in stores. Consumers Our consumers enjoying Nestlé’s products wherever they are. End of life For products and packaging. ', 'Nestlé’s total GHG emissions by Scope million tonnes of CO2e, in 2018 ']"
"Switzerland_Nestle, 2020, net zero roadmap",[Scope3],"['Emissions from our direct operations, known as Scope 1 and Scope 2, accounted for just 5% of our GHG emissions. The vast majority of our GHG emissions (95%) come from activities in our supply chain. As a result, that is where we focus most of our efforts. ', 'from sources we own or control such as on-site combustion (coal, natural gas, fuel for company’s vehicle fleet). ', 'from the generation of purchased energy like electricity and heating/ cooling network. ', 'in our value chain, both upstream and downstream, such as sourcing and use of sold products. ', 'Progress toward net zero will be measured against our 2018 GHG emissions. We calculated this baseline and defined our footprint in partnership with South Pole, an external consultant. ']"
"Switzerland_Nestle, 2020, net zero roadmap",[Scope3],"['In setting our targets, we have followed the Science Based Targets initiative’s (SBTi) criteria. They provide a clearly defined pathway for coupling future-proof growth with reductions in GHG emissions. As our Scope 3 emissions make up 95% of our footprint, we are addressing more than 80% of these. The SBTi approved our targets in November 2020. ', 'This data is our starting point. As we enhance our ability to identify and measure emissions, and better use the data that has been disclosed by our suppliers and others, our monitoring will improve. We intend to also share our science-based methodology for calculating GHG emissions to help push new frontiers in climate data transparency for the food and beverage industry. ', 'As a company at the start of its net zero journey, following SBTi guidelines  for now we have excluded the following emissions from our net zero pledge: ']"
"Switzerland_Nestle, 2020, net zero roadmap",[Scope3],"['Purchased services, leased assets, capital goods, investments 8.6 million tonnes of CO2e ', 'Nestlé’s in-scope GHG emissions by operation (92 out of 113) million tonnes of CO2e, in 2018 ', '11.0 7.5 7.0 0.8 65.6 Dairy and livestock 34.2 Soil and forests 25.0 Other 6.4 Total 92 million tonnes of CO2e ']"
"Switzerland_Nestle, 2020, net zero roadmap",[Scope3],"['By 2050, we will reduce our direct emissions related to energy to zero by using 100% renewable energy. ', 'Based on today’s technology, we expect that a small fraction (around 1%) of direct emissions linked to refrigerants will remain. There may also still be some Scope 3 emissions related to fuel and waste, which we expect to address through close collaboration with our suppliers. ', '5 These actions have been defined based on research and data as at December 2020. The contributions to emissions reductions may be subject to change over time. ', 'Transporting and distributing our ingredients and products accounted for 7.5 million tonnes of our CO2e emissions in 2018. ', 'Our primary sources of logistics emissions in 2018 (million tonnes CO2e): ']"
"Switzerland_Nestle, 2020, net zero roadmap",[Paris],"['Limiting global warming to 1.5°C will require major changes to the way we move goods around the world. Our 2050 ambition will be realized through a cleaner, leaner logistics network that delivers ingredients from the farm to our factories, and our products to distribution centers around the world. ', 'We will continue to reduce emissions across transportation by maximizing the use of space in our vehicles, reducing fuel consumption and switching to lower emission fuels. ', 'In our distribution centers, we will cut energy use, switch to renewable electricity, phase in natural refrigerants and replace fossil fuel-based machine handling equipment. We are also reducing waste for disposal, and will cut waste caused by products that have gone bad or reached their end of life by 5% year on year. In our top 100 distribution centers, GHGs decreased by close to 40% between 2016 and 2020. ']"
"Switzerland_Nestle, 2020, net zero roadmap",[Offset],"['Our lean-logistics transportation hub (T-Hub) program will play an important role in the short and medium term. The program will create 19 offices at regional and local levels, and centralize the management and coordination of transport, using real-time visibility tools and advanced analytics to enable the proactive management of goods movements and vehicle optimization. By 2022, T-Hubs will be responsible for 80% of our total transport spend. ', 'In our own operations, we will switch our global fleet of vehicles to lower emission options by 2022 and to offset any remaining emissions. We will initially reduce emissions by shifting to vehicles adhering to the EURO V and VI emissions standards. ', 'In partnership with our logistics suppliers, we will shift away from fossil fuel-powered transport to fuels with lower or zero tailpipe emissions. These include hydrogen, electricity and biofuel powered vehicles, where these fuels have not been produced in competition with food crops. ']"
"Switzerland_Nestle, 2020, net zero roadmap",Scope3,"['Logistics transportation emissions and reductions, 2018 to 2030 million tonnes of CO2e -0.6 -0.5 -0.4 -0.3 -0.1 -1.4 -0.07 -0.05 -0.04 -0.002 6 These actions have been defined based on research and data as at December 2020. The contributions to emissions reductions may be subject to change over time. 7 Real emissions (distinct from tailpipe emissions) from hydrogen and electric trucks depend on their source. If electricity for a truck is generated through coal, emissions are still high. Transportation: projected reductions by 2030 We will reduce absolute emissions by 3.5 million tonnes of CO2e from inbound and outbound transportation, or a 4% reduction from our in-scope 2018 baseline. In relative terms, we can reduce emissions per tonne kilometre of transported goods by 11% by 2025 and 35% by 2030. Until 2025, the operational efficiencies of vehicle fill, reduction of empty backhaul, route optimization and switching to intermodal transport will make the biggest contribution to emissions reduction. Electric vehicles for short haul will make a significant contribution toward our 2030 emissions reduction objectives. Transportation: looking to 2050 The new infrastructure and technologies needed to transform transport and help the switch to alternative forms of fuel are developing rapidly. By 2050, hydrogen and long-haul electric powered vehicles, with their zero tailpipe emissions7, will play a key role in our transportation mix across all distances. Biofuels will also play an important role in the decarbonization of ocean freight. Actions to reach our 2030 emissions goal6 2018 emissions baseline plus our forecast company growth (3.22 million tonnes of CO2e) to 2030 Introducing electric trucks for short-haul trips Increased intermodal transport Introducing electric trucks for long-haul trips Making sure we fill vehicles efficiently Introducing hydrogen-powered trucks to our fleet Removal of EURO 4 and below diesel trucks Launching trucks powered by biogas Improving the sustainability of ocean freight Switch more journeys to rail Avoid air freight By 2030, reduce emissions to Projected 2030 business-as-usual emissions 10 million tonnes of CO2e 6.5 million tonnes of CO2e ']"
