File,Codes,Page,ID,Text
"Switzerland_UBS, 2023, climate and nature report 2023",[e],10,c64bb4d7a371f190443cc484387916b9,"Helping our clients to navigate the orderly transition to a low-carbon economy and build climate-resilient business models is a key objective of our approach to climate, as is the mobilization of private and institutional capital toward this transition. Aligning our in-scope lending and investment portfolios to the objectives of the Paris Agreement is an important part of this approach and so are the products and services we offer. "
"Switzerland_UBS, 2023, climate and nature report 2023",[d],17,6c36b663ae5b0c957ffc91f39a3d7629,"Following the acquisition of the Credit Suisse Group, we refined the UBS Group lending sector decarbonization targets to reflect the activities of the combined organization and evolving standards and methodologies1  Reduce emissions intensity associated with UBS in-scope lending by 2030 from 2021 levels for  Reduce absolute financed emissions associated with UBS in-scope lending by 2030 from 2021 levels for  Continue disclosing in-scope ship finance portfolios according to the Poseidon Principles decarbonization trajectories with the aim of aligning therewith.2  Calculated progress against pathways for revised targets."
"Switzerland_UBS, 2023, climate and nature report 2023",[d],17,b8b4bda977a17e885a0d3e9cf686293b,"2 As part of our ship finance strategy, ships in scope of Poseidon Principles (PP) are assessed on criteria which aim at aligning portfolios to the PP decarbonization trajectories. The PP are a framework for assessing and disclosing, on an annual basis, the climate alignment of in-scope ship finance portfolios to the ambition of the International Maritime Organization (the IMO), including its 2023 Revised GHG Strategy for GHG emissions from international shipping to decrease to net zero by or around 2050 (compared with 2008 levels). "
"Switzerland_UBS, 2023, climate and nature report 2023",[d],27,369a7ca25f0997c1472a87e95812c64b,"We also engage with companies to set climate targets in line with net-zero pathways, which we see as critical for credible climate risk management and achieving the transition to a low-carbon economy. We were a signatory to a campaign led by the Carbon Disclosure Project, encouraging over 2,000 companies to adopt science-based climate targets. We were also co-signatories to two investor-led letters to policymakers, calling on them to accelerate decarbonization goals at state-owned companies. "
"Switzerland_UBS, 2023, climate and nature report 2023",[d],27,fb96b14786c7ea0abbd3fb192bece6c6,"We will further evaluate climate proposals against the following six key factors climate governance, net-zero ambition and targets, quality of decarbonization strategy, net-zero performance alignment, lobbying and policy engagement, and use of offsets. We will also support shareholder proposals that seek information about issuers adopting or adhering to relevant norms, standards, codes of conduct or universally recognized international initiatives, including the recommendations of the TCFD. "
"Switzerland_UBS, 2023, climate and nature report 2023",[e],37,af69f4f230bd97073e035e9453066bee,"To arrive at UBS Group excluding Credit Suisse exposure to climate-driven transition risks, we have analyzed economic sectors within UBSs classification taxonomy, with a view to defining sub-sectors (hereafter referred to as segments) that share similar characteristics in their vulnerability to the risk factors identified above. The approach consists of grouping companies into these segments under an adverse risk scenario. This scenario is defined as an immediate and disorderly approach toward meeting the well-below-2C Paris goal over the zero-to-three-year time horizon (reflecting the business planning horizon). The outcome of this process is a sector-level transition risk heatmap, where risk ratings range from low to high, and climate-sensitive sectors include the top three ratings (high, moderately high and moderate). "
"Switzerland_UBS, 2023, climate and nature report 2023","[c, e]",37,c1331eb21ddd6696a3875f649d9d3022,"In 2023, methodology enhancements on the sector-level heatmap provided for the incorporation of the additional disorderly component (in line with the NGFS immediate and disorderly definition and UBSs in-house scenario developments). Here, disorderly is defined as a differentiation between industrialized and emerging market countries in the short term, industrialized economies are rated relatively riskier than emerging economies due to faster acceleration in implementing programs to meet national commitments made within the Paris Agreement framework. These policies and programs are executed primarily through more stringent climate transition policies, larger investments in advanced low-carbon technologies, and the effects in delivering affordable and more climate-friendly products (analyzed through price elasticity in demand for these products). "
"Switzerland_UBS, 2023, climate and nature report 2023",[i],44,6af1f80a9cdf5022934f37d53454e4ac,"The work performed includes regulatory scenario analysis and stress test exercises such as the Climate Risk Stress Test (CST) of the European Central Bank (the ECB), which assesses banks preparedness for dealing with financial and economic shocks stemming from climate risk and the Bank of England (BoE) 2021 Climate Biennial Exploratory Scenario (CBES). These exercises enabled the identification of financial risks from climate change and allowed Pre-acquisition UBS to assess management actions in response to different scenario results, as well as perform counterparty-level analysis. While these exercises showed mild losses and low exposure to climate risk for the entities in scope, the analysis allowed UBS to enhance climate risk scenario analysis and stress testing, further developing our capabilities for assessing risks and vulnerabilities from climate change. "
"Switzerland_UBS, 2023, climate and nature report 2023",[i],44,f4202c998fd994eaba0f47df382ccbbc,"In 2023, we further advanced our capabilities surrounding internal climate risk scenario analysis and stress testing for UBS Group excluding Credit Suisse. We enhanced and refined our climate risk scenarios with a focus on both transition and physical risk projections across 30 years. Further, we have been developing additional corresponding climate risk models to amend the coverage of major risk types and have enhanced consistent modelling approaches in the context of real estate energy performance and location-specific physical risk. "
"Switzerland_UBS, 2023, climate and nature report 2023",[e],44,d9e4b3e9636e3f3a0e0d8b2b9f47045c,"Over the last years we also leveraged industry-wide initiatives, such as the Paris Agreement Capital Transition Assessment (PACTA) exercise launched by the Swiss Federal Office for the Environment (FOEN) in 2020 and 2022. Through this exercise, we assessed the climate alignment of our listed investments (including equities and bonds), mortgages and direct real estate portfolios. The assessment allowed us to compare our results with the aggregated performance of all participating banks portfolios, showing progress made over time and efforts still needed. "
"Switzerland_UBS, 2023, climate and nature report 2023","[d, e]",44,59d024e8a865908981575e79fdefcf50," Refer to (<>)Appendix 5  Entity-specific disclosures for Credit Suisse AG in the appendices to this report for a description of Credit Suisses scenario analysis  Regulatory stress-testing exercises  European Central Bank (ECB) climate risk stress test  Bank of England Climate Biennial Exploratory Scenario (CBES) fi nancial risks from climate change  Swiss Financial Market Supervisory Authority (FINMA)  Swiss National Bank (SNB) climate risk assessment focus on measurement of climate-related transition risks Scenario analysis informed by industry collaboration  2 Degrees Investing Initiative (2DII) Paris Agreement Capital Transition Assessment (PACTA)  Collaboration with the UNEP-FI TCFD projects for banks  Collaboration with the Natural Capital Finance Alliance  UNEP-FI Since 2021 Since 2017 Since 2014 In-house scenario analysis  A top-down stress test to assess the fi rm-wide vulnerability to climate change  Bottom-up climate transition risk impacts on oil, gas and electric utilities credit portfolio  Bottom-up (asset level) physical acute climate hazard potential impacts on mortgage portfolios  Note Climate risk analysis is a novel area of research, and, as the methodologies, tools, and data availability improve, we will further develop our risk identifi cation and measurement approaches. For further information please refer to the UBS Sustainability Report 2021 and 2022. "
"Switzerland_UBS, 2023, climate and nature report 2023",[d],49,868f426bb963cc558fc807fb48933860,"In 2023, UBS continued to develop solutions to integrate sustainability and climate risks into traditional risk categories, such as UBSs credit, market, liquidity, treasury, and other non-financial risk frameworks. We progressively enhanced our four-stage approach (defined above in the sustainability and climate risk management framework) by leveraging research on how sustainability and climate risk drivers may be transmitted to our clients (and their assets) and ultimately to UBS in the form of financial and non-financial risks. Our approach supports the ongoing management of sustainability and climate risks as they manifest across traditional risk categories and has been built in line with principles outlined by the Basel Committee on Banking Supervision (the BCBS) and the Task Force on Climate-related Financial Disclosures (the TCFD, now organized under the ISSB). "
"Switzerland_UBS, 2023, climate and nature report 2023",[d],52,9cf7fdf15572eb05c1de878a867140f6,"We strive to integrate climate-related financial risk considerations into our decision-making and processes pertaining to services, strategies or products offered or employed by third parties, including delegates. In doing so, we demonstrate our commitment to implementing the recommendations of the TCFD. We perform climate risk assessments on discretionary portfolios managed in Singapore (and booked in Singapore or in Hong Kong), in line with the Monetary Authority of Singapore (MAS) Guidelines on Environmental Risk Management for Asset Managers. We also disclose portfolio risk across climate scenarios in the UK, in line with TCFD recommendations. "
"Switzerland_UBS, 2023, climate and nature report 2023","[k, l]",55,03604f2cf5964757fc3eb5dd1b7a983e,"By 2050, our ambition is to achieve net-zero greenhouse gas (GHG) emissions across our scope 1 and 2, and specified scope 3 activities. Our current targets include  minimizing our scope 1 and 2 emissions through energy efficiencies and by switching to more sustainable energy sources after which, procuring credible carbon removal credits to neutralize any residual emissions down to zero by 20251  engaging with our GHG key vendors, for 100 of them to declare their emissions and set net zero-aligned goals by 2026, and reduce their scope 1 and 2 emissions in line with net-zero trajectories by 20352  addressing our financed emissions by aligning specified sectors to decarbonization pathways and  aiming, by 2030, to align 20 of UBS AG Asset Managements total assets under management (AuM) with net zero.3  We recognize that there is more to do, and we aim to phase in additional scope 3 activities over time. While we continue to take steps to align our business activities with the ambition set out above, it is important to note that progress towards our targets may not be linear. Our priority is to support the transition of clients to a low-carbon economy, and their transition-financing needs. In the area of client investments, the scope of our investments that are subject to net-zero targets and our ability to meet our ambitions depend on our fiduciary duties as an investment manager and on the terms of the mandates agreed to with clients. "
