File,Codes,Page,ID,Text
"Switzerland_UBS, 2023, sustainability report 2023",[e],13,93da302dd93fbf1cc91d5242910e6c44,"Helping our clients to navigate the orderly transition to a low-carbon economy and build climate-resilient business models is a key objective of our approach to climate, as is the mobilization of private and institutional capital toward this transition. Aligning our in-scope lending and investment portfolios to the objectives of the Paris Agreement is an important part of this approach and so are the products and services we offer. "
"Switzerland_UBS, 2023, sustainability report 2023","[k, l]",20,0e921761ca43744e9738659dd5a2cead,"By 2050, our ambition is to achieve net-zero greenhouse gas (GHG) emissions across our scope 1 and 2, and specified scope 3 activities. Our current targets include  minimizing our scope 1 and 2 emissions through energy efficiencies and by switching to more sustainable energy sources after which, procuring credible carbon removal credits to neutralize any residual emissions down to zero by 20251  engaging with our GHG key vendors, for 100 of them to declare their emissions and set net zero-aligned goals by 2026, and reduce their scope 1 and 2 emissions in line with net-zero trajectories by 20352  addressing our financed emissions by aligning specified sectors to decarbonization pathways and  aiming, by 2030, to align 20 of UBS AG Asset Managements total assets under management (AuM) with net zero.3  We recognize that there is more to do, and we aim to phase in additional scope 3 activities over time. While we continue to take steps to align our business activities with the ambition set out above, it is important to note that progress towards our targets may not be linear. Our priority is to support the transition of clients to a low-carbon economy, and their transition-financing needs. In the area of client investments, the scope of our investments that are subject to net-zero targets and our ability to meet our ambitions depend on our fiduciary duties as an investment manager and on the terms of the mandates agreed to with clients. "
"Switzerland_UBS, 2023, sustainability report 2023",[d],21,ac4c023ddff0b9cc642b6ef2e798c0e2,"We evaluated the combined lending portfolios and resulting exposures to carbon-intensive sectors following the acquisition of the Credit Suisse Group in June 2023 and have set revised decarbonization targets for the Group. We have updated our previous emissions targets for real estate mortgage lending, as well as for the fossil fuels (oil, gas and coal), power generation and cement sectors, reflecting both the combined portfolios of the two firms and the methodology changes. We also identified iron and steel and shipping as additional target sectors. For the Credit Suisse AG in-scope shipping portfolio, we continue to disclose the portfolios climate alignment to the Poseidon Principles decarbonization index. In addition, we undertook further assessment of the overall emissions associated with our lending and real estate mortgages and conducted a preliminary analysis of the facilitated emissions from our capital markets activities for select carbon-intensive sectors. "
"Switzerland_UBS, 2023, sustainability report 2023",[k],23,d57545f14df8fa070b486f8ca24f1918,"Our climate-related targets have been set based on the methodologies, data and assumptions currently in use. Changes to these methodologies, data and assumptions may affect our progress toward these targets and our net-zero ambition, as well as their achievability. Our net-zero ambition and related targets for scope 3 emissions have a critical dependency on the overall progress made by all sectors and countries toward net-zero carbon emissions. Across many jurisdictions, substantial governmental action will be required to achieve that progress. If such advances are not made, our targets and ambitions with respect to scope 3 emissions will not be achievable. "
"Switzerland_UBS, 2023, sustainability report 2023",[d],24,e2ef54a82450bf6a8a94423b15ef4e10,"Climate-related lending metrics  Poseidon Principles (Credit Suisse AG consolidated)  Shipping (delta alignment to Poseidon Principles IMO 50 trajectory)1  Shipping (delta alignment to IMO 2023 minimum trajectory)2  Shipping (delta alignment to IMO 2023 striving for trajectory)2  1 Poseidon Principles  IMO 50 trajectory is not 1.5C aligned. 2 The IMO Revised GHG Strategy sets out the following absolute reduction levels of ambition (i) to reduce total annual GHG emissions by at least 20, striving for 30, by 2030 (compared with 2008) (ii) to reduce total annual GHG emissions by at least 70, striving for 80, by 2040 (compared with 2008) (iii) GHG emissions to peak as soon as possible and to reach net-zero GHG emissions by or around 2050 and (iv) carbon intensity to decrease in order to reduce CO2 emissions per transport unit by at least 40 by 2030 (compared with 2008). The Revised GHG Strategy considers well-to-wake CO2e emissions, i.e., it includes upstream emissions, as well as accounting for the impact of methane (CH4) and nitrous oxide (N2O). The updated IMO trajectories are not 1.5C aligned. "
"Switzerland_UBS, 2023, sustainability report 2023",[b],28,fc706d64b9a4b343ed4376a0d1e0dc6f,"Overview of lending sector decarbonization targets and progress  Indicative trend line to 2030 target Implied Energy Perspectives 2050 ZERO Basis  residential buildings  0 2021 2030 2050 Power generation kg CO 2e  MWh 490 297 136 UBS targetUBS actuals IEA NZE 2050 4 339 2050 convergence point Indicative trend line to 2030 target 60  2016 2050 60 60 Alignment delta  50 tank-to-wake CO 2  reduction trajectory by 2050 2.4 (2020 IMO DCS) 1.3 (2021 IMO DCS) 4.6 (2022 IMO DCS) 2018 IMO GHG Strategy (IMO Initial GHG Strategy)  Portfolio climate alignment score Index trajectory Poseidon Principles  0 2021 2030 2050 40 31.3 32.1 16.2 0.5 UBS targetUBS actuals 48  2050 convergence point Implied Energy Perspectives 2050 ZERO Basis  residential buildings  services  0 2021 2030 2050 2 metric t CO 2   metric t steel 1.75 1.68 1.28 0.12 UBS targetUBS actuals IEA NZE 2050 (adjusted) 2050 convergence point 27  2010 2050 2022 vs Striving for 2022 vs Minimum MinimumStriving 100 100 Alignment delta  Net-zero well-to-wake CO 2 e reduction trajectories by 2050 15.7 (2022 IMO Striving for alignment score) 11.5 (2022 IMO Minimum alignment score) 2023 IMO GHG Strategy (IMO Revised GHG Strategy)  0 2021 2030 2050 Fossil fuels million metric t CO 2 e 70 45.9 19.4 UBS targetUBS actuals Indicative trend line to 2030 target 64.7 0 2050 convergence point 70  0 2021 2030 2050 0.70 0.64 0.63 0.48 0.02 UBS targetUBS actuals 2050 convergence point 24  IEA NZE 2050 (adjusted) Indicative trend line to 2030 target  1 For corporate sectors (fossil fuels, power generation, iron and steel, and cement) we have used the Sectoral Decarbonization Approach (SDA). The SDA assumes global convergence of key sectors emissions intensities by 2050 and we set our 2030 targets to be in line with this assumption. We have used externally published independent net-zero scenarios as reference for the 2050 convergence points used to define the 2030 targets. "
"Switzerland_UBS, 2023, sustainability report 2023",[d],28,3c487c8b6a6ddcaf2c64cb572846c8b7,"2 Swiss commercial real estate and Swiss residential real estate portfolio decarbonization rates are in line with the Implied Energy Perspectives 2050 ZERO Basis benchmarks. The high observed emissions intensities are mainly due to conservative assumptions (e.g., oil heating assumed if actual heating type not available) and high emissions factors per unit of energy used. The portfolio increase for Swiss commercial real estate was primarily driven by a change of the portfolio mix of properties financed by Credit Suisse Group, with an increased weight of properties with higher emissions characteristics. 3 ERA Energy Reference Area  4 Shipping graphs display our portfolios alignment to the Poseidon Principles decarbonization trajectories. "
"Switzerland_UBS, 2023, sustainability report 2023",[d],28,f9573dd70b5de416c6a3face9e441fe0," Refer to the Supplement to Environment section of the Supplement to the UBS Group Sustainability Report 2023, available at (<httpwww.ubs.comsustainability-reporting>)ubs.comsustainability-reporting, for more information about our targets   Refer to the Basis of Reporting section of the Supplement to the UBS Group Sustainability Report 2023, available at (<httpwww.ubs.comsustainability-reporting>)ubs.comsustainability-reporting for more information about our climate-related lending metrics  Our approach to target-setting is based on the guidance from global standards and initiatives such as the NZBA, the Partnership for Carbon Accounting Financials (PCAF), the Paris Agreement Capital Transition Assessment (PACTA) and the Science-Based Targets Initiative (the SBTi). UBS acknowledges that Credit Suisse had a commitment to SBTi to have its 2030 targets externally validated. To develop the combined 2030 targets, we have utilized SBTi guidance where possible and we continue to assess the options for target validation and assurance. "
"Switzerland_UBS, 2023, sustainability report 2023",[e],29,fd8d107136d1ecb4b08af31480c79dbf,"GHG emissions Net zero by 2050 2030 target (absolute  intensity) Status quo Carbon removalsIllustrative 2021 2030 2040 Estimated existing emissions reductions Engage Engaging with clients Grow Providing sustainable fi nance solutions Prioritize Providing capital to lower carbon intensity activities A B C  Building on the review of our clients public decarbonization commitments, we further assess where they currently stand on their journey toward a low-carbon and climate-resilient business model. By establishing a view on our clients current decarbonization ambitions and activities, we aim to work alongside them to support their transition efforts. This can include encouraging the disclosure of current emissions, the setting of future decarbonization targets in line with Paris-aligned pathways and the development of credible transition plans. "
"Switzerland_UBS, 2023, sustainability report 2023",[e],30,04e80ee61366157860d5bae9459c09d9,"Managing and monitoring our financing activities remains an ongoing focus. We continue to build on and refine our transition strategy and further tailor it to our business divisions. Our aim is to make our approach to climate business as usual and to orient our new and existing business efforts toward net zero by 2050. We strive to routinely consider the climate impact resulting from our financing activities, take an active approach to growing our low-carbon business and address our financed emissions by engaging with clients and supporting their transition. We strive to further strengthen our operating model and increase our efforts in the fields of transition and green finance. We also expect new technologies to emerge, along with policies and actions from governments, that will support the transition to a low-carbon economy. We regard such developments as dependencies for us to contribute toward meeting the objectives of the Paris Agreement. "
"Switzerland_UBS, 2023, sustainability report 2023","[d, l]",30,851a88b8c33308b1a6d4f6314539e57f,"Our transition plan prioritizes emissions reductions in line with science-based climate targets and credible trajectories to achieve these targets. In addition, we anticipate that the deployment of carbon-removal solutions will be needed to counterbalance hard-to-abate emissions and supplement the reduction strategies of some of our clients. For example, certain industrial processes cannot yet achieve absolute zero emissions as technologically or financially viable emissions-elimination alternatives do not exist. Those industries, however, still provide products and services that are important to society and are likely to remain relevant in the future. In these cases, carbon removals are critical to balance residual emissions. As best practice guidance, regulation, methodologies and technologies develop, our approach to decarbonization, including offsets, will continue to evolve. "
"Switzerland_UBS, 2023, sustainability report 2023",[d],33,4e20b54660a3d930b40c9c45fba4ae25,"In order to provide choice to our clients and to effectively monitor our progress toward our target, we use a clearly defined framework to assess whether a product has a net-zero ambition. This framework is based on the NZAM initiatives guidance on assets committed to be managed in line with attaining net-zero emissions by 2050 or earlier, as well as guidance from other industry bodies. From this we have derived the following guiding principles when defining an investment portfolio as having a net-zero ambition  The portfolio has a defined decarbonization target, a commitment to increasing portfolio coverage of SBTi-verified targets andor invests in climate solutions that enable net-zero global GHG emissions by 2050. "
