File,Codes,Page,ID,Text
"UK_AngloAmerican, 2022, climate change report 2022",[e],8,54ee802bac953bd9a4276f83545f7b66,"2022 key highlights 745 million sustainability-linked bond launched, including performance targets to reduce greenhouse gas emissions Updated approach to assessing and mitigating the physical risks of climate change at our sites and in host communities Combined Anglo Americans nuGen ZEHS with First Mode. Additional 200m capital investment committed to help fund the ongoing development of the ZEHS First sea trial using a blend of biofuel and very low sulphur fuel oil to reduce emissions from ocean freight New memorandum of understandings signed with Thyssenkrupp Steel AG and Nippon Steel to collaborate on developing new pathways for the decarbonisation of steelmaking External verification of the alignment of our carbon neutrality goals with the 1.5C ambition enshrined in the Paris Agreement Verified as in line with the expectations set out by the International Maritime Organizations goal of reducing shipping emissions by at least 50 by 2050 by the Sea Cargo Charter 20 (by volume of iron ore sales) customers now covered by decarbonisation scoping agreements Launch of the worlds largest hydrogen-powered mine haul truck  nuGen Zero Emissions Haulage Solution (ZEHS) Agreement with Stanwell Corporation to supply 100 renewable energy to all Australian operations from 2025 Partnership with EDF Renewables to form Envusa Energy  launching 600 MW of wind and solar projects in first phase of the renewable energy ecosystem in South Africa 100 renewable electricity supply agreements in place across all South American operations Increased production of future-enabling products with the start-up of Quellaveco copper mine in Peru 14 reduction in Scope 3 emissions compared with 2020 and creation of high level pathway to deliver our ambition of 50 reduction in Scope 3 emissions by 2040 21 reduction in Scope 1 and 2 emissions from our peak in 2019, demonstrating progress towards our target of 30 reduction by 2030 and carbon neutrality by 2040 52 of electricity derived from 100 renewable sources in 2022 94.3 shareholder approval for climate change strategy at AGM First of 10 Ubuntu LNG vessels christened, delivered, and entered service, resulting in a total of an estimated 35 reduction in CO 2 emissions  Towards a low carbon future  our strategy and approach  Tackling climate change is the defining challenge of our time. "
"UK_AngloAmerican, 2022, climate change report 2022","[a, d, e, f]",14,cbda2187913597fbcff6e6976c45c611,"To consider potential transition impacts and inform our strategic choices, we developed a set of climate change scenarios as detailed in our 2021 Climate Change Report. The scenarios include a 1.5C scenario and a 2C scenario referencing the Wood Mackenzie Accelerated Energy Transition scenarios1 , and a 3C scenario, based on the Wood Mackenzie Energy Transition Outlook2 . In addition, we incorporate pathways for AFOLU3 greenhouse gas (GHG) emissions into the three scenarios, reflecting guidelines set by the Intergovernmental Panel on Climate Change (IPCC) Special Report on Global Warming of 1.5C4 for methane and nitrous oxide emissions. "
"UK_AngloAmerican, 2022, climate change report 2022",[j],14,5909d318a9ee5ce80e8b3e6128525f4a,"Across the scenarios, we assess Anglo Americans resilience to transition impacts along key dimensions of financial strength and strategic robustness. Financially, we measure how our cash flow would evolve across scenarios, focusing on our existing assets and organic growth opportunities, to ensure consistency. This is overlaid with an assessment of the strategic risks and opportunities across each scenario, considering the evolution of our product profit pools, the life of our assets, as well as the quality and mix of our portfolio. "
"UK_AngloAmerican, 2022, climate change report 2022","[e, j]",14,d9e16d3f4950233ad4cbc7d930db540a,"Limiting global warming to 1.5C above pre-industrial levels by 2100 requires a rapid acceleration of global climate change efforts. This includes the deployment of low carbon technologies which will underpin an increase in demand for a range of mined products. As a result, we expect the overall extraction industry profit pool to be robust across the three scenarios. In addition, our analysis suggests that the profit pools in which Anglo American participates will remain broadly resilient under a 1.5C scenario. "
"UK_AngloAmerican, 2022, climate change report 2022","[e, f, j]",14,2d672be51d8d33e70799f980ee57cbad,"Our assessment that Anglo American remains resilient is based on the interrelationship between the quality of our endowments, the expected life of our assets, our exposure to commodities that support a green transition and the mix of products in our portfolio, as well as our strong organic growth optionality. Under the 3C scenario, with our current asset footprint and organic growth options, we expect stable cash flows to 2035. Similarly, we expect our cash flow to remain resilient under both the 2C and 1.5C scenarios, but with greater uncertainty given the broad range of potential pathways to achieve the low carbon outcomes. For example, in the next decade under the 1.5C scenario, our cash flow could be up to 30 higher relative to the 3C scenario. In the subsequent decade, our cash flow could be 2025 lower under the 1.5C scenario, relative to the 3C scenario. This range of uncertainty falls within our risk tolerance. In addition, the optionality in our portfolio will allow us to further strengthen our resilience and offset any potential downside risks to our cash flow. "
"UK_AngloAmerican, 2022, climate change report 2022","[a, e]",14,221a9cc11f5b9a1ceb361306542e2e14,"(1) The Wood Mackenzie Accelerated Energy Transition 1.5C scenario is predicated on the carbon budget set by the IPCC SR-1.5 for a 67 chance of limiting warming to 1.5C through rapid reduction in annual emissions, reaching net negative energy-related CO  2 emissions by 2050, and sustained net negative emissions from 2050 onwards  (2) httpbit.ly3YJHZbf (3) Agriculture, forestry and other land use  (4) The Intergovernmental Panel on Climate Change (IPCC) is the United Nations body for assessing the science related to climate change. For more information about the report, see httpswww.ipcc.chsr15  Administrative secretary Terhi Svartsj and geotechnician Tomas Karjalainen during winter-drilling activities at Sakatti. "
"UK_AngloAmerican, 2022, climate change report 2022","[a, e, f]",15,3410ff174e2fac3e70c394871c4d2282,"Global CO2  emissions (Gt CO2), including energy-related and AFOLU CO2 emissions(1)  Gt CO 2020 2030 2040 2050 45 40 35 30 25 20 15 10 5 0 -5 1.5C pathway 2C pathway 3C pathway 1,226 803 578(2) 2 20202050 cumulative CO 2  emissions (Gt CO2) Charts based on data from Wood Mackenzie Energy Transition Service and McKinsey  Company. 1  2 Sustained net negative CO2 emissions post-2050 bring cumulative emissions back within the budget set by the IPCC to restrict warming to 1.5C. "
"UK_AngloAmerican, 2022, climate change report 2022",[e],17,450388b8a093c45655ca50dbeed444d8,"Our commitment to achieve carbon neutrality across our operations is embedded in company strategy and our medium term plan, including the allocation of capital. Through our work with the Carbon Trust, and recognising that with forecasts of any type there is a margin for error, we are confident that our 2040 ambition is broadly in the range of what is widely understood as a 1.5C future (see page 26). We believe, therefore, that capital deployed to meet those targets is aligned with a contribution to achieving the goals of the Paris Agreement. "
"UK_AngloAmerican, 2022, climate change report 2022","[a, i, j]",18,17315b796c16739ebfd52d50d9d5f077,"We recognise the importance and urgency of enhancing our resilience  in fact, our production in 2022 was affected by extreme weather, exacerbated by climate change, around the world. We have begun to use a climate change scenario analysis solution specifically for our assessment of physical climate change risks that uses multiple Global Climate Model (GCM) projections dynamically downscaled to a local level to provide projected changes in climate and hazard estimates for each of our assets and key shipping ports over the period 2020 to 2100. The modelling is based on three of the Shared Socioeconomic Pathways (SSPs) used in the IPCC Sixth Assessment report on climate change SSP12.6, SSP24.5 and SSP58.5(1). These scenarios project warming of 1.8oC, 2.7oC and 4.4oC respectively by 2100. This analysis provides us with a top-down view of key physical climate change hazards across our portfolio. To complement this, we have defined a bottom-up approach to understand the climate context at a local and regional level, including understanding past weather trends and present emerging climate-related impacts, as well as vulnerabilities and adaptive capacities particular to each site. "
"UK_AngloAmerican, 2022, climate change report 2022","[i, j]",18,0669f0aad63c2dad0687611d578a2acf,"Our long term time horizon covers the remainder of our operations life (15 years) as well as the post-closure period. The projections for physical climate change risks in this time frame start to diverge considerably depending on the scenario chosen. We will continue to monitor the global trajectory and calibrate our long term predictions accordingly. Our work on long term risks is linked to our desire to have sustainable mine plans beyond the operational activities of an asset. Examples of this are ensuring rehabilitation strategies take into consideration future physical conditions that may impact plant or soil selection, through to water management activities or aspects related to the security of renewable energy supplies. "
