File,Codes,Page,ID,Text
"UK_BHP, 2020, Climate Change Report 2020","[e, j]",3,1e970010d8bcfedb6aa53794c7d0bcd3,"Shaping our portfolio to sustainably protect and grow value over time  In parallel with taking action to reduce emissions, we must also be thoughtful about the implications of climate change for BHPs operational and portfolio resilience. We must take a proactive and collaborative approach to adaptation by enhancing the climate resilience of our operated assets, investments, portfolio, supply chain, communities and ecosystems, to achieve mutually beneficial outcomes for our business and stakeholders. We regularly test our portfolio against a range of climate change scenarios, as previously outlined in our report Climate Change Portfolio Analysis (2015). In this report, we have set out an assessment of a 1.5C scenario, which is aligned to the goals of the Paris Agreement. "
"UK_BHP, 2020, Climate Change Report 2020",[j],3,7e1344bde226de498ba77e984787d206,"What these scenarios tell us is that BHPs overall portfolio is resilient and that, in fact, many of BHPs commodities would further benefit from an accelerated decarbonisation pathway. We are already a major producer of copper and nickel and are seeking further options in these commodities, which see strengthening demand as the world moves to decarbonise. Potash also sees upside in a decarbonising world. "
"UK_BHP, 2020, Climate Change Report 2020",[e],3,facf8b16d5625018f8fc89713585c56a,"As the world moves to decarbonise, oil demand will eventually decline. However, oil remains essential for human mobility and many of the difficult-to-displace industrial processes and products that support daily life today and we expect it will take some time for erosion of demand to outpace natural field decline even under a 1.5C pathway. "
"UK_BHP, 2020, Climate Change Report 2020","[e, k]",4,6bb0d1efd293ee3d95df5cdc72fedd96,"Support emissions reductions in our value chain, and the economy-wide transitions necessary to meet the Paris Agreement goals, by working with customers and suppliers to achieve sectoral decarbonisation. "
"UK_BHP, 2020, Climate Change Report 2020",[f],5,f0d6078bae9ab956553244dc54fcc31b,"We have previously published two climate-related portfolio analysis reports Climate Change Portfolio Analysis (2015) and Climate Change Portfolio Analysis  Views after Paris (2016), which are available online a(<httpswww.bhp.comclimate>)t bhp.comclimate. These reports described how we have used scenario analysis to evaluate the resilience of our portfolio to both an orderly and a more rapid transition to a 2C world. At the time, these reports set a new standard within the resources sector. "
"UK_BHP, 2020, Climate Change Report 2020","[a, b, e, f]",5,6c046aeae1f0400278d73d259a555d69,"Since these reports were published, the Paris Agreement has entered into force countries have set their first nationally determined contributions (NDCs) the International Energy Agency has published updates to its World Energy Outlook, including its energy scenarios and the Intergovernmental Panel on Climate Change (IPCC) has published its report, Global warming of 1.5C (4). The IPCC states that limiting global warming to 2C may avoid some material climate change impacts, but the consequences will be significantly worse than if global warming can be limited to 1.5C. "
"UK_BHP, 2020, Climate Change Report 2020","[a, e]",5,9780bc351d86e0ba152e8768ee541796,"The transition to a 1.5C world will require tremendous effort, but the IPCC report highlights that the effort can be worth the reward of more secure communities, ecosystems and economies. We have considered these updates in our climate change strategy. "
"UK_BHP, 2020, Climate Change Report 2020",[d],5,04883affd357a55234f97a0c4bf174c9,"This Report aligns with the Task Force on Climate-related Financial Disclosures (TCFD) recommendations and we have structured the Report to address the TCFDs themes of Governance, Strategy, Risk Management, and Metrics and Targets. Our Vice President of Sustainability and Climate Change, Dr Fiona Wild, is a member of the Task Force. We believe the TCFD recommendations represent an important step towards establishing a widely accepted framework for climate-related financial risk disclosure. "
"UK_BHP, 2020, Climate Change Report 2020","[a, e]",6,6b0e9b106004292454fd06232854186a,"In this Report, we describe our latest portfolio analysis, including four scenarios Central Energy View and Lower Carbon View which we use as inputs to our planning cases a non-linear, higher temperature Climate Crisis scenario and a 1.5C Paris-aligned scenario. To stay within a carbon budget that keeps global warming to no more than 1.5C, the 1.5C scenario requires steep global annual emissions reductions, sustained for decades. This pathway to 2050 represents a major departure from todays global trajectory. Rapid transitions would be needed across energy, land, industrial, and agricultural systems. Such transitions would require substantial new investments in low emissions and negative emissions technologies, and energy and process efficiency. The IPCC report, Global warming of 1.5C, finds that if the 1.5C goal is to be met, investments in these technologies would need to increase by roughly a factor of six by 2050 compared to 2015 levels. "
"UK_BHP, 2020, Climate Change Report 2020","[e, j]",6,981f550a1d320224087156f408a3939b,"Our updated portfolio analysis demonstrates that our business can continue to thrive over the next 30 years, as the global community takes action to decarbonise, even under a Paris-aligned 1.5C trajectory. As illustrated in the Cumulative Demand Figure, our modelling indicated that cumulative demand for copper, nickel and potash over the next 30 years in the 1.5C scenario could not only exceed the last 30 years, but also our mid-planning case (Central Energy View). The modelling also showed strong cumulative demand for iron ore, metallurgical coal and natural gas and more modest demand for oil in the transition to a low carbon future over the next 30 years. Opportunities to invest in commodities such as potash, nickel and copper, and our rigorous approach to capital allocation provide a strong foundation for our business as the world takes action to decarbonise, even for a 1.5C world. In contrast, while the Climate Crisis scenario presents some initial upside, it ultimately results in a lower demand trajectory post-climate shock, as the world settles on a permanently lower GDP growth trajectory and rapidly decarbonises. Cumulatively, demand for most of our commodities is lower in this scenario. "
"UK_BHP, 2020, Climate Change Report 2020","[e, i, j]",6,7dffd75b65b57268d42ae2bb0a7c1b2e,"Transitioning the global economy over the next 30 years, on a trajectory consistent with the Paris Agreement goals, would limit potential global climate-related impacts, including physical climate change risks at our assets. This would also potentially generate significant value for our portfolio as shown in the Rolling present value Figure below. The need to adapt also grows as the global average temperature rises, suggesting that transitioning to a 1.5C world could limit the costs associated with adaptation in many regions, compared to higher temperature trajectories. "
"UK_BHP, 2020, Climate Change Report 2020",[e],6,bf348335dd8545806acc16b41a739739,"The 1.5C scenario is an attractive scenario for BHP, our shareholders and the global community. However, todays signposts do not indicate that the appropriate measures are in place to drive decarbonisation at the pace nor scale required for the 1.5C scenario. If we see the necessary changes in our signposts, we will adjust our planning cases accordingly. Given the long lead times for new investments, we will continue to stress test our decision-making with updated strategic themes and scenarios to understand emerging opportunities. We will also continue to advocate for actions in line with the Paris Agreement goals and seek partnerships to leverage our own investments in low emissions and negative emissions technologies and natural climate solutions, because we believe it is the right thing to do for our shareholders and our global community. "
"UK_BHP, 2020, Climate Change Report 2020",[e],7,248e452ea6cd7a142fa84ae8b0292287,Cumulative demand in the next 30 years compared to the last 30 years (100  CY1990CY2019 cumulative demand) Lower Carbon ViewCentral Energy View Climate Crisis scenario1.5C scenario 0 100 200 300 400 PotashEnergy coalUranium (3)OilNatural gasCopper (2)Nickel (2)Metallurgical coal (1)Iron ore (1)  (1) Iron ore and Metallurgical coal demand accounts for Contestable Market  Global seaborne market plus Chinese domestic demand  (2) Nickel and Copper demand references primary metal  (3) Nuclear power was used as a proxy for historic cumulative demand for Uranium  FY2050FY2040FY2030FY2020 Rolling present value (1) relative to Central Energy View  Lower Carbon View    Central Energy View  Climate Crisis scenario 1.5C scenario Relative value over time  (1) Present value of unlevered free cash flows. Data in this chart is based on our current portfolio and does not include any potential future divestments. 
"UK_BHP, 2020, Climate Change Report 2020",[l],8,9a36f47c93f24672388133e7aa407dbc,"We established our Carbon Offset strategy that describes how we propose that a quantity of carbon offsets be procured and, from the mid-2020s onwards, retired voluntarily at regular intervals. While we will prioritise emissions reductions within our operated assets to meet our medium-term target, by including offsets as an element of our climate change strategy, we will also continue to support a range of projects that offer sustainability co-benefits, including support for local communities and biodiversity conservation. "
"UK_BHP, 2020, Climate Change Report 2020",[k],8,22130716fba2aa03c29ec0f6ae819687,"At BHP, we recognise the importance of taking action to support efforts to reduce emissions across our full value chain, as the emissions from our customers use of our products are significantly higher than those from our operated assets. By definition, Scope 3 emissions occur outside of our operated assets and are emissions over which we do not have operational control. We therefore seek opportunities to partner with others across our value chain to enable the reduction of these emissions. The most significant contributions to Scope 3 emissions come from the processing and use of our products, in particular from the use of our iron ore and metallurgical coal in steelmaking. "
"UK_BHP, 2020, Climate Change Report 2020",[k],8,3623ab90bddb5929b9610305de85a3ee,"One of our key contributions to driving decarbonisation across our value chain is the Climate Investment Program (CIP), announced in July 2019. BHP will invest at least US400 million over the five-year life of the CIP in emissions reduction projects across our operated assets and value chain. It is a demonstration of our commitment to take a product stewardship role in relation to our full value chain. Initial investments will focus on reducing emissions at our Minerals (Australia and Americas) operated assets and addressing Scope 3 emissions in the steelmaking sector, particularly emerging technologies that have the potential to be scaled for widespread application. During FY2020, potential CIP projects have requested approximately US350 million over five years. Establishing a robust pipeline is critical to drive prioritisation of the best projects across our operated assets and value chain, and to ensure that our emissions targets can be met alongside safety, production and cost targets. "
"UK_BHP, 2020, Climate Change Report 2020",[i],9,7421c1d689d68618a3a9a939e337fe7a,"We assess our risk of exposure to potential climate change impacts to be material, including the potential for more frequent and intense weather events, and increasing sea water levels that may result in disruptions (e.g. to port operations). Left unmanaged, physical climate change risks may threaten our sustainable long-term shareholder return objectives. "
"UK_BHP, 2020, Climate Change Report 2020","[e, n, o]",9,45bdac99fe237884422523999a8a28dd,"We also recognise our role in collaborating with others to achieve progress in managing the challenges of climate change. Without collaboration, the world will not be able to achieve the goals of growth, equity and decarbonisation for the long-term. The challenges inherent in our 1.5C scenario illustrate the scale of the task ahead. We will seek opportunities to work with partners to commercialise, at scale and acceptable cost, low emissions and negative emissions technologies that are critical for the transition to a 1.5C world. These technologies include carbon capture, utilisation and storage (CCUS), direct air capture (DAC) and the natural climate solutions of reforestation and afforestation. Consideration of the 1.5C scenario in our portfolio analysis highlights that the world needs these technologies without delay and at scale. We will continue to seek opportunities to collaborate with value chain partners, investors, researchers and governments to work towards net-zero emissions globally by 2050. "
"UK_BHP, 2020, Climate Change Report 2020",[e],10,3d98c7305ea20562a82ee5af0fa810a0,"Shareholders Board (Oversight) Remuneration Committee (Remuneration policy in line with strategy) Sustainability Committee (Group HSEC framework and performance) Risk and Audit Committee (Risk management) Investment Review Committees Internal Audit Assets and Functions (Implementation) Executive Leadership Team (Accountable for climate change strategy management) Climate Change Working Group Climate Change Steering Committee  Undertook a deep dive relating to climate change and strategy, including new climate change scenarios. Discussions included the relative commodity attractiveness under a 1.5C scenario. In addition, stakeholder attitudes, including those of investors, were considered in relation to climate change and the direction and momentum of the evolution of those expectations. "
"UK_BHP, 2020, Climate Change Report 2020","[a, e]",14,5d494d860c83054647f1257c2c941c24,"Since these reports were published, the Paris Agreement has entered into force countries have set their first nationally determined contributions (NDCs) the International Energy Agency has published updates to its World Energy Outlook, including its energy scenarios and the Intergovernmental Panel on Climate Change (IPCC) has published its report, Global warming of 1.5C (8). The IPCC states that limiting global warming to 2C may avoid some material climate change impacts, but the consequences will be significantly worse than if global warming can be limited to 1.5C. The transition to a 1.5C world will require tremendous effort, but the IPCC report highlights that the effort can be worth the reward of more secure communities, ecosystems and economies. "
"UK_BHP, 2020, Climate Change Report 2020","[e, f]",14,bc202466fc424e2b3788736eb60ddf4d,"Our stakeholders have sought to understand how these developments might impact our strategy and portfolio resilience. In July 2019, we committed to update our climate-related portfolio analysis in 2020 to evaluate the potential impacts of a broader range of scenarios, including a transition to well below 2C. In this Report, we describe core elements of our latest portfolio analysis, including a 1.5C Paris-aligned scenario, a non-linear, higher temperature Climate Crisis scenario, a Central Energy View and a Lower Carbon View. "
"UK_BHP, 2020, Climate Change Report 2020",[b],14,6482ec468e4436e119cdcf10b9019cec,"Regional carbon taxes, levies or allowances, or emissions trading schemes (ETS), are becoming increasingly important mechanisms to drive decarbonisation. We forecast carbon prices to reach between US10-40tCO2e in 2030 in the Central Energy View and US25-110tCO2e in 2030 in the Lower Carbon View (9). To derive these prices, we segment relevant countries into three tiers depending on their observed and projected level of decarbonisation ambition. We would expect a single global carbon price to hasten decarbonisation across sectors, however, signposts indicate that regional differences are likely to persist at least until 2030. Where we have no internal view on a country, we adopt the International Energy Agencys (IEA) Stated Policy Scenario long run carbon price position. "
