File,Codes,Page,ID,Text
"UK_BHP, 2021, Climate transition action plan 2021",[k],3,b090048aebba2336b02295b9e62e11b2,"BHP recognises the role we must play in helping the world achieve its decarbonisation ambitions. This Climate Transition Action Plan (Plan) provides an overview of our role and actions. It sets out our strategic approach to reduce greenhouse gas (GHG) emissions 3 to net zero 4 within our operations by 2050 and to work with customers and suppliers to support their own emissions reductions, consistent with the ambition of pursuing net zero in our value chain. "
"UK_BHP, 2021, Climate transition action plan 2021",[e],3,e472644b3503051c6bf452c919c3e24f,"Our portfolio is already well positioned to support the transition to a lower carbon world aligned with the Paris Agreement goals, while creating value for our shareholders and our broader stakeholders. We have an important role to play in supporting a transition to a high-growth, net zero emissions future providing the essential building blocks for renewable energy and other decarbonisation infrastructure from our steelmaking materials (iron ore and metallurgical coal) and future facing commodities (including copper, nickel, and potash). To help enable a net zero emissions future, our commodities can play a vital part in accelerating the displacement of emissions intensive activities by lower emissions alternatives. "
"UK_BHP, 2021, Climate transition action plan 2021",[e],3,db3d5a4449695e155563a0a2068dcc2e,"The scenario analysis in the BHP Climate Change Report 202011 indicates that our portfolio is resilient and, in fact, many of our commodities would further benefit from an accelerated decarbonisation pathway. In our 1.5C scenario12 , the world is expected to need almost twice as much steel in the next 30 years as it did in the last 30. To keep pace with the development of renewable technologies such as electric vehicles and solar energy, copper production will have to double over the next 30 years. Under our 1.5C scenario, nickel production will have to increase nearly four-fold to power the next generation of battery technology. Finally, potash will be vital for more efficient agricultural practices, and to ease pressure on scarce arable  land. Under any scenario, our industry will be critical to ensuring the rise of global living standards. "
"UK_BHP, 2021, Climate transition action plan 2021",[e],3,ce38c810a6a3219649adfaf3878a65be,"12 This scenario aligns with the Paris Agreement goals and requires steep global annual emissions reductions, sustained for decades, to stay within a 1.5C carbon budget. Refer to the BHP Climate Change Report 2020 available at bhp.comclimate for information about the assumptions, outputs and limitations of our 1.5C Paris-aligned scenario. "
"UK_BHP, 2021, Climate transition action plan 2021","[k, l]",4,c314f3fb6bfea8ed26580b0d29f2faab,"All sectors of society and the economy will be impacted by, and must contribute to, the system-wide response to achieve net zero across the global value chain for the goods and services that support global living standards. BHP is no exception. Rapid decarbonisation is more feasible in some sectors versus others, and offsets will play an important role in balancing the system response to deliver net zero across the global economy. We recognise we have an important role to play in supporting emissions reductions in our own value chain as part of this system response. "
"UK_BHP, 2021, Climate transition action plan 2021",[k],4,430920b86ef0d608e0da30439291c11a,"While Scope 3 emissions occur outside of our direct control, we seek opportunities to partner with others in the value chain to enable the reduction of these emissions consistent with aspirations for global net zero. In this Plan, we build on our 2020 commitments with an enhanced Scope 3 position that reflects the challenges and opportunities for our contribution (refer to the BHPs climate change goals and targets box15 in section 1 Pursuing net zero). "
"UK_BHP, 2021, Climate transition action plan 2021",[k],7,8384227c97e1556c5b334719bb29aa6b,"As we shape our portfolio for the future, we are announcing our enhanced Scope 3 position. 21  While we cannot ensure the outcome alone, for our reshaped portfolio,22 we are pursuing the long-term goal of net zero 23 Scope 3 greenhouse gas (GHG) emissions by 2050 to support the transition that the world must make. To progress towards this goal  we are targeting net zero for the operational GHG emissions of our direct suppliers 24 and the emissions from maritime transport of our products and  recognising the particular challenge of a net zero pathway for customers processing of our products, 25 which is dependent on the development and downstream deployment of solutions and supportive policy, we cannot set a target, but will continue to partner with customers and others to accelerate the transition to carbon neutral 26 steelmaking and other downstream processes. We will also support the value chain by pursuing carbon neutral production of our future facing commodities, such as copper, nickel and potash to provide the essential building blocks of a net zero transition. "
"UK_BHP, 2021, Climate transition action plan 2021",[e],9,ee9f508f5972c12f355a13b933dd4774,"We intend to systematically integrate one or more Paris-aligned scenarios (including 1.5C scenarios) into our strategy and capital prioritisation processes beginning in FY2022. This will enhance our current approach, in which our 1.5C scenario is used to inform and test strategic portfolio decisions. For more information, see our discussion in section 4 Assessing capital alignment with a 1.5C world. "
"UK_BHP, 2021, Climate transition action plan 2021","[e, l]",9,861f70c765ed760ce5e589805b84b7cf,"We are furthering our approach to use of carbon offsets and supporting the market functionality required to enable their use. We believe carbon offsets are a necessary contributor to meeting the Paris Agreement goals, with offsets included in most credible pathways to a global net zero emissions position. BHP is a member of the Taskforce on Scaling Voluntary Carbon Markets (TSVCM), a private sector-led initiative sponsored by the International Institute of Finance. In January 2021, the TSVCM released a report 37 which states that a large-scale  voluntary carbon market is critical to reaching the Paris Agreement goals and estimates that voluntary carbon markets need to grow by more than 15-fold by 2030 in order to support the investment required to deliver a 1.5C pathway. "
"UK_BHP, 2021, Climate transition action plan 2021",[l],9,5b20c4469347e76bd8568ce58752253c,41 Net zero includes the use of carbon offsets as required. 
"UK_BHP, 2021, Climate transition action plan 2021","[e, k]",11,7f59ac7c97d979ec6029c79325d6d3ae,"In 2020, we set Scope 3 emissions goals for 2030 for processing of our steelmaking products and maritime transportation of our products, supported by an action plan and aligned to a long-term vision to support the economy-wide transition necessary to meet the Paris Agreement goals by working with customers and suppliers to achieve sectoral decarbonisation. Those goals are to  Support industry to develop technologies and pathways capable of 30 per cent emissions intensity reduction in integrated steelmaking, with widespread adoption expected post 2030  Support 40 per cent emissions intensity reduction of BHP-chartered shipping of our products  In this Plan, we are building on these medium-term goals. Our position reflects the challenges and opportunities in line with our strategy for increasing long-term portfolio exposure towards future facing commodities. Our recent proposed portfolio changes 44 are aligned with our strategic approach to manage risk and maximise value. While these decisions were not made for the purpose of setting a future Scope 3 position, upon completion, the changes would lower our total Scope 3 emissions inventory (refer to Energy products below). "
"UK_BHP, 2021, Climate transition action plan 2021",[k],11,efbef90728d7a655bee27a063fc66688,"As we shape our portfolio for the future, we are announcing our enhanced Scope 3 position. 45  While we cannot ensure the outcome alone, for our reshaped portfolio 46 , we are pursuing the long-term goal of net zero 47 Scope 3 greenhouse gas (GHG) emissions by 2050 to support the transition that the world must make. To progress towards this goal  we are targeting net zero for the operational GHG emissions of our direct suppliers 48 and the emissions from maritime transport of our products and  recognising the particular challenge of a net zero pathway for customers processing of our products,49 which is dependent on the development and downstream deployment of solutions and supportive policy, we cannot set a target, but will continue to partner with customers and others to accelerate the transition to carbon neutral 50 steelmaking and other downstream processes. We will also support the value chain by pursuing carbon neutral production of our future facing commodities, such as copper, nickel, and potash, to provide the essential building blocks of a net zero transition. "
"UK_BHP, 2021, Climate transition action plan 2021","[k, l]",14,323701d896d9328f6d7cfb834353ba9b,"The use of offsets will be influenced by factors including remnant lifecycle emissions associated with the production, processing and transport of marine fuels, any remaining third party-chartered vessel emissions and the effectiveness of on board carbon capture and offshore storage. We will monitor the relative emissions intensity of future low-emission technology and fuel, and use our position and actions to influence our value chain towards lower emissions-intensity options to minimise our use of offsets in meeting the target. "
"UK_BHP, 2021, Climate transition action plan 2021",[e],14,c890e49da27e0be3f75f58157c275330,"Steel is the backbone of the modern built environment and has an important role in decarbonisation. Our 1.5C scenario 62 modelling suggests the world is expected to need almost twice as much steel in the next 30 years as it did in the last 30. As climate action and the energy transition unfold, we expect steel to remain the key building block of global infrastructure, underpinning the energy and economic transition as well as broader development goals. "
"UK_BHP, 2021, Climate transition action plan 2021",[e],14,fddac2b9632b22052fd87dff2f26ad9c,"62 This scenario aligns with the Paris Agreement goals and requires steep global annual emissions reductions, sustained for decades, to stay within a 1.5C carbon budget. Refer to the BHP Climate Change Report 2020 available at bhp.comclimate for information about the assumptions, outputs and limitations of our 1.5C Paris-aligned scenario. "
"UK_BHP, 2021, Climate transition action plan 2021",[p],15,4eb1aa9b252637f0e13c1f7467e49431,"Utilising our deep understanding of the steelmaking process, we have developed a Steel Decarbonisation Framework to examine the stages that the industry must pass through on its decarbonisation journey, and associated technologies (Figure 4). The framework envisions an ultimate, assumed green end-state in which carbon neutral steel can be produced due to the adoption of incremental and transformative technologies such as hydrogen-based direct reduced iron (DRI) or electrolysis. This would require access to affordable renewable electricity, widespread commercial-scale low or zero carbon alternative fuels (like hydrogen and biofuels) and supporting infrastructure. In the transition to this green end state, additional abatement measures such as BF optimisation technologies (including use of low carbon fuels andor top gas recycling) and CCUS would also be necessary. "
"UK_BHP, 2021, Climate transition action plan 2021",[b],15,57301d9d080c17be99c32c392ba47f7b,"For more on BHPs views on the key technologies needed to decarbonise steel, refer to our Pathways to decarbonisation series available at (<httpsspo.bhpbilliton.comsitesGRPFY2021ARSClimate20Change20ReportDraftbhp.commedia-and-insightsprospects>)bhp.commedia-and-insightsprospects  Pathways to decarbonisation episode two steelmaking technologies  Pathways to decarbonisation episode three regional approaches to steel  Pathways to decarbonisation episode four hydrogen  There are a number of global uncertainties that must be reckoned with in terms of achieving net zero in steel. These are principally in the areas of technology development (including cost). Beyond this, there are a range of regional factors that are equally influential (and in some cases maybe more so) in determining likely future pathways. Key factors include  Availability of lower carbon raw material feedstock (including but not exclusively scrap)  Variable levels of policy support (either subsidies for technology or carbon pricing to incentivise abatement)  Exposure to international trade in steel and steel products  65 (<httpswww.iea.orgreportsiron-and-steel-technology-roadmap>)httpswww.iea.orgreportsiron-and-steel-technology-roadmap  66 See, for example, the Global Financial Markets Association,  Different regions will progress decarbonisation at different paces because of the factors outlined above. Todays policies and signposts indicate that most regions will only achieve a green end-state after 2050, as illustrated by the steel outcomes in our Central Energy and Lower Carbon scenarios (Figure 5)67 .  "
"UK_BHP, 2021, Climate transition action plan 2021",[e],16,1da67be4863448d7865df9da8e566a7b,"Deep Green seeks to simulate the specific impact on the steel sector of a much more rapid global convergence towards decarbonisation, universal access to zero emissions electricity and a US200 per tonne global carbon price. It is not like the whole-system modelling with global temperature outcomes like our Central Energy or Lower Carbon scenarios. Deep Green is also entirely separate to BHPs 1.5C scenario (which is a global top-down technical model more similar in approach to the Central Energy and Lower Carbon scenarios) In this Deep Green hypothetical, global steel emissions fall by around two-thirds from current levels, bringing absolute volumes well below the 1990 base level. That is significant, but is not net zero. Even in Europe, which has positive exposure to the factors outlined above, net zero is not achieved. Under the Deep Green hypothetical, primary iron demand could be modestly affected due to higher scrap use. Metallurgical coal demand volumes may be lower than projected in our climate change scenarios due to  higher penetration of alternative steelmaking processes. However, potential reduction in demand could be offset by expected increase in premiums for higher quality coal, which BHP would be well placed to capture. It is important to emphasise that we consider the likelihood of the Deep Green hypothetical to be much lower than our Central and Lower Carbon scenarios. "
