File,Codes,Page,ID,Text
"UK_Rio Tinto, 2021, Climate Report 2021","[e, q]",1,d6ffa62d2ee7b2549047907117eec104,"Producing materials essential for the low-carbon transition 6  Reducing the carbon footprint of our operations 10  Partnering to reduce the carbon footprint of our value chains 12  Enhancing our resilience to physical climate risk 14  Capital allocation alignment with our decarbonisation strategy 26  Visit (<httpswww.riotinto.com>)riotinto.com to find out more  Cover  Iron Ore Company of Canada (IOC) operations  Commitment to engage with iron ore and bauxite customers  to share decarbonisation plans and seek collaboration  Up to 3bn growth capital in materials enabling the energy transition  Investment in multiple low-carbon steel technology pathways  coordinated by dedicated steel decarbonisation team  our best estimate of capital spend on mitigation to 2030, of which 1.5bn in 2022-2024  External third-party assurance of our emissions and alignment of target with 1.5C  Customer partnerships with Baowu, Nippon Steel, POSCO and BlueScope  expected to reduce as energy efficiency work matures  and review all our industry associations positions and advocacy annually  targeting 1GW in the Pilbara and green repowering solutions for our Boyne Island and Tomago smelters  Scale up the ELYSISTM technology for installation from 2024  to incentivise efficiency and new mitigation projects  for emissions from process heat, mobile diesel, anodes and reductants  Net zero emissions from shipping by 2050 and 40 reduction in intensity by 2025  While there is broad consensus on the need to tackle climate change, there has not yet been sufficient action globally. Governments, civil society organisations, companies and investors converged at COP26 to reset their ambition to reduce emissions and work in partnerships to transform our economy to net zero. I was fortunate to attend the summit and came away from it more convinced than ever that Rio Tinto is an integral part of the solution to climate change. It was clear in Glasgow that this is the decade for action. The determination for action from the worlds largest economies was particularly significant. "
"UK_Rio Tinto, 2021, Climate Report 2021","[e, f, j]",6,90b0187cc37bc5f2419621c4b66a44d3,"We use global scenarios in our strategy and capital allocation processes to stress test our portfolio and investment decisions under alternative macroeconomic settings and commodity outlooks. We do this with a comprehensive and robust scenario framework structured around three global forces geopolitics, society and technology. One of our three scenarios has a temperature outcome of well below 2C, and although this is aligned with the goals of the Paris Agreement it is not as ambitious as a 1.5C trajectory. These scenarios are reviewed every year as part of our Group strategy engagement with the Board and inform our efforts to build a strong and resilient business as well as leverage new trends and opportunities. "
"UK_Rio Tinto, 2021, Climate Report 2021","[b, e]",6,862305f23430c26013c08b1f69d019de,"As part of our scenario process we also consider external scenarios, such as the IEA new NZE2050 scenario which has a temperature outcome of 1.5C. This scenario shows that the primary energy intensity of global GDP would need to fall by 4.5 each year to 2030, electricity share of final energy demand would need to rise to 28 by 2030, and emissions from the power sector would need to fall by 60 over the same period. This would represent a much faster energy transition over the next decade than is assumed in our scenarios, requiring a very high level of co-ordination in climate policies across sectors and countries. "
"UK_Rio Tinto, 2021, Climate Report 2021",[e],11,79ac35ea35f2f4fc295d0720de33491c,"We are accelerating the decarbonisation of our assets to strengthen our alignment with the goals of the Paris Agreement and aim to reduce our emissions by 50 by 2030. In 2021, our Scope 1 and 2 emissions fell to 31.1Mt CO2e, equivalent to a 4 reduction against our 2018 equity emissions baseline. "
"UK_Rio Tinto, 2021, Climate Report 2021","[a, e]",11,a1ee8663a1c0bdcdab4801fe079325a2,"Article 2 of the Paris Agreement sets out its main aims, which include holding the increase in global average temperature to well below 2C above pre-industrial levels and pursuing efforts to limit the temperature increase to 1.5C. In the Glasgow Climate Pact adopted at COP26, governments resolved to pursue efforts to limit the global temperature increase to 1.5C. The Pact states that this requires rapid, deep and sustained reductions in global greenhouse gas emissions, including reducing global carbon dioxide emissions by 45 per cent by 2030 relative to the 2010 level and to net zero around mid-century, as well as deep reductions in other greenhouse gases. This is consistent with the IPCCs Special Report on 1.5C that sets out multiple pathways to limiting warming to 1.5C which average around net zero emissions by 2050. "
"UK_Rio Tinto, 2021, Climate Report 2021",[e],11,b58136d0e22a899a929641617e9baa8e,"While there is no universal standard for determining the alignment of targets with the Paris Agreement goals, we assessed the alignment of our targets with 1.5C with the following  Estimated equity emissions in 2010 were 44.5Mt CO2e. Subtracting divestments between 2010 and 2018 brings this total to 35.0Mt CO2e. Our 2030 target is therefore equivalent to a 53 reduction from our 2010 equity emissions (excluding divestments). "
"UK_Rio Tinto, 2021, Climate Report 2021","[a, e]",11,370167e6b2721a6765365758926f7abe,Our commitment to reach net zero emissions by 2050 and our interim targets align with the science-based pathways set out in the IPCCs Special Report on 1.5C. 
"UK_Rio Tinto, 2021, Climate Report 2021","[d, e]",11,e9a632a22337d65f03a8c4e898ac648f,"The Science Based Targets initiative (SBTi) states that the minimum reduction required for targets in line with 1.5C scenarios is 4.2 in annual linear terms. Although we do not expect a linear trajectory to our target, this equates to 50 reductions over the period 2018-2030 (to the nearest percentage)1. "
"UK_Rio Tinto, 2021, Climate Report 2021",[e],11,466a836af48548302e10d8ec178ba244,"Based on this assessment, we conclude that our Scope 1 and 2 targets for 2030 are aligned with efforts to limit warming to 1.5C which is aligned with the stretch goal of the Paris Agreement. "
"UK_Rio Tinto, 2021, Climate Report 2021",[k],13,1cde2e95960bdf3db530d41fed6d5e70,"Emissions related to the processing of the iron ore, bauxite and alumina sold to our customers in the steel and aluminium sectors remain by far our largest sources of Scope 3 emissions. These are the value chains that we have prioritised for our partnership approach and we provide more detail in our Climate Action Plan on each of these sectors, including our Scope 3 goals and customer engagements plans. "
"UK_Rio Tinto, 2021, Climate Report 2021",[k],13,15eb3795bbd034e78b04ca195f9d96ad,"Our Scope 3 emissions were 554Mt CO2e in 2021 (down from 570Mt CO2e in 2020) and around 95 of this is from the processing of iron ore, bauxite and other products by our customers. 94 of these processing emissions take place at our customer facilities in China, South Korea, Japan and other countries that have pledged to be carbon neutral by around mid-century. As our customers start to align with their governments pledges, we note that about 28 of our iron sales are directly to steel producers that have already set public targets for their Scope 1 and 2 emissions (our Scope 3), and have ambitions to reach net zero by around mid-century. "
"UK_Rio Tinto, 2021, Climate Report 2021","[a, g, i]",16,6a49455adbbcf731ad7993118f3c6e13,"We use scenarios such as those developed by the Intergovernmental Panel on Climate Change (including the Representative Concentration Pathway 8.5 which has the highest warming) to inform our assessments of the probability and potential impact of these physical risks in the future. A desktop physical risk exposure assessment was conducted in 2018 and a summary of this assessment was published in our 2019 Climate Change Report. The analysis highlights that some of our operations have a high exposure to physical climate risk variables, and that these are material to Group revenue. "
"UK_Rio Tinto, 2021, Climate Report 2021",[k],17,c40c6325d47351c9bb38722d7b223210,2. Scope 3 emissions goals and customer engagement  The best way for Rio Tinto to contribute to the net zero transition is to work in partnerships to help shape demand for low-carbon metals and minerals. Our approach to addressing Scope 3 emissions is to engage with our customers on climate change and work with them to develop and scale up the technologies to decarbonise steel and aluminium production. 
"UK_Rio Tinto, 2021, Climate Report 2021",[k],17,4fca0e88ecc05e7d33c1fe8820b7c3eb,"The future trajectory of our Scope 3 emissions is dependent on our customers decarbonisation roadmaps, which in turn will be guided by technology development and government policies, including carbon pricing. The Net Zero Steel Initiative (NZSI) has developed a set of scenarios to explore such potential pathways in the steel sector. Should the industry follow the NZSI Tech Moratorium scenario, we estimate that Rio Tintos iron ore-related Scope 3 emissions would fall by 23 by 2035 and 42 by 2040, relative to our 2020 emissions. "
"UK_Rio Tinto, 2021, Climate Report 2021",[k],17,ec63a3782a692bad97afc0ca3c0057bc,"Close to 95 of our Scope 3 emissions are generated in countries that have carbon neutrality pledges and about 28 of our iron sales are directly to steel producers that have already set public targets for their Scope 1 and 2 emissions (our Scope 3), and have ambitions to reach net zero by around mid-century. We will monitor this metric and report progress on an annual basis. "
