File,Code,Text
"UK_Rio Tinto, 2022, Climate Report 2022",[Paris],"['Our Scope 1 and 2 emissions targets of 15% reductions by 2025 and 50% by 2030 are aligned with 1.5°C – the stretch goal of the Paris Agreement – and are really challenging. In contrast to many of our peers, about 80% of our emissions are driven by processing and producing metals and minerals, which are high temperature, hard-to-abate activities. The remaining 20% are from our mining operations. The low-carbon transition is complex: developing new technologies and implementing major projects to decarbonise our business will take time. ']"
"UK_Rio Tinto, 2022, Climate Report 2022",[Scope3],"['Our Scope 3 emissions were 584Mt CO2e in 2022 – over 1% of the global total. These are primarily from our customers in Asia, processing our iron ore into steel and bauxite into aluminium, so our level of control is limited. The best way to tackle these emissions is to work in partnerships to develop the technologies needed to produce low-carbon metals and minerals. Last year we increased our engagement with our customers, governments, universities and others. It is encouraging that the initial testing phase of our BioIronTM process showed great promise and demonstrated that using microwave energy and sustainable biomass as a reductant is well suited to Pilbara ores. And we are continuing to scale up the ELYSISTM technology – the world’s first carbon-free aluminium smelting process – towards the demonstration of even larger commercial-size cells. ']"
"UK_Rio Tinto, 2022, Climate Report 2022",[Scenario],"['In the past year, I have spent time engaging with a diverse range of stakeholders on the need to work together and address climate change with urgency. Given the structural changes we must make to our energy system, 2030 is just around the corner. Our success relies on our ability to strengthen our resilience to the physical, societal and economic effects of climate change and the energy transition, while building partnerships and capabilities that enable us to secure new opportunities. ', '“We will only invest in quality assets which will give robust returns under a range of economic, geopolitical and carbon scenarios, creating a resilient portfolio with significant upside to the energy transition. We are applying similar thinking to our approach to decarbonisation.” ', 'Our key assets are located in close proximity to our major markets: ']"
"UK_Rio Tinto, 2022, Climate Report 2022",[Offset],"['Minerals processing: commission Blue Smelting demonstration plant at RTIT, Quebec, to test ilmenite pre-reduction process. Commence industrial trials of biochar at RTIT Quebec Operations and RBM, and investigate options to develop a sustainable supply chain. Commission plasma burner pilot at IOC. ', 'Diesel transition: progress plans to convert the entire fleet at Boron to renewable diesel ahead of the requirement to do this in California in 2024. Develop a viable trolley assist option for the existing haul fleet to enable substantial reduction in diesel use while on trolley. ', 'Nature-based solutions: conduct feasibility studies for the development of five carbon offset projects. ', 'Nature-based solutions (NbS): we completed pre-feasibility studies for NbS projects at five high-potential landscapes. ']"
"UK_Rio Tinto, 2022, Climate Report 2022",[Scope3],"['1. Our net zero commitment applies to our Scope 1 and 2 emissions only. For planning purposes, we define short-term as up to two years, medium-term as 2-10 years and long-term as beyond 10 years. For our analysis of physical climate risks, we define short-term as 2030, medium-term as 2050 and long-term as 2100. ', '2. Scope 3 emissions goals and customer engagement ', 'Our approach to addressing Scope 3 emissions is to engage with our customers on climate change and work with them to develop and scale up technologies to decarbonise steel and aluminium production. ', 'Engaged with nearly all our direct iron ore sales customers (representing two thirds of our total iron-ore related Scope 3 emissions). This has led to decarbonisation collaboration and projects with customers accounting for 59% of our direct iron ore sales. ']"
"UK_Rio Tinto, 2022, Climate Report 2022",[Paris],"['Agreement to hold workshops on decarbonisation confirmed with three major customers representing over half of our sales. Further engagement with other bauxite customers will depend on the level of interest. ', 'Review biofuels plan following completion of 12-month trial. Progress partnerships on end-state fuels. ', 'Advance programme to install energy savings devices on our vessels during dry-docking. ', 'Incorporate (over 2023-24) nine LNG dual-fuel chartered vessels into our fleet. ', 'Advance iron ore green corridor development in partnership with the Global Maritime Forum. ', '3. Capital allocation alignment with our 1.5°C decarbonisation strategy ', 'We estimated that we will invest $7.5 billion in capital between 2022 and 2030 to deliver our decarbonisation strategy (approximately $1.5 billion over the period 2022 to 2024). ']"
"UK_Rio Tinto, 2022, Climate Report 2022",[Offset],"['We also expected our incremental operating expenditure to support the CAP to be in the order of $200 million per year, including research and development initiatives. For example, we planned to spend about $50 million on our iron and steel decarbonisation initiatives in 2022. ', 'Our capital expenditure on decarbonisation projects in 2022 was $94 million compared to an originally estimated spend of $500 million. Our incremental operational expenditure to support the CAP including spend on steel decarbonisation initiatives, was approximately $140 million. ', 'Depending on project planning, approvals and implementation, we estimate that our capital expenditure on decarbonisation will increase over the three years to 2025 and total $1.5 billion. Our incremental operational expenditure in 2023 is estimated to be $200 million for the six abatement programmes and offset development. ']"
"UK_Rio Tinto, 2022, Climate Report 2022",[Paris],"['– Operational expenditure on steel decarbonisation initiatives was $24 million in 2022. Resourcing constraints, COVID-19 lockdowns and the need to develop the business case for some technologies has delayed some projects. ', ' Climate policy engagement We continue to encourage our industry associations to align their advocacy with the goals of the Paris Agreement. We review the climate advocacy of our industry associations each year, and we publish our review on our website and consider it when we decide whether to renew our memberships. ', '– We published our review of industry associations in February 2022 and conducted an interim and year-end review of their advocacy. We engaged with four industry associations to discuss their climate advocacy. ', 'In 2023, we will publish our review of industry associations and maintain our engagement with them on climate advocacy. ']"
"UK_Rio Tinto, 2022, Climate Report 2022",Scenario,"['Our strategy and approach to climate change are informed by a deep analysis of the interplay of global megatrends, explored through the lens of plausible global scenarios. These set the context for our industry and underpin our commodity price outlooks, portfolio and capital allocation choices, and how we operate as a business. We recognise our success relies on our ability to strengthen our resilience to the ', 'physical, societal and economic effects of climate change and the energy transition while building partnerships and capabilities that enable us to secure new opportunities. ', 'Our strategy has three pillars, each backed by a series of commitments and ambitions. Our approach is supported by strong governance, with a focus on creating streamlined processes and building capabilities, including in green ']"
"UK_Rio Tinto, 2022, Climate Report 2022","[Paris, Scope3]","['materials processing, renewable energy deployment and nature-based solutions, which are expected to enable us to reach net zero emissions from our operations by 2050. The three pillars of our strategy inform our Climate Action Plan, which aligns with the CA100+ Net Zero Company Benchmark and was approved by our shareholders at our 2022 AGMs. ', 'Develop products and technologies that help our customers decarbonise ', 'Grow production of materials enabling the energy transition ', 'To strengthen our alignment with the Paris Agreement and our long-term ambition of achieving net zero emissions by 2050: ', 'We aim to reduce our Scope 1 and 2 emissions by 15% by 2025 and by 50% by 2030. ', 'We expect to invest an estimated $7.5 billion in decarbonisation projects, predominantly in the second half of the decade. ', 'To work with our customers to tackle full value chain emissions: ', 'We will increase research and development of cleaner products. ']"
"UK_Rio Tinto, 2022, Climate Report 2022","[Scenario, Paris]","['Our scenario approach is reviewed every year as part of our Group strategy engagement with the Board. We have recently updated our scenario framework to focus on two prevailing macro-level business concerns: the speed of global economic growth and the trajectory of climate action, each heavily influenced by global geopolitics and governance. Our two core scenarios (Competitive Leadership and Fragmented Leadership) are used to generate a central reference case for commodity forecasts and valuations. Additional scenarios (including our Paris-aligned Aspirational Leadership scenario) are used to further evaluate the positive and negative effects of the energy transition across our portfolio and stress test investment decisions. ']"
"UK_Rio Tinto, 2022, Climate Report 2022","[Scenario, IPCC]","['We determine the approximate temperature outcome in 2100 by comparing the emissions pathways to 2050 in each of our scenarios with those set out in the Shared Socio-economic Pathways (SSP) by the Intergovernmental Panel on Climate Change (IPCC). We do not undertake climate modelling ourselves, but we are consistent with the estimates for temperature and cumulative temperature between 2020 to ']"
"UK_Rio Tinto, 2022, Climate Report 2022","[Scenario, IPCC, Paris]","['2050 in the SSPs. The emissions pathway of Aspirational Leadership is most closely aligned with the IPCC’s shared socio-economic pathway 1 (SSP1-1.9) with emissions reaching net zero by 2050, which limits warming to 1.5°C. Competitive Leadership is most closely aligned with SSP1-2.6 (approximately 2°C of warming) and Fragmented Leadership is aligned with emission scenarios SSP2-4.5 (temperatures exceeding 2.5°C by 2100). We also use the IPCC’s highest emissions scenario (SSP5-8.5) when assessing the physical risks of climate change. So, when assessing risks and opportunities to the business we use a 1.5°C-aligned scenario to assess a fast low-carbon transition and we use the highest emissions and high temperature outcome scenario (SSP5-8.5) to assess physical climate risks. While there are many uncertainties about how a changing climate may negatively affect gross domestic product (GDP) growth, physical impacts of climate change are integrated into the GDP growth assumptions in our three scenarios. These are most significant in Fragmented Leadership and least significant in Aspirational Leadership. The steel sector ']"
"UK_Rio Tinto, 2022, Climate Report 2022","[Scenario, Scope3, Paris]","['transition scenarios in the value chain section of this report are presented to highlight the roles and timing of different low-carbon steelmaking technologies and to develop projections of our potential future Scope 3 emissions from processing our iron ore. ', 'At the UN Climate Summit in late 2022 (COP27), there was broad recognition that the pace of decarbonisation across the global economy is too slow to limit warming to 1.5°C and that current climate policies in many countries are not yet aligned with their stated ambitions. Consequently, neither of our two core scenarios are consistent with the expectation of climate policies required to accelerate the global transition to meet the stretch goal of the Paris Agreement. Although our operational emissions reduction targets align with the goals of the Paris Agreement, our two core scenarios do not. Therefore, we also assess our sensitivity and the economic performance of our business against our Aspirational Leadership scenario, which reflects our view of meeting the stretch goal of the Paris Agreement. ']"
"UK_Rio Tinto, 2022, Climate Report 2022","[Scenario, Paris]","['Fragmented Leadership is characterised by limited progress on policy reform with volatile low growth. The business environment is defined by weak final demand and greater uncertainty, and requires close ties with governments to manage risk. It is a world defined by geopolitical and domestic tensions, spurred by populist agendas that offer leaders little opportunity to build consensus around reform and environmental agendas. Nations eventually achieve their 2030 Nationally Determined Contributions (NDC) as agreed in Paris in 2015 but abandon further progress toward long-term carbon goals as outlined at COP26 in Glasgow. Climate policy is insufficiently ambitious to incentivise significant mitigation in industrial sectors resulting in flat global emissions post-2030; consequently global warming exceeds 2.5°C and the physical impacts of climate change limit GDP growth in this scenario. ']"
"UK_Rio Tinto, 2022, Climate Report 2022",Scenario,"['Competitive Leadership reflects a world of high growth and strong climate action post-2030, with change driven by policy and competitive innovation. A proactive reform environment encourages stronger business innovation, higher investment and improved productivity. This allows global GDP to continue growing at close to recent historical levels with a growing contribution from India and other developing countries. The increasing prevalence of major climate events after 2030, and ongoing pressure from civil society organisations and businesses to provide policy certainty, continue to galvanise national and international climate action. As a result, nations drive against historical precedent toward achieving their Glasgow Climate Pact commitments, resulting in global GHG emissions falling from 54 Gt CO2e today to 21 Gt in 2050. ']"
"UK_Rio Tinto, 2022, Climate Report 2022",[Paris],"['Aspirational Leadership reflects a world of high growth, significant social change and accelerated climate action with all countries setting new NDCs that collectively achieve net zero emissions by mid-century. Domestic politics is driven by demands for economic prosperity, social justice and environmental action. Despite geopolitical differences, major economies tend to work together through multilateral frameworks and proactively work towards limiting temperature change to 1.5°C. This results in developed economies and China leading from the front, implementing large increases in carbon pricing, sharply lowering the material intensity of their economies and providing strong financial support to low-income economies. The Aspirational Leadership sensitivity is designed to reach net zero by 2050, and to help us better understand the world on a 1.5°C pathway and what this would mean for our business. ', 'Global average carbon prices1 in 2030, (2021 US$/t CO2 eq) ']"
"UK_Rio Tinto, 2022, Climate Report 2022","[Scenario, IPCC, IEA]","['Energy intensity of global GDP, toe/$ 1000 2015 PPP ', '1. Carbon prices are used as a proxy for a broader range of climate policies. ', '2. 11% p.a. decline in CO2 emissions based on 2021-49 period in net zero pathway (by 2050). Emissions in 2030 are highest in Competitive Leadership due to high GDP growth. ', '3. 2021-50 CAGR based on global electric vehicle sales. ', 'Group scenario global GHG pathways compared to IPCC scenarios (temperature outcomes in 2100) ']"
