File,Codes,Page,ID,Text
"UK_Unilever, 2021, climate transition action plan 2021",[e],4,98fe449308eb0ff79bf871422175a1e4,"Our Climate Transition Action Plan sets out a range of targets and actions designed to deliver an emissions reduction pathway consistent with the 1.5 ambition of the Paris Agreement. Our primary focus in the 2020s and 2030s will be on emissions reduction, not offsetting. "
"UK_Unilever, 2021, climate transition action plan 2021",[e],5,ef6f790bd12554633d69e2afb943f127,"The world is embarking on a Race to Zero. Meeting the Paris Agreement goal of holding the increase in the global average temperature to well below 2 degrees above preindustrial levels, and pursuing efforts to limit that increase to 1.5 degrees, will require an unprecedented global effort to halve greenhouse gas (GHG) emissions this decade, achieve a net zero position by 2050 at the latest and shift to an overall removal of GHGs on an annual basis post-2050. "
"UK_Unilever, 2021, climate transition action plan 2021",[f],9,9b2e2c06048b965068b12fc47e1a7813,"Our Medium-term Emissions Reduction Target and our Medium-term Value Chain Emissions Reduction Target have been formally approved by the Science Based Targets initiative (SBTi), a multi-stakeholder climate initiative. This means that they have assessed the targets against the emissions reduction pathways necessary for the world to limit global average temperature rise 2 degrees above preindustrial levels and found them to be consistent with that outcome. "
"UK_Unilever, 2021, climate transition action plan 2021",[e],9,7ed0d1762f5b15f633e3af1e547697c6,"In addition, the Medium-term Emissions Reduction Target has been approved by the SBTi as consistent with the 1.5-degree ambition of the Paris Agreement. "
"UK_Unilever, 2021, climate transition action plan 2021",[e],10,4561274921e6e8009939dcfaee151603,"Our suite of targets is designed to guide our approach, which we propose will be as follows  In the 2020s and 2030s, our primary focus will be emissions reduction across our value chain, consistent with the 1.5-degree ambition of the Paris Agreement. "
"UK_Unilever, 2021, climate transition action plan 2021",[l],10,f2bae5ab5831312392984af655efa91e,"We expect that the business cases for such investments will be grounded in how these projects are brought to life with consumers, driving preference for our brands. However, some of these projects may generate carbon credits, and brands may seek to use those credits to support consumer-facing claims of carbon neutrality. Where this happens, this would be in addition to making progress towards our emissions reduction targets, not a means of achieving them.  On the following page, we explain why. "
"UK_Unilever, 2021, climate transition action plan 2021","[e, l]",11,d98d6008e3ac0634ea1751aa125b6ed5,"Our view of carbon credits and offsetting on the journey to net zero  In order to help investors and other stakeholders understand our position on carbon credits and offsetting, we have set out a summary here  Internationally recognised and verified carbon credits can be generated from actions that avoid, reduce or sequester greenhouse gas emissions. There is growing societal interest in the role they might play in achieving the Paris Agreement goals. "
"UK_Unilever, 2021, climate transition action plan 2021","[n, o]",11,c86f253edb282d81b4abb1b77841057f,"Neutralisation, often known as carbon removals  credits generated through direct removal of GHGs from the atmosphere. This can include planting new trees that sequester carbon, or technological solutions such as direct air capture with the carbon sequestered underground. "
"UK_Unilever, 2021, climate transition action plan 2021","[e, l]",11,f41e2ee91c521fb42ef033d9a7cbfe85,"This practice is attractive to some companies because it can be cheaper to purchase compensation credits from outside a value chain than to tackle the more fundamental transformations within it. But by delaying these transformations, the world may miss the window to limit global temperature rise to 1.5 degrees above preindustrial levels. "
"UK_Unilever, 2021, climate transition action plan 2021",[e],12,6cc810c003654e610d93e7ad58d586e2,The graph shows both the gross and net emissions reductions consistent with the Paris-aligned pathway. It illustrates net zero as the state at which a companys emissions to the atmosphere are balanced with carbon removals from the atmosphere. 
"UK_Unilever, 2021, climate transition action plan 2021","[e, l]",12,e645d224298590cda9cf1ec5a43b0f1e,"We have committed to reducing gross emissions in our value chain in line with the Paris-aligned trajectory to 2030, and we have committed to balancing residual emissions by 2039 and from then onwards with carbon removal credits. "
"UK_Unilever, 2021, climate transition action plan 2021","[a, e]",16,fa584f277f1430bae98672c3ffd10d0a,"In setting a target to reach zero emissions by 2030, we have assumed that the conversion of gas-fired boilers to biomass will reduce Scope 1 emissions to zero, based on IPCC guidance for the treatment of biomass emissions. We recognise that there is a societal debate on biomass as a zero-emission fuel source.  Were the guidance to change to prevent biomass being counted as zero-emission, this could impact our ability to achieve a 100 reduction by 2030. However, thanks to the decarbonisation achieved through renewable electricity and other renewable thermal technologies (for example, solar thermal), we believe our emissions reduction by 2030 would still be consistent with the 1.5-degree ambition of the Paris Agreement. "
"UK_Unilever, 2021, climate transition action plan 2021",[e],17,79df2caa30859567d240f4617b8ce3f9,"Over the past five years, we piloted different carbon pricing schemes including a programme that taxed divisional capital expenditure budgets in order to create a centrally managed Low Carbon Fund. The fund was used to accelerate clean technology investment at our sites. We have decided to replace this programme with an explicit commitment to ensure that future capital expenditure is aligned with the Paris Agreements objective of limiting global average temperature rise to 1.5 degrees. "
