File,Codes,Page,ID,Text
"UK_bp, 2024, net zero progress update 2024",[e],1,ff2612580c4d136d9f289cba80a86f2d,"The scenarios which inform our net zero ambition 3  (<>)Governance 29 (<>)Evaluating capital investment for consistency with Paris 30  This report is an update on progress against our net zeroambition. Our ambition, which is to become a net zero company by 2050 and to help the world get there too, remains unchanged. We are aiming for net zero across our operations, production and sales, by 2050 or sooner. "
"UK_bp, 2024, net zero progress update 2024",[e],1,1e3d11795dc92348fcef5bc3a1706ebe,"The report includes a reminder of why we believe our ambition is consistent with the Paris goals and our planned actions this decade. We chose to focus on our activity up to 2030 as the actions we are taking now will help set the foundations for achieving net zero after that, by 2050 or sooner and for our efforts to help the world reach net zero. "
"UK_bp, 2024, net zero progress update 2024",[e],2,efab44ac03cdf283e5184a5d03a8a5e7,"We also set the ambition to be a net zero company by 2050 or sooner and to help the rest of world get to net zero. Over the past four years weve made real progress and learned a lot. I am confident that we can translate those learnings and progress into delivery and value going forward. Importantly, our net zero ambition is backed by our shareholders, employees and board. And the board remains firmly of the view that bps strategy is consistent with the Paris climate goals. "
"UK_bp, 2024, net zero progress update 2024",[e],3,b4c3904f9e62dbc9b4e98e6089445786,"The scenarios which inform our net zero ambition 3  Consistency of our ambition and aims with the Paris goals 6  net zero Our ambition In this section Introduction 2 bp Net Zero Ambition Progress Update 2024 Cherry Point refinery, Washington, US Glossary and appendices Helping the world get to net zero Governance and capital allocation Getting bp to net zeroOur net zero ambition  The bp Energy Outlook 2023 explored the trends and uncertainties surrounding the energy transition out to 2050. The Outlook helps inform bps core beliefs about the energy transition. "
"UK_bp, 2024, net zero progress update 2024",[e],4,014844f2b9b2adbfca0026632cabb2e1,"Global carbon emissionsb Gt of CO2e 2000 2010 2019 2030 2040 2050 0 10 20 30 40 History Net Zero AcceleratedNew momentum  Captures the broad trajectory of the current global energy system. Places weight on the marked increase in global ambition for decarbonization in recent years, as well as on the manner and speed of decarbonization seen over the recent past. CO2equivalent (CO2e) emissions from energy and industrial process peak in the 2020s and by 2050 are around 30 below 2019 levels. This scenario is not considered to be a Paris-consistent pathway. "
"UK_bp, 2024, net zero progress update 2024",[e],4,9742a3116f48996fcef499aa7f2507d6,"This scenario represents a shift in societal behaviour and preferences which supports gains in energy efficiency and the adoption of low carbon energy, with global energy system CO2 emissions falling by around 95, relative to 2019 levels. This scenario is considered consistent with Paris, broadly aligning with pathways maintaining global temperature rises below 1.5C. "
"UK_bp, 2024, net zero progress update 2024",[e],4,b34efc5a02332c43d074624b939f8ef7,"Explores what elements of the energy system might need to change if the world collectively takes action for CO2-equivalent emissions (CO2e) to fall by around 75 by 2050, relative to 2019 levels. This scenario is considered consistent with Paris, broadly aligning with well-below2C pathways. "
"UK_bp, 2024, net zero progress update 2024","[a, b, e, j]",5,0071c2c72a2219964a7c0e6de1d620d6,"In keeping with others, such as the IPCC and International Energy Agency, we believe that there are a range of global pathways to achieve the Paris goals, with differing implications for regions, industries and sectors, so business strategies need to be resilient to this uncertainty. "
"UK_bp, 2024, net zero progress update 2024",[d],5,bc0a89eadea84e8cb4050aebfe86eedb,"We have conducted an analysis to test our strategic resilience to different climate-related scenarios, using the WBCSD (World Business Council for Sustainable Development) Scenario Reference Catalogue, which was developed at the request of the TCFD (Task Force on Climate-related Financial Disclosures)a . "
"UK_bp, 2024, net zero progress update 2024","[d, e]",5,424c790bc78106527fc6557b14580fa4,"Our approach to this scenario analysis and resilience test, and our key insights from them, are discussed in our TCFD Strategy disclosures in the bp Annual Report 2023. Overall, while the results of any such analysis must be treated with caution, this resilience test again reinforced our confidence in the continued resilience of our strategy to a wide range of ways in which the energy system could evolve throughout this decade, including in scenarios consistent with limiting temperature rise to 1.5C. "
"UK_bp, 2024, net zero progress update 2024",[d],5,8aaa261ad2284396a440f4b680c3bbb3,"The analysis also highlighted again that, while WBCSD data may point towards a broad directional correlation between oil price and the temperature goal with which scenarios are associated, there is considerable uncertainty as to the extent of this correlation. This is demonstrated by the range within, and overlap between, the prices indicated for each scenario family. "
"UK_bp, 2024, net zero progress update 2024","[d, e]",5,42eec7b653b3c79dcc2bffc7d513625d,"Read more on how we conducted our scenario analysis and resilience test, in the 8  Supplied by bp and Virent, the first 100 SAF-fuelled commercial transatlantic flight flew from London Heathrow to JFK airport in New York in November 2023. London Heathrow airport, UK  a Our 2023 analysis used data from the WBCSD Climate Scenario Catalogue version 2.0, published on 31 March 2023 and downloaded on 1 February 2024, which includes scenarios considered to be consistent with well-below 2C and 1.5C outcomes. "
