File,Codes,Page,ID,Text
"USA_APA, 2023, APA US Sustainability Report",[b],16,6f8cb10e09b8437dca04b29359944496,"Energy Trilemma Challenge 1  Meeting global energy demand  In 2023, demand for oil and gas is expected to reach record levels, surpassing the pre-COVID peak in 2019. Further, hydrocarbon demand is now expected to continue growing through at least 2030, and the International Energy Agency predicts that oil and gas will continue to play a substantial role in the worlds energy mix through 2050. "
"USA_APA, 2023, APA US Sustainability Report",[d],33,248a41401bf244b23f52eb9e590bec2f,"Task Force on Climate-related Financial Disclosures (TCFD) Scenario Planning Framework  Scenario and portfolio planning are part of our ongoing business planning and risk management processes. When formulating our long-term investment and development plans, we consider a range of pricing scenarios, including scenarios in a carbon-constrained world that assess the potential climate-related risks and opportunities influencing fossil fuel supply and demand. However, to continue to improve our understanding of the potential risks and opportunities associated with climate change, we updated our TCFD-aligned, climate-focused scenario planning analysis in 2023. This analysis includes forecasts of future demand and pricing in energy markets and changes in government regulations and policy that might occur based on different scenarios. "
"USA_APA, 2023, APA US Sustainability Report",[d],33,f8314de2b982552e484a52e02d7ed42f,"Given the dynamic nature of our business, APA traditionally performs annual scenario analyses with five-year time horizons, which include the input of experts from several internal functional areas. However, we appreciate the value of climate-related financial analysis with longer-term supply demand, regulatory frameworks and pricing taken into consideration, as recommended by TCFD. In 2021, we first incorporated these longer-term views into our planning process, using external analysis for demand, carbon and commodity comparison-pricing scenarios. These external cases are then compared to our internally prepared base-case pricing analysis, averaged out to 2040. "
"USA_APA, 2023, APA US Sustainability Report","[b, d]",33,f1748ceb572ccc878a3c118cdca53fa1,"scenarios, please read our comprehensive TCFD-aligned  Specifically, we included the following International Energy Agency scenarios from the 2022 World Energy Outlook report the Stated Policies Scenario and Announced Pledges Scenario. Under both future pricing scenarios considered, the break-even prices referenced in each of APAs core areas of operation indicate the long-term potential for generating positive returns. "
"USA_APA, 2023, APA US Sustainability Report","[b, d]",121,04f626662f41d27f156fe354f848cd05,"of TCFD-related disclosures throughout the report.)  In this 2023 Sustainability Report, we updated our scenario analysis to disclose our performance against the 2022 International Energy Agency (IEA) World Energy Outlook (WEO) scenarios. We also provide analysis of our climate-related risk exposure aligned with the TCFDs recommendations on how to communicate information on climate change-related governance, strategy, risk management, metrics and targets. "
"USA_APA, 2023, APA US Sustainability Report","[d, j]",122,0821f4626950c847df9b5309cf1f6e8b,"This year, we revised and updated our scenario-planning analysis to better align with TCFD recommendations by adding details related to the timing of climate-related risks and opportunities. Scenario planning has long been embedded in our ongoing business and risk management processes, to assess how commodity demand drives the price for our products. Two recent examples include the oil price crash that resulted from plummeting demand due to COVID-19 and the impact of Russian aggression in Ukraine on natural gas prices across Europe. Undertaking scenario analyses is particularly important given that our international asset portfolio exposes us to multiple commodity prices and a broader range of regulatory pressures than those experienced by pure-play operators or our U.S. onshore-focused peers. Our scenario-planning analysis includes the input of experts from multiple internal functional areas for a more rigorous, multidisciplinary approach. "
"USA_APA, 2023, APA US Sustainability Report",[i],122,42565377ec71224d69e8635a38e9f1b7,"We consider a range of pricing scenarios when forming our long-term investment and development plans. These include scenarios of a carbon-constrained future, which reflect the potential climate-related risks and opportunities influencing fossil fuel supply and demand. However, our expanded, climate-specific scenario-planning framework goes even further, by including market-based third-party forecasts of future demand and of pricing in energy markets, based on assumptions concerning changes in government regulations and policy. "
"USA_APA, 2023, APA US Sustainability Report","[d, i]",122,72b131e58d39c0e1e751796039c64868,"The TCFD guidance recommends that companies consider risks relating to the potential impact of climate change over near-, medium- and long-term time frames. The dynamic nature of our business has been clearly demonstrated by the commodity price volatility observed over the last three years, driven by the global pandemic and by geopolitical impacts on global markets. Given such volatility, we believe that our scenario analyses should be conducted over medium-term time frames since, in our view, it is challenging to accurately assess scenario outcomes beyond a five-year time horizon given the number and unpredictability of variables. As a result, in our climate-related risk assessments, we include external predictions of demand, carbon pricing and comparison-pricing scenarios compared to our base-case pricing analysis, which we have projected out to 2040. "
"USA_APA, 2023, APA US Sustainability Report",[b],123,eb4d2524f46da75d1a3c22e83409ea4d,"We include in our analysis the following IEA scenarios from the 2022 WEO report, which we compare against our internal APA base-case scenario the Stated Policies Scenario (STEPS) and the Announced Pledges Scenario (APS). We do not currently have a policy for zero and, therefore, did not use the Net Zero Emissions by 2050 (NZE) scenario. Under the pricing scenarios considered, the third-party break-even prices referenced in each of APAs core areas of operation indicate the long-term potential for generating positive returns. "
"USA_APA, 2023, APA US Sustainability Report",[b],123,dd11a50c07233f8194bca5c77f8d24c0,"The STEPS reflects all current governmental carbon policies, assessed sector to sector. Under this scenario, carbon pricing is applied to the companys U.K. oil production only. For the 2021 STEPs, the IEA modified the 2020 scenario to reflect the higher demand for fossil fuel seen today, and it projects a leveling of demand after 2030. The 2022 STEPS shows a cumulative growth in world oil demand to 102 million Bbls of oil per day by 2030, and then remaining relatively flat through 2050. In the STEPS scenario, oil prices are shown to climb to 82 per IEA Bbl in 2030, and as demand levels off, the oil price rises to 95 per IEA Bbl in 2050. "
