File,Codes,Page,ID,Text
"USA_Anglo American, 2023, annual report full 2023",[e],50,fcbcad2d3fc32133f5642102c0027690,"In 2015, we demonstrated our commitment to the Paris Agreement through our signature of the Paris Pledge for Action. That pledge demonstrates our willingness to work to support efforts in meeting and exceeding the ambition of governments to keep the world on a trajectory that limits the global warming temperature rise to well below 2C. "
"USA_Anglo American, 2023, annual report full 2023",[d],50,814ab43cb31e6f3d92a6b1ff7f4a2670,"For more information on our executive remuneration (<>)See pages 178211  The scientific evidence of human-induced climate change is clear. However, the longer term impacts to our business remain subject to extreme uncertainty. As a consequence, our risk management processes embed climate change in the understanding, identification and mitigation of risk. We have aligned ourselves with the Task Force on Climate-related Disclosures (TCFD) recommendations on climate-related risks and we are committed to disclosing in alignment with the recommendations of the UKs Transition Plan Taskforce. "
"USA_Anglo American, 2023, annual report full 2023","[e, i]",51,c26171af47b5ce1e83e931079607f599,"Outlook for mining commodity profit pools (Indexed 2050 vs 5 year average (20192023))  Highly positive >3.0x(1) Positive 2.0x Neutral 1.0x Current levels Negative 0.0x Copper Nickel Iron ore(2) SMC(3) PGMs POLY4(4) Diamonds n Reference pathway, 2.5C   n 1.5C   Physical risksopportunities The potential impact on our operations and surrounding communities from both acute extreme weather events and chronic shifts in climate patterns and the required adaptations to minimise these effects. "
"USA_Anglo American, 2023, annual report full 2023","[a, e]",51,8319a33e2e01c1a76e65d58e5f1f39e9,"Transition risks and opportunities in a 1.5C scenario  To consider potential transition impacts and inform our strategic choices, we have used the Wood Mackenzie Energy Transition Outlook (ETO) as the reference case scenario, one that is expected to result in 2.5C warming. We contrast this with the Wood Mackenzie Accelerated Energy Transition (AET) scenario which limits an increase in global warming to 1.5C. Our judgement is that these two scenarios cover the appropriate range of outcomes within  which to assess the impacts of transition risks. The Wood Mackenzie scenarios do not, however, include agriculture, forestry and other land use (AFOLU) developments and emissions. To account for this, we have supplemented the Wood Mackenzie forecasts with various scenario outlooks vetted by the IPCC for AFOLU. "
"USA_Anglo American, 2023, annual report full 2023",[e],52,a0f1b0495f4880a0a3ccab26816d328d,"With potential further tightening of air quality legislation, PGMs play a crucial role in reducing pollution from ICE vehicles, through PGM-containing catalytic converters. This is expected to be an interim step towards more comprehensive transportation decarbonisation  As intermittent renewable power generation accounts for an increasing share of power grids, hydrogen is a potential energy storage solution. PGMs will play a major role across the upstream, midstream and downstream segments of the hydrogen value chain. PGMs are required upstream for polymer electrolyte membrane (PEM) electrolysis the synthesis, dehydrogenation  and cracking in the midstream and the separation, purification and compression downstream  As FCEVs become necessary to decarbonise heavy-duty vehicles, demand for PGMs is expected to grow  Hybrid vehicles, which contain similar quantities of PGMs as ICE vehicles, are expected to play a role in the decarbonisation of vehicles, even in the longer term  An accelerated shift away from ICE vehicles towards BEVs poses a downside risk for PGMs which are contained in ICE catalytic converters and in FCEVs  Greater adoption of public transportation, ride sharing and other mobility levers could limit demand for personal vehicles  As reforestation efforts grow, available land for crop development will decrease, leading to an increase in fertiliser use to improve crop yield  Increasing efforts to decrease emissions from farming  Polyhalite may also support efficient use of nitrogen fertilisers to reduce excess nitrous oxide soil emissions, as well as reverse the degradation of soil and the resultant carbon emissions. All else being equal, the lower carbon nature of polyhalite may justify a price premium over higher emission alternatives  Across scenarios, there is high uncertainty related to future consumer behaviours and attitudes to diamond jewellery as well as historical cyclicity in demand, although we expect carbon neutral diamond producers, such as De Beers, to benefit from evolving consumer preferences. However, these factors are not directly influenced by the differences across the scenarios. Due to this, we believe that the net impact on rough diamond demand is likely to be immaterial across scenarios  Short to medium Short to long Medium to long Long Neutral Key Risk Opportunity Short term  05 years Medium term  515 years Long term  15 years  The evolution of the industry sectors our products serve could create risks and opportunities for our portfolio. Similarly, the technological developments that underpin the transition of each sector could also present risks and opportunities for our products. For example, the speed and technology mix of the transition towards low carbon vehicles  specifically, the mix of BEVs, FCEVs and hybrid vehicles  will impact the outlook for the PGMs we produce. The table on page 51 summarises the risks and opportunities we have identified between the reference case and the 1.5C scenario against which we have assessed our resilience. "
"USA_Anglo American, 2023, annual report full 2023",[j],53,460496a23b86399c0ec1c60f78b255b8,"In assessing our resilience to alternative climate scenarios, we pressure test whether our strategy is robust and our financial position resilient across those climate scenarios. We consider a number of dimensions and assess risks identified against our internal risk appetite threshold. We test resilience on a first-order effect basis, meaning that we do not include any adaptive measures we may take as we see indications of industry shifts or the effects of megatrends. This assessment therefore shows a worst case scenario test of our resilience because, in reality, we would be able to shift the focus, capital and effort of the business depending on the nature of the transition risk. "
"USA_Anglo American, 2023, annual report full 2023","[e, j]",53,a80bfbd41d307552b004e83a586d072c,"Through this assessment, we have concluded that our business is resilient in the 1.5C pathway. Our profit pools remain attractive and our diversified portfolio allows us to make changes and grow as needed as the world transitions. We are committed to playing a role in supporting, and our portfolio contains several materials critical to, the transition to a low carbon economy. Our balance sheet, free cash flows and value of the business remain  robust  both at the 2050 scenario end-point and throughout the transition period. "
"USA_Anglo American, 2023, annual report full 2023","[e, j]",53,f2e486f80691dfcd13d7f7a6bdef3973,"Across the two scenarios, we assessed cash flow development through to 2050. We expect our cash flow to remain resilient under both the reference pathway and the 1.5C pathway, while the range of cash flow change across the scenarios falls within our risk tolerance, giving us confidence in our business resilience. "
"USA_Anglo American, 2023, annual report full 2023","[e, f]",53,ccf7cf5cb88c09d881df4f23113138b0,"While we have assessed the strategic and financial resilience of our portfolio under 1.5C and 2.5C scenarios, it should be noted that these scenarios are not used for financial reporting purposes as no single scenario is representative of managements best estimate of the likely assumptions that would be used by a market participant when valuing the Groups assets. "
"USA_Anglo American, 2023, annual report full 2023",[j],53,b0b8e0cec127e0005d3479be5d82c016,"Our global footprint means we operate in places which are experiencing differing effects of climate change. To understand and monitor these risks and plan for any necessary short, medium, and long term adaptive measures, we have established a robust Physical Climate Change Risk and Resilience (PCCRR) framework. Our PCCRR framework combines top-down climate change projection models with bottom-up assessments of the local vulnerabilities and adaptive capacities to anticipate emerging impacts. This builds upon and standardises work undertaken previously at our sites on physical climate risk, as detailed in our 2022 Climate Change Report. Our aim is to ensure that the resilience of our operations, communities and partners today continues into the future. "
