File,Codes,Page,ID,Text
"USA_Devon Energy, 2023, Climate Change Assessment Report",[d],1,3085ab84033d816d0ddfc7359d6cd9c5,"We are taking a balanced approach to delivering sustainable energy the world needs. Our aim is to be a climate-conscious, low-cost, low-carbon energy producer, while delivering strong results and creating long-term shareholder value. In other words, we support and are actively pursuing an approach that is a) realistic, b) appreciates global needs for affordable energy access, and c) does not gloss over the difficulties of achieving climate goals. To support our aim, we have a three-pronged net zero strategy  Decrease the carbon intensity of our operations by reducing Scope 1 and 2 GHG emissions to net zero by 2050, supported by annual and interim goals, prioritizing the reduction of flaring and methane emissions  Disclose our progress and strengthen governance practices around climate change risks and opportunities  Evaluate opportunities to create value in the transition to ever-cleaner forms of energy, with thoughtful capital allocation  We are committed to deepening our understanding of climate-related risks and opportunities by utilizing the tools put forth by the Task Force on Climate-Related Financial Disclosure (TCFD), including the scenario analysis and disclosures in this report. The models we have examined in this report reflect our most robust analysis to date on the  resiliency of our portfolio to both transition and physical risks related to climate change. This report considers the impacts of third-party base case, and alternative carbon-constrained, fundamental scenarios and the impact the scenarios would have on our portfolio. This report also considers the impact of exposure and sensitivity to potential physical impacts of climate change for Devon assets. We plan to continue to strengthen our transparency surrounding climate-related risk with a goal of continued alignment with the TCFD recommendations. "
"USA_Devon Energy, 2023, Climate Change Assessment Report","[b, e, a]",2,0f3cf14b65ca47e3a8142d286adc447a,"Governance Strategy Risk Management Metrics and Targets  This report was prepared by Devon with support from third-party consultants. Devon retained ICF1 to help assess the companys market risk and the oil and natural gas portfolios resilience in the face of potential impacts of climate policy on oil, natural gas, and natural gas liquids (NGL) demand, production, and prices as well as basin-level exposure to potential physical risks from a rapidly changing climate. In order to evaluate the potential market risks to the companys portfolio from a possible carbon-constrained future, Devon evaluated pricing scenarios and model results from both ICF and the widely referenced International Energy Agency (IEA), including the IEAs 2022 World Energy Outlook (WEO) Net Zero Emissions by 2050 Scenario, which targets a 1.5C stabilization in the rise in global average temperatures. In order to evaluate the potential physical risks to the companys assets, Devon considered a representative set of climate projections for a range of climate and extreme weather hazards related to temperature, precipitation, drought, and winter storms through the late-21st century. The climate projections were based on scenarios from the Intergovernmental Panel on Climate Change (IPCC). "
"USA_Devon Energy, 2023, Climate Change Assessment Report",[j],2,61377b8b5a231c0d81ea1f3623bbc55f,"In carbon-constrained future scenarios, demand for oil and natural gas is substantially reduced. However, even in such carbon-constrained scenarios, oil and natural gas remain crucial to meeting global energy demand and North American oil and natural gas production plays a large role in meeting that demand. Low-cost oil and natural gas resources in the basins in which Devon operates are expected to be some of the most resilient in the aggressive low-carbon scenarios modeled in this report. "
"USA_Devon Energy, 2023, Climate Change Assessment Report",[b],2,3156516060287f9e58ef0899bcbd6105,"Due to changes in the International Energy Agencys World Energy Outlook, this report replaced previous reports Sustainable Development Scenario (SDS) carbon-constrained scenario with an Announced Pledges Scenario (APS), which limits global median temperature rise in 2100 to about 1.7 C. This report also added a Net Zero Emissions (NZE) by 2050 Scenario, which includes steep declines in oil and natural gas demand. "
"USA_Devon Energy, 2023, Climate Change Assessment Report",[j],2,8f25ec19c6772a1dfc9e0e316dcef41f,"Based on the comparison of projected regional price impacts with estimated regional breakeven prices for each of Devons major assets, we conclude that our assets are likely to be well-positioned to remain profitable even in aggressive low-carbon scenarios referenced in this report. Furthermore, the changes in Devons portfoliothe acquisitions of RimRock Oil and Validus Energyhave made the company more resilient in low oil and natural gas price scenarios. "
"USA_Devon Energy, 2023, Climate Change Assessment Report","[d, b]",3,ce3a7fd93cf666c7bb83d6760eb4f193,"Devons disclosure practices for the governance, management, and disclosure of climate-related risks and opportunities are guided by the recommendations of the TCFD, and we continually work to enhance our disclosures. For example, in 2023, Devon partnered with ICF to perform a robust scenario analysis of physical climate risk as recommended by the TCFD and expanded our transition risk analysis to include the Net Zero Emissions by 2050 Scenario. "
"USA_Devon Energy, 2023, Climate Change Assessment Report",[d],5,72a607bf9253444f18ec83626dc01f7e,"The Boards oversight of climate-related issues is exemplified by its ongoing commitment to analyze and understand the potential long-term impacts of climate-related risks and opportunities on Devons business. Beginning in 2018, the Board endorsed the use of scenario analysis as prescribed by the TCFD to assess Devons oil and natural gas portfolio in relation to potential impacts of a possible carbon-constrained future. In 2023, Devon expanded this assessment  Climate and ESG Metrics are Actively Linked to Executive and Employee Compensation  To encourage progress toward our long-term climate goals, we continue to tie climate and ESG performance to executive and employee compensation. Performance-bonus payouts depend on the companys performance in relation to the structured and measurable goals approved by the Board at the beginning of the year. Our 2022 corporate goals included, among several factors, (i) a standalone Emissions Reduction goal with a 15 weighting and (ii) an ESG  Community Engagement goal with a 15 weightingtogether accounting for 30 of the companys overall performance scorecard that determines cash bonuses. These performance-bonus targets affect every employees compensation, allowing employees to drive and share in our environmental progress. "
"USA_Devon Energy, 2023, Climate Change Assessment Report","[a, b, d]",5,7ef2674bb7fa61eaeeeae03fe197b1e8,"to include a scenario analysis of physical climate risks to the companys portfolio. These analyses leverage hypothetical scenarios from the International Energy Agency (IEA) and the Intergovernmental Panel on Climate Change (IPCC), distinct from the internal models mentioned above. By broadening the range of scenarios considered, Devon continues to build an even more robust assessment aligned to the intention of the TCFD recommendations. "
"USA_Devon Energy, 2023, Climate Change Assessment Report",[d],6,740ce403e4fa3cd82662b06afe03b611,"Board Committee oversight of climate-related activities, including but not limited to  Endorse use of TCFD-aligned climate scenario analysis (beginning in 2018)  Approve company-wide environmental targets (2021) and oversee progress toward goals  Review company performance on key environmental metrics, including Scope 1 and Scope 2 greenhouse gas (GHG) emissions  Discuss contents of annual Sustainability Report and Climate Change Assessment Report before publication  For more information on public advocacy, see Devons 2023 Sustainability Report. "
"USA_Devon Energy, 2023, Climate Change Assessment Report","[i, j]",8,af3f1ee10dbf95ffd87d0cec9f46afae,"We remain focused on building economic value by executing on our strategic priorities  Short-term budgeting and planning cycle Devon maintains a detailed schedule of operational activity on a well-by-well basis, on a rolling two-year time horizon, with active involvement from our leadership team. This robust, short-term planning capability enables us to forecast drilling, completion, production, and infrastructure requirements and performance, as well as to optimize operational execution and capital efficiencies. Focused planning allows Devon to remain nimble and responsive to evolving market conditions, regulatory developments, weather events, and takeaway or supply chain constraints, among other considerations. Strategic Planning Time Horizons Long-term fundamentals and portfolio assessment As described in detail in this report, Devon models and assesses the potential impacts to our portfolio and reserves under various long-term market scenarios, including carbon constrained scenarios. We consider base case scenarios for the oil and natural gas market from leading external experts and compare each base case to an alternate carbon-constrained future scenario, in which demand for oil and natural gas is substantially reduced. In addition, Devon assesses the potential physical risks of climate change over the long term, including changes to temperatures, precipitation, and winter storms. These risks are evaluated under scenarios where significant greenhouse gas mitigation is enforced by mid-century, as well as high-emissions scenarios where greenhouse gas concentrations continue to rise throughout the 21st century. For more information on these assessments, see the [Physical Risk Assessment] section. Strategic long-range plan Devon regularly models numerous regional and macro-level scenariosincluding acquisitions, divestitures and changes in regulations and market conditions  to test the strength of our portfolio and resources. Each year, the modeled scenarios inform the strategic decision-making of Devons Executive Committee and Board of Directors that factors into Devons long-range plan. 2-10 Years 10 Years0-2 Years  Our Business Strategy in the Context of Energy Transition  As discussed throughout this report, even in possible carbon-constrained scenarios, oil and natural gas production remains a crucial component for fulfilling global energy demand. North American oil and natural gas production play a large role in meeting that demand. As Devon continues to review and evaluate the potential effects of climate change and the energy transition, Devon will adapt and evolve in a way that enables us to continue to be an industry leader. "
