File,Codes,Page,ID,Text
"USA_ExxonMobil, 2024, advancing climate solutions report",[b],14,8479a6bbe4b29659eba9878e9d87a4f4,"Second, advances in technology. Only three of the more than 50 technologies needed to reach net-zero emissions by 2050 are on track, according to the International Energy Agency.24 An approach to technology where governments support further RD and avoid picking winners and losers through legislation will lead to quicker solutions that are the most cost-efficient. "
"USA_ExxonMobil, 2024, advancing climate solutions report","[b, e]",16,c1ccbbc05c05c9bb42de75e8167122c1,"We have continued to assess the resiliency of our business and investment portfolio against a range of future scenarios that are aligned with the goals of the Paris Agreement, including the IEA Net Zero Emissions by 2050 (NZE) scenario. "
"USA_ExxonMobil, 2024, advancing climate solutions report",[j],16,6b572098fc2a5c67d0b37a5f8412cb30,"These resiliency assessments demonstrate that our business is well positioned even in an aggressive decarbonization pathway, driven by the growth potential for chemicals, lower-emission fuels, carbon capture and storage, and hydrogen opportunities, which are critical to achieve societys net-zero ambition. "
"USA_ExxonMobil, 2024, advancing climate solutions report","[b, j]",16,306eb8b3e43c2d6faddf417138f1e094,"Updates to the IEA NZE scenario since 2021 have not changed the outcome of our assessment, which highlights resiliency through investment flexibility across options that are both needed and consistent with our core capabilities, including oil and natural gas with lower emission intensity, chemicals, carbon capture and storage, lower-emission fuels, and hydrogen.28  For more than 140 years, we have been a leader in innovation, supplying the energy and products people need to live healthy, prosperous lives in the modern world. We are continuing this legacy of innovation by doing our part to provide energy security and evolving our operations in ongoing support of a net-zero future  all while creating long-term shareholder value. Banyu Urip Indonesia  1940-2022 global society CO2 emissions estimates based on data from IEA CO2  Emissions in 2022 Report includes energy-related combustion and industrial process CO2  emissions. "
"USA_ExxonMobil, 2024, advancing climate solutions report","[a, h, n]",17,fde75a66c16939e1abbb587ca881808a,"Total addressable market based on ExxonMobil analysis of the IPCCs Sixth Assessment Report Scenarios Database hosted by IIASA for carbon capture and storage, wind, solar, hydrogen, nuclear, biofuels, geothermal, and hydropower. Secondary energy demand and prices in 2050 in the Likely Below 2C scenarios (Category C3) were used, where available, to calculate an estimate of potential market revenue. Carbon capture and storage estimate includes both CCS and direct air capture and used price of carbon for pricing estimate. Biofuels estimate used liquids pricing for pricing estimate. 2020 dollars. "
"USA_ExxonMobil, 2024, advancing climate solutions report","[b, e]",17,f18759faf01717ca4497faca170db290,"International Energy Agency (2021), Net Zero by 2050, IEA, Paris IEA NZE scenario per World Energy Outlook 2022, IEA, Paris IEA Net Zero Roadmap A Global Pathway to Keep the 1.5C Goal in Reach 2023 Update, IEA, Paris. "
"USA_ExxonMobil, 2024, advancing climate solutions report",[b],18,264849a00db088d1dce4388f57e8696c,"Energy demand modeling aims to replicate system dynamics of the global energy system, requiring simplifications. The reference to any scenario or any pathway for an energy transition, including any potential net-zero scenario, does not imply ExxonMobil views any particular scenario as likely to occur. In addition, energy demand scenarios require assumptions on a variety of parameters. As such, the outcome of any given scenario using an energy demand model comes with a high degree of uncertainty. For example, the IEA describes its NZE scenario as extremely challenging, requiring unprecedented innovation, unprecedented international cooperation, and sustained support and participation from consumers, with steeper reductions required each year since the scenarios initial release. Third-party scenarios discussed in these reports reflect the modeling assumptions and outputs of their respective authors, not ExxonMobil, and their use or inclusion herein is not an endorsement by ExxonMobil of their underlying assumptions, likelihood, or probability. Investment decisions are made on the basis of ExxonMobils separate planning process but may be secondarily tested for robustness or resiliency against different assumptions, including against various scenarios. These reports contain information from third parties. ExxonMobil makes no representation or warranty as to the third-party information. Where necessary, ExxonMobil received permission to cite third-party sources, but the information and data remain under the control and direction of the third parties. ExxonMobil has also provided links in this report to third-party websites for ease of reference. ExxonMobils use of the third-party content is not an endorsement or adoption of such information. "
"USA_ExxonMobil, 2024, advancing climate solutions report","[a, b]",22,f4ca7360f49d583412ee6887d6ffdf22,"ExxonMobil is a global leader in carbon capture and storage  Impermeable cap rock We capture the carbon dioxide (CO) from an industrial facility  and we do it before the CO can escape into the air. The captured CO is transported through a pipeline to a suitable location where it can be injected deep underground.>3,200 feet(deeper than 3 Eiffel Towers stacked) CO 1 2 The CO is injected >3,200 feet (>1,000 meters) underground, beneath impermeable rock formations which provide a natural protective seal. 3 The CO is safely and securely locked away in underground rock formations. 4 Why carbon capture and storage? From the International Energy Agency Reaching net zero will be virtually impossible without carbon capture and storage. The United Nations Intergovernmental Panel on Climate Change said carbon capture and storage must be a part of any future net-zero energy system as a critical mitigation option. "
"USA_ExxonMobil, 2024, advancing climate solutions report","[a, b]",23,e743933e71a059a139cbc910f8728f78,"Carbon capture and storage, on its own or combined with hydrogen production, is one of the few proven technologies that could enable significant CO emission reductions from high-emitting and hard-to-decarbonize sectors. These include power generation, refining, steel, cement, and petrochemicals manufacturing. According to the Center for Climate and Energy Solutions, carbon capture and storage can capture more than 90 of CO emissions from power plants and industrial facilities.4  What respected third parties are saying about carbon capture and storage  Both the International Energy Agency (IEA) and the United Nations Intergovernmental Panel on Climate Change (IPCC) see carbon capture and storage as key to reaching global emissions goals. "
"USA_ExxonMobil, 2024, advancing climate solutions report","[b, f]",23,ce2642e5aaba49d3c547eb88e5d0bbf1,"The IEA NZE report concludes that more than 7.6 billion metric tons per year of CO will need to be captured and stored by 2050 to reach a net-zero future. By comparison, the worlds current capture capacity is about 40 million metric tons of CO per year. 5 The agency has also said reaching net zero will be virtually impossible without carbon capture and storage.6  The IPCC estimates that the cost of achieving a 2C outcome would more than double without carbon capture and storage.7  We identify opportunities with concentrated streams of CO near sites with safe and secure storage space, and where we can use existing infrastructure to gain scale to offer economical solutions to customers. "
"USA_ExxonMobil, 2024, advancing climate solutions report",[m],28,c6f753303f2394531eb66fe00fee2073,"Were exploring opportunities to combine biomass-based fuel production with carbon capture and storage, enabling very low- or negative-carbon intensity fuel production. Were also looking at how we can efficiently transform natural gas into methanol-based fuels. Our existing capability to convert methanol to multiple end-use fuels, such as marine and jet fuel, could enable a range of low- to zero-emissions fuels. Low-emission fuels can utilize existing distribution infrastructure, further enabling their cost-effective deployment. "
"USA_ExxonMobil, 2024, advancing climate solutions report","[a, h, n]",31,a943b827386bc08508b90cdfaf6a5775,"Total addressable market based on ExxonMobil analysis of the IPCCs Sixth Assessment Report Scenarios Database hosted by IIASA for carbon capture and storage, wind, solar, hydrogen, nuclear, biofuels, geothermal, and hydropower. Secondary energy demand and prices in 2050 in the Likely Below 2C scenarios (Category C3) were used, where available, to calculate an estimate of potential market revenue. Carbon capture and storage estimate includes both CCS and direct air capture and used price of carbon for pricing estimate. Biofuels estimate used liquids pricing for pricing estimate. 2020 dollars. "
"USA_ExxonMobil, 2024, advancing climate solutions report",[b],31,2f86df8fef8df7b31b830e2ce6919442,"International Energy Agency (2021), Net Zero by 2050, IEA, Paris, . "
"USA_ExxonMobil, 2024, advancing climate solutions report","[b, j]",54,35d04a4ac4208af6457af275012a0fe0,We have used the assumptions in the IEA NZE scenario to test the resiliency of our current portfolio even though the IEA acknowledges that society is not on the IEA NZE pathway. 
"USA_ExxonMobil, 2024, advancing climate solutions report","[b, q]",54,df3a69588fbff8af968c58531c496e59,"We modeled a hypothetical business and investment portfolio based on the IEA NZE scenario and used a respected third party to conduct an independent audit and confirm the integrity of our model. The analysis included existing operations and future opportunities across our businesses in oil, natural gas, fuels, lubricants, chemicals, lower-emission fuels, hydrogen, and carbon capture and storage. We used IEA NZE assumptions relevant to these business areas to inform demand and pricing in our model  Oil prices decline to 24 per barrel by 2050 natural gas prices decline to 2-4.60 per million British thermal units depending on region (both in real terms, 2019 USD). "
"USA_ExxonMobil, 2024, advancing climate solutions report",[b],54,c982def95f4ae69c85f75d3559334f1c,"Lower-emission fuels, in which the IEA includes liquid biofuels, biogas and biomethane, and hydrogen-based fuels, increase from 1 of global final energy demand in 2020 to 20 in 2050. "
"USA_ExxonMobil, 2024, advancing climate solutions report",[b],55,4b0455fa40008ffff96c2f2d6eee9a0f,"We developed additional assumptions consistent with the IEA NZE narrative as needed to estimate the performance of our portfolio. To use the IEA NZE price assumptions, we assumed that current prices decline to conform to IEA published prices by 2025 and that the path is linear between the price assumptions that IEA provided by decade thereafter. The IEA NZE scenario did not provide assumed margins for refining and chemical businesses. Therefore, for refining, we assumed margins decline to the lowest level needed to incentivize production required to meet IEA NZE oil demand. For chemicals, we modeled margins consistent with history, at a level sufficient to support the investment necessary to meet chemicals demand growth per the IEA NZE the margins decline over time, partially offset by inflation.3 For our Low Carbon Solutions business, we used IEA NZE demand assumptions and assumed the business investments attract reasonable returns based on our historical averages for similar business lines and products. Our modeling assumes that the resulting market position for existing and new areas as a percentage of demand under IEA NZE is in line with our current market positions in existing businesses. We assumed investment to abate estimated greenhouse gas emissions from our businesses by 2050. Annual inflation was set to 2.5. We also assumed total capital expenditures through 2050 starting with our 2020 trailing five-year average and moving forward on a real basis, which is sufficient investment to maintain market share. On this basis, the results further support the growth in cash flow from our Low Carbon Solutions business under the IEA NZE scenario. Our competitors and peers have different portfolios, strategies, markets, and regulatory realities that lend themselves to different approaches and may lead to different results that are not necessarily comparable across companies, especially for those who anticipate a production decrease or an exit from the oil and natural gas business as part of their plans. "
