File,Codes,Page,ID,Text
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report",[e],3,00035e13cffc81a5f0321e1e7f3d1b66,"Our 2030 emission-reduction plans are consistent with Paris-aligned pathways(1),(2), the U.S. and European Unions Global Methane Pledge, and the U.S. Methane Emissions Reduction Action Plan. Compared to 2016 levels, these plans are expected to achieve  20-30 reduction in corporate-wide greenhouse gas intensity and an absolute reduction of approximately 20 (or approximately 23 million metric tons). "
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report","[b, j]",3,72ef330e915cd2be73992fdbbfafa1d4,"This report includes an analysis of ExxonMobils business and investment portfolio under the International Energy Agencys (IEA) Net Zero Emissions by 2050 (NZE) scenario. The scenario illustrates the dramatic societal changes and massive levels of investment required  in a very short period of time  to achieve net-zero emissions by 2050. Although governments are not implementing changes at the level and pace assumed in the IEA NZE scenario, the detailed assumptions contained in the report enable us to further test the resiliency of our businesses and strategy. The IEAs assumptions demonstrate the significant role ExxonMobil can play in the transition and the growth potential for chemicals, low-emission fuels, carbon capture and storage, and hydrogen. ExxonMobil is positioned to successfully compete in these businesses by leveraging its capabilities and repurposing assets. Throughout the modeled period, IEA NZEs assumed carbon price supports attractive investments in key growth areas that drive increases in cash flow. The Companys core capabilities, experience and advantages in scale, integration, technology, project execution and people would remain critical success factors in this assumed transition path. As the energy system evolves, ExxonMobil will continue to test the resiliency of its business strategy to ensure the Company can deliver shareholder value across a wide range of future scenarios. "
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report","[e, f]",6,e4fb719c9472366df9b28ecf1fea3cb2,"ExxonMobil emission reduction plans within pathway of Paris Agreement (1), (2)  GHG Scope 1 and 2 operated absolute emissions change vs. 2016 level Hypothetical 1.5 Pathway Hypothetical 2 Pathway Hypothetical Paris Pathway Society EM Actual 0 -25 -50 -75 -100 2016 2020 2025 2030 2035 2040 2045 2050 2055 2060 2065 2070 EM 2030 Plan  Policy support has driven rapid deployment of key technologies, such as wind, solar, and electric vehicles. Additional policy support would accelerate and broaden deployment of critical technologies like carbon capture and storage, hydrogen and lower-emission fuels. It would also provide ExxonMobil additional investment opportunities to reduce greenhouse gas emissions. "
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report",[d],7,0da88d2d4b9bfcf9bb1df99f9846e09d,"Approach to greenhouse gas emission reductions in business planning  Actions needed to advance the Companys 2030 greenhouse gas emission-reduction plans are incorporated into its medium-term business plans, which are updated annually. The reference case for planning beyond 2030 (including impairment assessments and future planned development activities) is based on the Energy Outlook, which contains the Companys demand and supply projection based on its assessment of current trends in technology, government policies, consumer preferences, geopolitics, and economic development. Reflective of the existing global policy environment, the Energy Outlook does not project the degree of required future policy and technology advancement and deployment for the world, or ExxonMobil, to meet net zero by 2050. As future policies and technology advancements emerge, they will be incorporated into the Outlook, and the Companys business plans will be updated accordingly. "
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report",[l],10,69e96cb5abf6fa0c642656b7567c8ef3,Potentially using high-quality emissions offsets to address residual emissions. 
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report",[b],16,51d046cec50795c63fa84b2c93625a99,"Carbon capture and storage on its own, or in combination with hydrogen production, is among the few proven technologies that could enable reduced CO emissions from high-emitting and hard-to-decarbonize sectors, such as power generation and heavy industries, including manufacturing, refining and petrochemicals. According to the Center for Climate and Energy Solutions, carbon capture and storage can capture more than 90 of emissions from power plants and industrial facilities.(29)  The International Energy Agencys NZE report concluded that more than 7.6 billion metric tons per year of CO will need to be captured and stored by 2050. By comparison, the worlds current capture capacity is about 40 million metric tons of CO per year (30). The agency has also said reaching net-zero [emissions] will be virtually impossible without carbon capture and storage (31). "
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report","[a, f, m, n]",16,ac8f9ae00e5e6c8a6e866263b907e816,The U.N.s Intergovernmental Panel on Climate Change estimated in its Fifth Assessment Report that the cost of achieving a 2C outcome would more than double if carbon capture and storage was not among the decarbonization solutions.(32) Carbon capture and storage is also recognized as one of the only technologies that can enable negative CO emissions when combined with bio-energy or direct air capture. 
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report",[n],21,9f8c36a245b2bac90cf503c97a4353a0,"In another RD collaboration, ExxonMobil is working with Global Thermostat to develop the potential of large-scale deployment of direct air capture. The companies also continue to develop novel processes and materials that increase the rate of CO capture and reduce the amount of energy required in the process. While more research and development is needed, direct air capture is increasingly recognized to have a significant role to play in global decarbonization efforts. "
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report","[a, b]",23,0b7c47a42493229663413991889271aa,"For the manufacturing sector, ExxonMobils focus is on carbon capture and storage and hydrogen. The International Energy Agency [] and the U.N. Intergovernmental Panel on Climate Change have identified both hydrogen and carbon capture and storage as vital to reducing emissions associated with manufacturing and heavy industry. "
"USA_Exxonmobil, 2022, advancing climate solutions 2022 progress report",[e],23,a07a794d6680e6b2edc96c6b567ad5f2,"The carbon capture and storage opportunities that ExxonMobil is evaluating have the potential to move forward with current technologies. However, to drive investment and deploy the technology at the pace and scale needed to meet the Paris Agreement goals, governments must establish durable regulatory and legal frameworks as well as incentives, similar to those available for other more established low-emission technologies. Low-carbon policies should be clear, cost-effective, technology-neutral and aligned with free-market principles. "
