File,Codes,Page,ID,Text
"USA_Hess Corporation, 2022, sustainability report",[b],1,4e0aa592695ebbf504664779a72e1149,"We invite your feedback regarding this report. To send us your questions or comments or to request more information or copies of this report, please contact  Our CEOs view on building  a sustainable enterprise  Our approach to sustainable management and performance  Our approach to balancing the worlds growing energy needs with greenhouse gas emissions reduction  A review of social responsibility as our way of doing business  Evaluating sustainability risks and global scenarios in making strategic decisions  An overview of ways we deliver  value for our stakeholders  How we aim to get everyone,  everywhere, every day, home safe  Responsible management of our environmental footprint  A description of our materiality assessment, reporting framework and boundaries  How we are creating an inclusive culture and high quality workforce that innovates, leads and learns  The world is facing a massive dual challenge  how to meet demand for approximately 20 more energy globally by 2050 and over the same period reach net zero emissions. At the end of last year, the International Energy Agency (IEA) published its latest World Energy Outlook that offers three scenarios for addressing this dual challenge. In all three IEA scenarios, oil and gas will be needed for decades to come and are fundamental to an affordable, just and secure energy transition. "
"USA_Hess Corporation, 2022, sustainability report","[d, e]",3,ea1ae306df5ab7feb7af92143633097f,"Hess supports the aim of the Paris Agreement and has made a commitment to achieve net zero Scope 1 and 2 greenhouse gas (GHG) emissions on an equity basis by 2050. Our climate strategy is closely aligned with the recommendations of the Task Force on Climate-Related Financial Disclosures (TCFD), and its implementation is led by senior members of our leadership team with oversight by our Board. "
"USA_Hess Corporation, 2022, sustainability report","[e, l]",4,87a80c39f01b13ce2296e4f133475952,"In December 2022, we announced an agreement to purchase high quality, independently verified REDD carbon credits for a minimum of 750 million between 2022 and 2032 directly from the government of Guyana. Saving the worlds forests and the important role they play as natural carbon sinks is foundational to the Paris Agreements aim of limiting the global average temperature rise to well below 2 C and is one of the major commitments made at the COP26 climate summit, where more than 130 countries including Guyana pledged to end deforestation by 2030. The purchase of these carbon credits adds to our companys ongoing and successful emissions reduction efforts and is an important part of our net zero commitment. We also address 100 of the indirect emissions from our purchased electricity through renewable energy certificates. "
"USA_Hess Corporation, 2022, sustainability report",[b],4,9f7072b20805d88ba275f042cd3b5401,"We conduct scenario planning that includes the Announced Pledges and Net Zero Emissions by 2050 Scenarios developed by the IEA to test the resilience of our companys portfolio against a range of environmental policies and market conditions in a lower carbon economy. Hess strategic priorities are aligned with the energy transition needed to achieve the IEAs scenarios, which envision a meaningful role for oil and natural gas as part of the global energy mix through 2050. More information about our annual scenario planning is on pages 4650. "
"USA_Hess Corporation, 2022, sustainability report",[b],14,9fde1801177e8a6f600dd030d7d4fca1,"The value assurance reviews are risk based and focus on economics subsurface and facility design safety, environmental and socioeconomic considerations regulatory requirements and other technical and nontechnical risks. In order to evaluate the potential impact of carbon cost on project economics, we apply either actual carbon pricing where a regulatory framework for it exists or  where a framework does not exist  we evaluate the potential impact of carbon cost as set out in our planning guidance. Our planning guidance directs evaluations for all significant investment decisions to  include a sensitivity using the International Energy Agencys carbon pricing from the Announced Pledges Scenario, one of the more stringent scenarios from the 2022 World Energy Outlook (see pages 4450 of the Climate section). "
"USA_Hess Corporation, 2022, sustainability report",[e],40,2ff972cefc6ac1db00561708d471fbd2,"We support the Paris Agreements aim to limit global average temperature rise to well below 2C and have made a commitment to achieve net zero Scope 1 and 2 greenhouse gas (GHG) emissions on an equity basis by 2050. We believe climate risks can and should be addressed while at the same time meeting the growing demand for affordable, reliable and secure energy, which is essential to ensure a just and orderly energy transition that aligns with the United Nations Sustainable Development Goals. Governments, businesses and civil society must work together on cost effective policies to meet this dual challenge, and we support transparent carbon pricing as an economically efficient method to encourage the investments needed to accelerate decarbonization across all sectors of the economy while keeping energy affordable and secure. We review the climate positions of our major advocacy organizations on an ongoing basis, and in the event that those positions appear misaligned or become misaligned with Hess positions, we will share our viewpoint in an attempt to more closely align their position with ours. "
"USA_Hess Corporation, 2022, sustainability report",[d],40,d4dbb6189dd1d9224bf5ad51eef9b505,"Our companys strategy is focused on high return resource growth, low cost of supply and industry leading cash flow while maintaining leadership in sustainability. Our climate strategy is closely aligned with the recommendations of the Task Force on Climate-Related Financial Disclosures (TCFD) and its implementation is led by senior members of our leadership team with oversight by our Board of Directors. Our Low Carbon Transition Framework details how we are addressing climate related risks, opportunities and actions in the areas of governance, strategy, risk management and metrics and targets consistent with the TCFDs October 2021 guidance. "
"USA_Hess Corporation, 2022, sustainability report","[e, l]",40,b69678e95c2124cdbba0644f68d9a63f,"Our business planning includes actions we will undertake to continue reducing our carbon footprint consistent with the Paris Agreements aim to limit global average temperature rise to well below 2C. Our  Board and senior leadership have set aggressive interim GHG reduction targets to drive these actions and to support our goal to reach net zero emissions. In addition to our ongoing emissions reduction efforts, and as an important part of our net zero commitment, Hess has agreed to purchase high quality, independently verified REDD (reducing emissions from deforestation and degradation) carbon credits for a minimum of 750 million between 2022 and 2032 directly from the government of Guyana. Protecting the worlds forests and the important role they play as natural carbon sinks is foundational to the Paris Agreements aim of limiting the global average temperature rise to well below 2C and was one of the major commitments made at the 26th United Nations Climate Change Conference of the Parties (COP26) climate summit. "
"USA_Hess Corporation, 2022, sustainability report","[b, i]",40,eba8196c15921017d4bea96cdf29c912,"We account for the cost of carbon in significant capital investment decisions. We conduct scenario planning that includes scenarios developed by the International Energy Agency (IEA) to test the resilience of Hess portfolio against a range of environmental policies and market conditions in a lower carbon economy. According to the IEA, the world is not investing enough to meet its future energy needs, and uncertainties over policies and demand trajectories create a strong risk of a volatile period ahead for energy markets. In 2023, we tested Hess portfolio under three IEA scenarios, the Stated Policies Scenario (STEPS), the Announced Pledges Scenario (APS) and the Net Zero Emissions by 2050 Scenario (NZE). We have concluded that Hess can continue to monetize our reserves and deliver strong performance under a wide range of market conditions, including under the aggressive conditions assumed in the APS. Under the NZE, a normative scenario that reflects a narrow pathway for the global energy sector to achieve net zero emissions by 2050, we could still monetize the majority of our reserves. We also consider potential physical risks associated with climate change, such as heat stress, flooding, increased severity of storms and drought, for new projects and existing operations. "
"USA_Hess Corporation, 2022, sustainability report",[b],40,757214ff6ad9f00a1e9b2c62bda8152b,"Hess strategic priorities  to grow our resource base, deliver a low cost of supply and generate industry leading cash flow growth while maintaining our industry leadership in environmental, social and governance performance and disclosure  are aligned with the energy transition needed to achieve the IEAs APS and position us well for the coming decades. "
